Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
CNN_AvgPool,1,1.6202,39.94,1.341,51.04,0.01
CNN_AvgPool,2,1.3012,52.81,1.1833,57.25,0.01
CNN_AvgPool,3,1.1347,59.48,1.1757,58.07,0.01
CNN_AvgPool,4,1.022,63.5,0.9526,66.17,0.01
CNN_AvgPool,5,0.9547,66.03,0.9004,68.28,0.01
CNN_AvgPool,6,0.8999,68.23,0.8763,69.61,0.01
CNN_AvgPool,7,0.852,70.24,0.7983,72.15,0.01
CNN_AvgPool,8,0.8108,71.57,0.8104,71.29,0.01
CNN_AvgPool,9,0.7707,73.03,0.7829,72.15,0.01
CNN_AvgPool,10,0.7438,73.95,0.8713,70.87,0.01
CNN_AvgPool,11,0.7171,74.83,0.7005,75.32,0.01
CNN_AvgPool,12,0.6918,75.91,0.7264,74.62,0.01
CNN_AvgPool,13,0.6659,76.81,0.6643,76.61,0.01
CNN_AvgPool,14,0.6467,77.64,0.6914,76.33,0.01
CNN_AvgPool,15,0.6268,78.2,0.6143,78.83,0.01
CNN_AvgPool,16,0.6002,79.16,0.61,78.65,0.01
CNN_AvgPool,17,0.5821,79.75,0.6175,78.58,0.01
CNN_AvgPool,18,0.5643,80.44,0.6305,77.35,0.01
CNN_AvgPool,19,0.5515,80.85,0.6276,78.43,0.01
CNN_AvgPool,20,0.5349,81.54,0.6034,79.42,0.01
CNN_AvgPool,21,0.5227,82.14,0.558,80.35,0.01
CNN_AvgPool,22,0.5083,82.44,0.5395,81.58,0.01
CNN_AvgPool,23,0.4964,82.85,0.5246,81.78,0.01
CNN_AvgPool,24,0.4832,83.43,0.5068,82.27,0.01
CNN_AvgPool,25,0.4796,83.54,0.5872,79.77,0.01
CNN_AvgPool,26,0.4712,83.74,0.5087,82.73,0.01
CNN_AvgPool,27,0.4575,84.19,0.5669,81.07,0.01
CNN_AvgPool,28,0.4525,84.47,0.55,81.12,0.01
CNN_AvgPool,29,0.4452,84.67,0.535,81.12,0.01
CNN_AvgPool,30,0.4325,85.23,0.4866,83.18,0.01
CNN_AvgPool,31,0.425,85.24,0.5048,82.44,0.01
CNN_AvgPool,32,0.4156,85.79,0.559,80.95,0.01
CNN_AvgPool,33,0.411,85.86,0.5073,82.61,0.01
CNN_AvgPool,34,0.4026,86.17,0.4988,83.02,0.01
CNN_AvgPool,35,0.4002,86.24,0.5334,82.42,0.01
CNN_AvgPool,36,0.3925,86.42,0.4722,83.61,0.01
CNN_AvgPool,37,0.3854,86.81,0.611,80.28,0.01
CNN_AvgPool,38,0.3795,87.03,0.4795,83.74,0.01
CNN_AvgPool,39,0.3717,87.26,0.4687,84.15,0.01
CNN_AvgPool,40,0.3718,87.29,0.4547,84.96,0.01
CNN_AvgPool,41,0.3666,87.4,0.4775,83.71,0.01
CNN_AvgPool,42,0.3602,87.61,0.4641,84.32,0.01
CNN_AvgPool,43,0.3594,87.47,0.4967,83.01,0.01
CNN_AvgPool,44,0.3471,88.03,0.4795,83.54,0.01
CNN_AvgPool,45,0.3464,88.23,0.502,83.01,0.01
CNN_AvgPool,46,0.345,88.3,0.5039,82.93,0.01
CNN_AvgPool,47,0.3198,89.04,0.4555,84.73,0.008
CNN_AvgPool,48,0.3115,89.39,0.4666,84.08,0.008
CNN_AvgPool,49,0.3074,89.35,0.4401,84.52,0.008
CNN_AvgPool,50,0.3056,89.5,0.4872,83.8,0.008
CNN_AvgPool,51,0.3034,89.55,0.4237,85.94,0.008
CNN_AvgPool,52,0.3012,89.6,0.4228,85.75,0.008
CNN_AvgPool,53,0.2988,89.87,0.4602,84.33,0.008
CNN_AvgPool,54,0.2987,89.86,0.4162,85.81,0.008
CNN_AvgPool,55,0.2929,89.93,0.4603,84.64,0.008
CNN_AvgPool,56,0.2962,89.79,0.4341,85.65,0.008
CNN_AvgPool,57,0.2864,90.27,0.4598,84.51,0.008
CNN_AvgPool,58,0.2613,91.13,0.4484,84.85,0.0064
CNN_AvgPool,59,0.2588,91.2,0.4151,86.18,0.0064
CNN_AvgPool,60,0.2597,91.02,0.456,85.17,0.0064
CNN_AvgPool,61,0.2555,91.34,0.4488,85.32,0.0064
CNN_AvgPool,62,0.2532,91.34,0.4333,85.86,0.0064
CNN_AvgPool,63,0.2486,91.51,0.435,85.71,0.0064
CNN_AvgPool,64,0.2508,91.27,0.4138,86.25,0.0064
CNN_AvgPool,65,0.2479,91.34,0.4142,86.08,0.0064
CNN_AvgPool,66,0.2443,91.56,0.4483,84.88,0.0064
CNN_AvgPool,67,0.2451,91.6,0.4225,86.22,0.0064
CNN_AvgPool,68,0.2467,91.43,0.4149,86.13,0.0064
CNN_AvgPool,69,0.2426,91.86,0.4401,85.5,0.0064
CNN_AvgPool,70,0.2404,91.75,0.4156,86.05,0.0064
CNN_AvgPool,71,0.2215,92.49,0.4168,86.34,0.00512
CNN_AvgPool,72,0.2114,92.8,0.4299,85.78,0.00512
CNN_AvgPool,73,0.2138,92.72,0.4269,86.13,0.00512
CNN_AvgPool,74,0.2106,92.83,0.3994,86.75,0.00512
CNN_AvgPool,75,0.2083,93.02,0.429,86.02,0.00512
CNN_AvgPool,76,0.2113,92.79,0.4086,86.45,0.00512
CNN_AvgPool,77,0.211,92.99,0.3827,87.27,0.00512
CNN_AvgPool,78,0.2067,93.04,0.4468,85.34,0.00512
CNN_AvgPool,79,0.2039,93.06,0.449,85.54,0.00512
CNN_AvgPool,80,0.2053,93.07,0.4502,85.58,0.00512
