Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
CNN_Baseline,1,1.6156,39.97,1.2878,51.6,0.01
CNN_Baseline,2,1.3172,52.17,1.1213,60.31,0.01
CNN_Baseline,1,1.1608,58.96,1.0671,62.69,0.01
CNN_Baseline,2,1.0769,61.89,0.9507,66.05,0.01
CNN_Baseline,3,1.0144,64.5,0.9295,65.77,0.01
CNN_Baseline,4,0.9574,66.43,0.9031,67.96,0.01
CNN_Baseline,5,0.913,67.9,0.8806,68.67,0.01
CNN_Baseline,6,0.87,69.82,0.7851,72.46,0.01
CNN_Baseline,7,0.8406,70.7,0.7395,73.79,0.01
CNN_Baseline,8,0.8054,72.07,0.7349,74.52,0.01
CNN_Baseline,9,0.7822,72.97,0.7185,75.17,0.01
CNN_Baseline,10,0.7511,74.21,0.7992,72.51,0.01
CNN_Baseline,11,0.7265,74.85,0.6446,77.42,0.01
CNN_Baseline,12,0.7027,75.74,0.6964,76.0,0.01
CNN_Baseline,13,0.6785,76.58,0.6163,79.08,0.01
CNN_Baseline,14,0.6557,77.59,0.6303,77.64,0.01
CNN_Baseline,15,0.6479,77.75,0.6294,78.35,0.01
CNN_Baseline,16,0.6209,78.74,0.5993,78.82,0.01
CNN_Baseline,17,0.6043,79.31,0.605,79.45,0.01
CNN_Baseline,18,0.5837,79.86,0.5796,79.66,0.01
CNN_Baseline,19,0.5715,80.61,0.571,80.04,0.01
CNN_Baseline,20,0.5588,80.79,0.5775,80.2,0.01
CNN_Baseline,21,0.5413,81.55,0.5535,80.75,0.01
CNN_Baseline,22,0.5257,82.16,0.5769,80.35,0.01
CNN_Baseline,23,0.5154,82.45,0.5443,81.36,0.01
CNN_Baseline,24,0.5069,82.8,0.5156,82.14,0.01
CNN_Baseline,25,0.4909,83.53,0.5419,81.16,0.01
CNN_Baseline,26,0.4814,83.76,0.5678,80.39,0.01
CNN_Baseline,27,0.4773,83.93,0.5378,81.85,0.01
CNN_Baseline,28,0.47,84.13,0.5596,80.85,0.01
CNN_Baseline,29,0.464,84.34,0.5226,81.91,0.01
CNN_Baseline,30,0.4526,84.84,0.4971,82.93,0.01
CNN_Baseline,31,0.4427,85.04,0.5442,81.76,0.01
CNN_Baseline,32,0.4374,85.21,0.4751,83.84,0.01
CNN_Baseline,33,0.4322,85.3,0.5153,82.26,0.01
CNN_Baseline,34,0.4262,85.57,0.4883,83.31,0.01
CNN_Baseline,35,0.413,86.01,0.5005,83.19,0.01
CNN_Baseline,36,0.4088,86.09,0.4762,83.98,0.01
CNN_Baseline,37,0.4044,86.39,0.487,83.35,0.01
CNN_Baseline,38,0.4035,86.36,0.4719,84.01,0.01
CNN_Baseline,39,0.3963,86.55,0.4586,84.56,0.01
CNN_Baseline,40,0.3926,86.79,0.4549,84.78,0.01
CNN_Baseline,41,0.3865,87.05,0.4645,84.35,0.01
CNN_Baseline,42,0.381,87.08,0.4646,83.9,0.01
CNN_Baseline,43,0.3767,87.19,0.4931,83.05,0.01
CNN_Baseline,44,0.3761,87.33,0.4461,84.87,0.01
CNN_Baseline,45,0.3679,87.46,0.4783,83.24,0.01
CNN_Baseline,46,0.3646,87.64,0.4859,83.36,0.01
CNN_Baseline,47,0.3641,87.79,0.4648,84.15,0.01
CNN_Baseline,48,0.3552,87.95,0.4488,84.5,0.01
CNN_Baseline,49,0.3536,87.88,0.4932,83.5,0.01
CNN_Baseline,50,0.3526,87.99,0.485,84.02,0.01
CNN_Baseline,51,0.3222,89.04,0.4433,84.75,0.008
CNN_Baseline,52,0.3189,89.23,0.4619,84.37,0.008
CNN_Baseline,53,0.3128,89.37,0.462,84.42,0.008
CNN_Baseline,54,0.3166,89.28,0.4394,85.46,0.008
CNN_Baseline,55,0.3076,89.67,0.4618,84.59,0.008
CNN_Baseline,56,0.3072,89.62,0.453,84.99,0.008
CNN_Baseline,57,0.3089,89.57,0.4411,85.29,0.008
CNN_Baseline,58,0.3042,89.68,0.4206,86.05,0.008
CNN_Baseline,59,0.301,89.71,0.4824,83.76,0.008
CNN_Baseline,60,0.3,89.7,0.4479,84.93,0.008
CNN_Baseline,61,0.2942,90.02,0.4694,84.09,0.008
CNN_Baseline,62,0.2978,89.97,0.4687,84.72,0.008
CNN_Baseline,63,0.2935,90.01,0.4877,84.11,0.008
CNN_Baseline,64,0.2915,90.04,0.4373,85.99,0.008
CNN_Baseline,65,0.2692,91.02,0.4363,85.68,0.0064
CNN_Baseline,66,0.2656,91.11,0.4444,85.66,0.0064
CNN_Baseline,67,0.263,91.16,0.4741,84.82,0.0064
CNN_Baseline,68,0.2569,91.26,0.4309,85.72,0.0064
CNN_Baseline,69,0.2535,91.26,0.4154,86.06,0.0064
CNN_Baseline,70,0.2572,91.4,0.4032,86.86,0.0064
CNN_Baseline,71,0.2573,91.15,0.4335,85.7,0.0064
CNN_Baseline,72,0.258,91.31,0.4166,86.18,0.0064
CNN_Baseline,73,0.2535,91.39,0.4357,85.34,0.0064
CNN_Baseline,74,0.2495,91.53,0.445,85.76,0.0064
CNN_Baseline,75,0.2497,91.42,0.4483,85.71,0.0064
CNN_Baseline,76,0.2528,91.52,0.4346,85.65,0.0064
CNN_Baseline,77,0.2294,92.28,0.4031,86.76,0.00512
CNN_Baseline,78,0.2249,92.48,0.4024,86.85,0.00512
CNN_Baseline,79,0.2259,92.24,0.4091,86.53,0.00512
CNN_Baseline,80,0.2265,92.33,0.388,86.76,0.00512
