Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
CNN_No_BN_Avg,1,1.9731,27.31,1.7247,36.36,0.01
CNN_No_BN_Avg,2,1.6495,39.51,1.5414,43.81,0.01
CNN_No_BN_Avg,3,1.5153,44.63,1.4177,48.12,0.01
CNN_No_BN_Avg,4,1.4268,48.28,1.3206,51.69,0.01
CNN_No_BN_Avg,5,1.3451,51.26,1.2445,54.57,0.01
CNN_No_BN_Avg,6,1.2661,54.45,1.1656,58.06,0.01
CNN_No_BN_Avg,7,1.1977,57.13,1.1686,58.28,0.01
CNN_No_BN_Avg,8,1.1356,59.68,1.0759,61.95,0.01
CNN_No_BN_Avg,9,1.0777,61.74,1.0022,64.34,0.01
CNN_No_BN_Avg,10,1.0302,63.64,1.0111,64.07,0.01
CNN_No_BN_Avg,11,0.9873,65.11,0.9771,65.24,0.01
CNN_No_BN_Avg,12,0.9468,66.7,0.8938,68.31,0.01
CNN_No_BN_Avg,13,0.9138,67.9,0.8709,69.82,0.01
CNN_No_BN_Avg,14,0.8791,69.19,0.8432,70.06,0.01
CNN_No_BN_Avg,15,0.8517,70.15,0.8064,71.95,0.01
CNN_No_BN_Avg,16,0.8311,70.99,0.8008,71.6,0.01
CNN_No_BN_Avg,17,0.8028,71.88,0.7858,72.09,0.01
CNN_No_BN_Avg,18,0.7767,72.77,0.7688,73.65,0.01
CNN_No_BN_Avg,19,0.7542,73.69,0.7369,73.76,0.01
CNN_No_BN_Avg,20,0.7402,74.19,0.7501,74.15,0.01
CNN_No_BN_Avg,21,0.7181,74.94,0.7083,75.14,0.01
CNN_No_BN_Avg,22,0.6932,75.9,0.7046,75.43,0.01
CNN_No_BN_Avg,23,0.6795,76.37,0.706,75.72,0.01
CNN_No_BN_Avg,24,0.6675,76.51,0.6684,76.85,0.01
CNN_No_BN_Avg,25,0.6573,77.28,0.6834,76.42,0.01
CNN_No_BN_Avg,26,0.6366,77.9,0.6411,77.55,0.01
CNN_No_BN_Avg,27,0.6253,78.16,0.6625,77.05,0.01
CNN_No_BN_Avg,28,0.6102,78.72,0.6311,77.58,0.01
CNN_No_BN_Avg,29,0.5982,79.23,0.6156,78.68,0.01
CNN_No_BN_Avg,30,0.5887,79.56,0.596,79.44,0.01
CNN_No_BN_Avg,31,0.5801,79.79,0.6134,78.51,0.01
CNN_No_BN_Avg,32,0.5737,80.02,0.6074,79.19,0.01
CNN_No_BN_Avg,33,0.5658,80.12,0.6007,79.15,0.01
CNN_No_BN_Avg,34,0.5467,80.95,0.5916,79.18,0.01
CNN_No_BN_Avg,35,0.539,81.38,0.6281,78.48,0.01
CNN_No_BN_Avg,36,0.5362,81.48,0.6111,78.69,0.01
CNN_No_BN_Avg,37,0.5043,82.59,0.577,80.38,0.008
CNN_No_BN_Avg,38,0.4964,82.82,0.5644,80.84,0.008
CNN_No_BN_Avg,39,0.4877,83.1,0.5466,81.12,0.008
CNN_No_BN_Avg,40,0.4832,83.17,0.5825,80.17,0.008
CNN_No_BN_Avg,41,0.4831,83.13,0.5488,81.25,0.008
CNN_No_BN_Avg,42,0.4793,83.44,0.5406,81.39,0.008
CNN_No_BN_Avg,43,0.4711,83.52,0.5522,81.02,0.008
CNN_No_BN_Avg,44,0.4649,83.85,0.5339,81.53,0.008
CNN_No_BN_Avg,45,0.4574,84.2,0.5233,82.03,0.008
CNN_No_BN_Avg,46,0.4482,84.43,0.5297,81.88,0.008
CNN_No_BN_Avg,47,0.4499,84.4,0.535,81.14,0.008
CNN_No_BN_Avg,48,0.4395,84.88,0.5377,80.89,0.008
CNN_No_BN_Avg,49,0.4358,84.8,0.5272,81.78,0.008
CNN_No_BN_Avg,50,0.4327,85.1,0.5392,81.27,0.008
CNN_No_BN_Avg,51,0.4317,85.08,0.5263,81.85,0.008
CNN_No_BN_Avg,52,0.4128,85.65,0.5156,82.01,0.0064
CNN_No_BN_Avg,53,0.4022,86.01,0.4971,82.74,0.0064
CNN_No_BN_Avg,54,0.4021,85.97,0.4966,82.88,0.0064
CNN_No_BN_Avg,55,0.3994,86.18,0.5041,82.19,0.0064
CNN_No_BN_Avg,56,0.3945,86.26,0.4956,83.03,0.0064
CNN_No_BN_Avg,57,0.3877,86.62,0.49,83.16,0.0064
CNN_No_BN_Avg,58,0.3891,86.45,0.4991,82.84,0.0064
CNN_No_BN_Avg,59,0.3817,86.7,0.5052,82.79,0.0064
CNN_No_BN_Avg,60,0.3774,86.8,0.4986,82.91,0.0064
CNN_No_BN_Avg,61,0.3764,86.96,0.4916,83.54,0.0064
CNN_No_BN_Avg,62,0.3729,86.98,0.4899,83.47,0.0064
CNN_No_BN_Avg,63,0.3712,87.14,0.495,83.42,0.0064
CNN_No_BN_Avg,64,0.3664,87.36,0.5105,82.68,0.0064
CNN_No_BN_Avg,65,0.3669,87.25,0.4992,82.83,0.0064
CNN_No_BN_Avg,66,0.3629,87.61,0.4996,83.09,0.0064
CNN_No_BN_Avg,67,0.3639,87.35,0.4956,83.08,0.0064
CNN_No_BN_Avg,68,0.3435,88.09,0.4872,83.33,0.00512
CNN_No_BN_Avg,69,0.337,88.25,0.4702,83.62,0.00512
CNN_No_BN_Avg,70,0.3348,88.44,0.4873,83.58,0.00512
CNN_No_BN_Avg,71,0.3329,88.57,0.5075,82.89,0.00512
CNN_No_BN_Avg,72,0.3291,88.64,0.483,83.8,0.00512
CNN_No_BN_Avg,73,0.3345,88.37,0.4849,83.32,0.00512
CNN_No_BN_Avg,74,0.3264,88.66,0.465,83.81,0.00512
CNN_No_BN_Avg,75,0.3219,88.92,0.4721,83.88,0.00512
CNN_No_BN_Avg,76,0.3233,88.86,0.4722,83.79,0.00512
CNN_No_BN_Avg,77,0.3215,88.79,0.4858,83.78,0.00512
CNN_No_BN_Avg,78,0.3157,89.03,0.4633,83.8,0.00512
CNN_No_BN_Avg,79,0.3169,89.04,0.5104,82.52,0.00512
CNN_No_BN_Avg,80,0.3187,88.88,0.4744,84.19,0.00512
