Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
CNN_No_BN,1,1.8407,31.93,1.5183,44.66,0.01
CNN_No_BN,2,1.4772,45.94,1.316,51.6,0.01
CNN_No_BN,3,1.2714,54.18,1.1121,60.8,0.01
CNN_No_BN,4,1.1265,60.07,1.0474,62.93,0.01
CNN_No_BN,5,1.0214,64.11,0.9223,67.29,0.01
CNN_No_BN,6,0.9375,67.36,0.8458,70.65,0.01
CNN_No_BN,7,0.8698,69.69,0.8335,70.49,0.01
CNN_No_BN,8,0.8155,71.52,0.8168,72.09,0.01
CNN_No_BN,9,0.7748,73.11,0.7819,73.28,0.01
CNN_No_BN,10,0.7431,74.13,0.7221,75.04,0.01
CNN_No_BN,11,0.7096,75.23,0.6934,75.96,0.01
CNN_No_BN,12,0.6827,76.57,0.6767,77.05,0.01
CNN_No_BN,13,0.6572,77.54,0.6777,76.55,0.01
CNN_No_BN,14,0.6384,78.08,0.6334,77.97,0.01
CNN_No_BN,15,0.6129,78.74,0.613,78.62,0.01
CNN_No_BN,16,0.5847,79.88,0.6308,78.56,0.01
CNN_No_BN,17,0.578,80.01,0.6013,78.99,0.01
CNN_No_BN,18,0.5594,80.63,0.566,80.16,0.01
CNN_No_BN,19,0.5471,81.26,0.5547,81.25,0.01
CNN_No_BN,20,0.5261,81.73,0.5417,81.5,0.01
CNN_No_BN,21,0.5113,82.29,0.5298,81.76,0.01
CNN_No_BN,22,0.501,82.75,0.5525,81.29,0.01
CNN_No_BN,23,0.4855,83.29,0.5289,81.97,0.01
CNN_No_BN,24,0.4837,83.37,0.5195,81.36,0.01
CNN_No_BN,25,0.4705,83.83,0.546,81.58,0.01
CNN_No_BN,26,0.4571,84.23,0.5339,81.89,0.01
CNN_No_BN,27,0.4514,84.54,0.5035,82.64,0.01
CNN_No_BN,28,0.4368,84.73,0.4951,83.04,0.01
CNN_No_BN,29,0.4365,84.99,0.5167,82.77,0.01
CNN_No_BN,30,0.4257,85.23,0.5007,83.34,0.01
CNN_No_BN,31,0.4154,85.71,0.5242,82.65,0.01
CNN_No_BN,32,0.4113,85.86,0.4884,83.55,0.01
CNN_No_BN,33,0.3978,86.16,0.4864,83.29,0.01
CNN_No_BN,34,0.4008,86.14,0.5107,82.73,0.01
CNN_No_BN,35,0.397,86.23,0.4849,83.71,0.01
CNN_No_BN,36,0.3892,86.48,0.4782,83.73,0.01
CNN_No_BN,37,0.3759,87.02,0.4986,83.05,0.01
CNN_No_BN,38,0.3757,86.99,0.4758,83.77,0.01
CNN_No_BN,39,0.3718,87.05,0.47,83.73,0.01
CNN_No_BN,40,0.3665,87.22,0.4657,84.17,0.01
CNN_No_BN,41,0.3618,87.5,0.4773,84.36,0.01
CNN_No_BN,42,0.3539,87.71,0.4673,84.07,0.01
CNN_No_BN,43,0.3516,87.81,0.4726,84.23,0.01
CNN_No_BN,44,0.3473,87.91,0.4849,84.28,0.01
CNN_No_BN,45,0.3428,87.99,0.4891,83.63,0.01
CNN_No_BN,46,0.3422,88.06,0.455,84.58,0.01
CNN_No_BN,47,0.3333,88.44,0.4669,84.37,0.01
CNN_No_BN,48,0.3363,88.22,0.4866,83.81,0.01
CNN_No_BN,49,0.3244,88.74,0.4567,84.55,0.01
CNN_No_BN,50,0.3216,88.76,0.4662,84.49,0.01
CNN_No_BN,51,0.3185,89.04,0.4901,83.49,0.01
CNN_No_BN,52,0.3204,88.86,0.4524,84.87,0.01
CNN_No_BN,53,0.3149,89.17,0.4507,84.57,0.01
CNN_No_BN,54,0.3109,89.17,0.4433,85.27,0.01
CNN_No_BN,55,0.3083,89.38,0.4491,84.87,0.01
CNN_No_BN,56,0.3065,89.48,0.4702,84.76,0.01
CNN_No_BN,57,0.307,89.44,0.4575,85.0,0.01
CNN_No_BN,58,0.2973,89.54,0.4509,85.06,0.01
CNN_No_BN,59,0.2907,89.84,0.474,84.55,0.01
CNN_No_BN,60,0.2913,89.86,0.4594,84.18,0.01
CNN_No_BN,61,0.2706,90.65,0.4401,85.46,0.008
CNN_No_BN,62,0.2633,90.94,0.4378,85.44,0.008
CNN_No_BN,63,0.2596,90.96,0.4341,86.05,0.008
CNN_No_BN,64,0.2608,90.93,0.4491,85.6,0.008
CNN_No_BN,65,0.2586,91.07,0.4393,85.72,0.008
CNN_No_BN,66,0.2567,91.07,0.4449,85.89,0.008
CNN_No_BN,67,0.2481,91.37,0.445,85.52,0.008
CNN_No_BN,68,0.2504,91.13,0.426,86.07,0.008
CNN_No_BN,69,0.2464,91.47,0.4359,85.98,0.008
CNN_No_BN,70,0.2444,91.47,0.4434,85.82,0.008
CNN_No_BN,71,0.2422,91.6,0.465,84.32,0.008
CNN_No_BN,72,0.2486,91.33,0.4201,86.01,0.008
CNN_No_BN,73,0.2393,91.75,0.4444,85.25,0.008
CNN_No_BN,74,0.2467,91.45,0.4107,86.21,0.008
CNN_No_BN,75,0.2348,91.81,0.4392,85.84,0.008
CNN_No_BN,76,0.2339,91.87,0.4305,85.95,0.008
CNN_No_BN,77,0.238,91.81,0.4501,85.16,0.008
CNN_No_BN,78,0.2369,91.67,0.4171,86.16,0.008
CNN_No_BN,79,0.2322,91.9,0.4254,85.99,0.008
CNN_No_BN,80,0.233,91.91,0.4205,85.9,0.008
