Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
ResNet_Baseline,1,1.5077,44.33,1.3944,50.28,0.01
ResNet_Baseline,2,1.0891,61.11,1.1412,58.69,0.01
ResNet_Baseline,3,0.9241,67.1,0.9493,65.81,0.01
ResNet_Baseline,4,0.8207,71.03,1.0107,64.37,0.01
ResNet_Baseline,5,0.729,74.44,0.8849,68.96,0.01
ResNet_Baseline,6,0.6554,77.35,0.7126,75.3,0.01
ResNet_Baseline,7,0.6072,79.04,0.7337,74.46,0.01
ResNet_Baseline,8,0.5571,80.9,0.6893,76.12,0.01
ResNet_Baseline,9,0.5252,82.14,0.6584,76.96,0.01
ResNet_Baseline,10,0.4915,83.09,0.6495,77.36,0.01
ResNet_Baseline,11,0.4621,84.1,0.6134,78.86,0.01
ResNet_Baseline,12,0.4454,84.76,0.5577,80.75,0.01
ResNet_Baseline,13,0.4226,85.5,0.4985,83.19,0.01
ResNet_Baseline,14,0.4022,86.16,0.5408,81.23,0.01
ResNet_Baseline,15,0.3882,86.7,0.4964,83.15,0.01
ResNet_Baseline,16,0.3722,87.15,0.4471,84.87,0.01
ResNet_Baseline,17,0.3596,87.86,0.4787,83.73,0.01
ResNet_Baseline,18,0.3466,88.16,0.4678,84.1,0.01
ResNet_Baseline,19,0.3365,88.53,0.4592,84.24,0.01
ResNet_Baseline,20,0.3235,89.06,0.5285,82.02,0.01
ResNet_Baseline,21,0.3139,89.32,0.4564,84.26,0.01
ResNet_Baseline,22,0.3071,89.6,0.4338,84.93,0.01
ResNet_Baseline,23,0.2941,89.88,0.4669,84.62,0.01
ResNet_Baseline,24,0.2937,90.05,0.4425,84.52,0.01
ResNet_Baseline,25,0.2844,90.35,0.4325,85.38,0.01
ResNet_Baseline,26,0.2755,90.66,0.4337,85.13,0.01
ResNet_Baseline,27,0.2669,90.81,0.4392,84.69,0.01
ResNet_Baseline,28,0.267,90.89,0.4057,86.48,0.01
ResNet_Baseline,29,0.2545,91.29,0.4802,83.97,0.01
ResNet_Baseline,30,0.2539,91.38,0.4603,84.43,0.01
ResNet_Baseline,31,0.2428,91.68,0.4429,84.83,0.01
ResNet_Baseline,32,0.2385,92.03,0.4155,85.92,0.01
ResNet_Baseline,33,0.2346,92.0,0.3894,86.96,0.01
ResNet_Baseline,34,0.2313,92.06,0.4611,84.67,0.01
ResNet_Baseline,35,0.2279,92.24,0.4212,85.89,0.01
ResNet_Baseline,36,0.2227,92.3,0.4306,85.57,0.01
ResNet_Baseline,37,0.2171,92.53,0.4664,84.89,0.01
ResNet_Baseline,38,0.212,92.74,0.4046,86.65,0.01
ResNet_Baseline,39,0.2109,92.69,0.3965,86.62,0.01
ResNet_Baseline,40,0.1855,93.79,0.3648,88.15,0.008
ResNet_Baseline,41,0.1781,93.97,0.3996,86.97,0.008
ResNet_Baseline,42,0.1735,94.16,0.3959,86.91,0.008
ResNet_Baseline,43,0.1728,94.22,0.4352,86.14,0.008
ResNet_Baseline,44,0.1718,94.21,0.3996,86.79,0.008
ResNet_Baseline,45,0.1671,94.38,0.3741,87.86,0.008
ResNet_Baseline,46,0.1698,94.2,0.3795,87.7,0.008
ResNet_Baseline,47,0.1458,95.08,0.3597,88.0,0.0064
ResNet_Baseline,48,0.1386,95.43,0.3602,88.06,0.0064
ResNet_Baseline,49,0.1298,95.75,0.365,88.25,0.0064
ResNet_Baseline,50,0.1301,95.62,0.3721,87.89,0.0064
ResNet_Baseline,51,0.1302,95.66,0.411,86.64,0.0064
ResNet_Baseline,52,0.1303,95.68,0.3503,88.5,0.0064
ResNet_Baseline,53,0.1266,95.89,0.3654,87.97,0.0064
ResNet_Baseline,54,0.1288,95.74,0.3779,88.05,0.0064
ResNet_Baseline,55,0.1314,95.53,0.3725,88.11,0.0064
ResNet_Baseline,56,0.1297,95.62,0.4024,87.16,0.0064
ResNet_Baseline,57,0.1239,95.87,0.421,87.15,0.0064
ResNet_Baseline,58,0.1263,95.77,0.3721,87.72,0.0064
ResNet_Baseline,59,0.1105,96.45,0.3638,88.43,0.00512
ResNet_Baseline,60,0.1002,96.78,0.3484,89.07,0.00512
ResNet_Baseline,61,0.0982,96.85,0.3639,88.57,0.00512
ResNet_Baseline,62,0.0984,96.87,0.3856,87.94,0.00512
ResNet_Baseline,63,0.0964,96.87,0.3631,88.62,0.00512
ResNet_Baseline,64,0.0956,96.92,0.386,87.96,0.00512
ResNet_Baseline,65,0.0949,97.01,0.3724,88.2,0.00512
ResNet_Baseline,66,0.096,96.97,0.3749,88.23,0.00512
ResNet_Baseline,67,0.083,97.41,0.3664,88.64,0.004096
ResNet_Baseline,68,0.0753,97.76,0.3863,88.33,0.004096
ResNet_Baseline,69,0.0762,97.71,0.3653,88.98,0.004096
ResNet_Baseline,70,0.0707,97.91,0.3626,88.81,0.004096
ResNet_Baseline,71,0.0705,98.0,0.3679,88.67,0.004096
ResNet_Baseline,72,0.0737,97.75,0.3666,88.95,0.004096
ResNet_Baseline,73,0.0633,98.14,0.3473,89.79,0.0032768
ResNet_Baseline,74,0.0573,98.44,0.3411,89.47,0.0032768
ResNet_Baseline,75,0.0566,98.43,0.3368,89.33,0.0032768
ResNet_Baseline,76,0.0546,98.56,0.3515,89.02,0.0032768
ResNet_Baseline,77,0.0539,98.53,0.3438,89.33,0.0032768
ResNet_Baseline,78,0.0545,98.57,0.3332,89.64,0.0032768
ResNet_Baseline,79,0.0555,98.44,0.347,89.51,0.0032768
ResNet_Baseline,80,0.0467,98.82,0.3398,89.68,0.00262144
