Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
ResNet_No_BN_No_Res,1,2.1876,16.31,2.0337,19.67,0.01
ResNet_No_BN_No_Res,2,1.8886,26.08,1.751,32.62,0.01
ResNet_No_BN_No_Res,3,1.7261,33.68,1.6605,37.63,0.01
ResNet_No_BN_No_Res,4,1.6313,38.79,1.5607,40.91,0.01
ResNet_No_BN_No_Res,5,1.5068,43.63,1.458,45.9,0.01
ResNet_No_BN_No_Res,6,1.4222,47.22,1.4002,48.71,0.01
ResNet_No_BN_No_Res,7,1.3357,51.2,1.3059,52.23,0.01
ResNet_No_BN_No_Res,8,1.2535,54.3,1.2525,53.26,0.01
ResNet_No_BN_No_Res,9,1.1846,56.93,1.1517,57.7,0.01
ResNet_No_BN_No_Res,10,1.1324,59.3,1.1084,60.41,0.01
ResNet_No_BN_No_Res,11,1.0843,61.19,1.0425,62.23,0.01
ResNet_No_BN_No_Res,12,1.0383,62.95,1.0425,62.77,0.01
ResNet_No_BN_No_Res,13,1.0037,64.32,0.9963,64.48,0.01
ResNet_No_BN_No_Res,14,0.9603,65.85,0.9712,65.65,0.01
ResNet_No_BN_No_Res,15,0.9269,67.32,0.9803,65.49,0.01
ResNet_No_BN_No_Res,16,0.9035,67.99,0.8956,67.76,0.01
ResNet_No_BN_No_Res,17,0.8623,69.58,0.8519,70.35,0.01
ResNet_No_BN_No_Res,18,0.8385,70.32,0.8277,70.93,0.01
ResNet_No_BN_No_Res,19,0.8156,71.4,0.8519,70.13,0.01
ResNet_No_BN_No_Res,20,0.7869,72.32,0.83,71.26,0.01
ResNet_No_BN_No_Res,21,0.7694,73.08,0.7865,72.76,0.01
ResNet_No_BN_No_Res,22,0.7451,73.83,0.7792,72.88,0.01
ResNet_No_BN_No_Res,23,0.717,75.02,0.7501,73.45,0.01
ResNet_No_BN_No_Res,24,0.7022,75.55,0.7393,73.58,0.01
ResNet_No_BN_No_Res,25,0.6871,76.11,0.6883,76.23,0.01
ResNet_No_BN_No_Res,26,0.6564,77.16,0.6939,75.67,0.01
ResNet_No_BN_No_Res,27,0.6474,77.61,0.6553,76.88,0.01
ResNet_No_BN_No_Res,28,0.6365,77.82,0.6953,75.84,0.01
ResNet_No_BN_No_Res,29,0.611,78.69,0.6869,76.24,0.01
ResNet_No_BN_No_Res,30,0.5989,79.14,0.6321,78.23,0.01
ResNet_No_BN_No_Res,31,0.5783,79.85,0.64,77.96,0.01
ResNet_No_BN_No_Res,32,0.5645,80.39,0.6194,78.88,0.01
ResNet_No_BN_No_Res,33,0.5608,80.62,0.5966,79.19,0.01
ResNet_No_BN_No_Res,34,0.5463,80.81,0.5891,79.1,0.01
ResNet_No_BN_No_Res,35,0.5261,81.64,0.5907,79.63,0.01
ResNet_No_BN_No_Res,36,0.5155,82.11,0.5795,80.05,0.01
ResNet_No_BN_No_Res,37,0.4996,82.61,0.585,79.85,0.01
ResNet_No_BN_No_Res,38,0.4946,82.84,0.5767,80.48,0.01
ResNet_No_BN_No_Res,39,0.4757,83.49,0.562,80.79,0.01
ResNet_No_BN_No_Res,40,0.4718,83.76,0.5585,80.88,0.01
ResNet_No_BN_No_Res,41,0.4619,84.06,0.5462,81.25,0.01
ResNet_No_BN_No_Res,42,0.4447,84.53,0.5594,80.7,0.01
ResNet_No_BN_No_Res,43,0.4437,84.8,0.5541,80.89,0.01
ResNet_No_BN_No_Res,44,0.426,85.12,0.5113,82.53,0.01
ResNet_No_BN_No_Res,45,0.4215,85.49,0.5223,82.1,0.01
ResNet_No_BN_No_Res,46,0.4125,85.61,0.487,83.17,0.01
ResNet_No_BN_No_Res,47,0.4021,85.98,0.5059,82.9,0.01
ResNet_No_BN_No_Res,48,0.3937,86.35,0.5261,81.75,0.01
ResNet_No_BN_No_Res,49,0.3914,86.3,0.4994,82.99,0.01
ResNet_No_BN_No_Res,50,0.3826,86.8,0.4864,83.45,0.01
ResNet_No_BN_No_Res,51,0.3798,86.83,0.4796,83.66,0.01
ResNet_No_BN_No_Res,52,0.3673,87.1,0.4882,83.87,0.01
ResNet_No_BN_No_Res,53,0.3586,87.47,0.4777,83.36,0.01
ResNet_No_BN_No_Res,54,0.3553,87.6,0.482,84.02,0.01
ResNet_No_BN_No_Res,55,0.3503,87.75,0.5141,82.82,0.01
ResNet_No_BN_No_Res,56,0.3386,88.3,0.472,83.63,0.01
ResNet_No_BN_No_Res,57,0.3341,88.23,0.5553,81.3,0.01
ResNet_No_BN_No_Res,58,0.3302,88.58,0.4789,84.21,0.01
ResNet_No_BN_No_Res,59,0.3241,88.54,0.4676,84.15,0.01
ResNet_No_BN_No_Res,60,0.3197,88.93,0.4728,84.12,0.01
