Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
ResNet_No_BN,1,2.0361,22.66,1.8467,30.76,0.01
ResNet_No_BN,2,1.7685,33.26,1.6513,36.86,0.01
ResNet_No_BN,3,1.5976,40.42,1.5754,40.65,0.01
ResNet_No_BN,4,1.4865,45.3,1.47,47.52,0.01
ResNet_No_BN,5,1.3699,50.08,1.3115,52.37,0.01
ResNet_No_BN,6,1.2783,53.9,1.2196,56.47,0.01
ResNet_No_BN,7,1.1879,57.27,1.1547,58.47,0.01
ResNet_No_BN,8,1.1037,60.45,1.113,60.0,0.01
ResNet_No_BN,9,1.0271,63.56,0.9828,64.94,0.01
ResNet_No_BN,10,0.968,65.59,1.0311,63.13,0.01
ResNet_No_BN,11,0.925,67.59,0.975,65.14,0.01
ResNet_No_BN,12,0.8858,68.57,0.8643,69.75,0.01
ResNet_No_BN,13,0.8519,69.97,0.8748,69.0,0.01
ResNet_No_BN,14,0.8089,71.73,0.7895,72.09,0.01
ResNet_No_BN,15,0.7958,72.05,0.8072,72.02,0.01
ResNet_No_BN,16,0.7605,73.08,0.8651,69.64,0.01
ResNet_No_BN,17,0.7329,74.37,0.7274,74.86,0.01
ResNet_No_BN,18,0.702,75.29,0.7404,74.66,0.01
ResNet_No_BN,19,0.6851,76.08,0.7413,74.23,0.01
ResNet_No_BN,20,0.6649,76.76,0.7211,74.65,0.01
ResNet_No_BN,21,0.6449,77.39,0.6644,76.86,0.01
ResNet_No_BN,22,0.6408,77.42,0.6593,77.05,0.01
ResNet_No_BN,23,0.6106,78.71,0.6653,77.1,0.01
ResNet_No_BN,24,0.5893,79.41,0.6509,77.29,0.01
ResNet_No_BN,25,0.577,79.77,0.6286,78.47,0.01
ResNet_No_BN,26,0.5689,79.95,0.6189,78.17,0.01
ResNet_No_BN,27,0.5449,81.1,0.6485,77.37,0.01
ResNet_No_BN,28,0.5444,81.03,0.6071,78.92,0.01
ResNet_No_BN,29,0.5215,81.7,0.6296,78.12,0.01
ResNet_No_BN,30,0.4983,82.73,0.5763,80.13,0.01
ResNet_No_BN,31,0.4973,82.52,0.5582,81.19,0.01
ResNet_No_BN,32,0.4841,83.2,0.5732,80.68,0.01
ResNet_No_BN,33,0.4709,83.39,0.5975,79.67,0.01
ResNet_No_BN,34,0.455,84.12,0.5545,80.67,0.01
ResNet_No_BN,35,0.4464,84.51,0.5712,80.68,0.01
ResNet_No_BN,36,0.4338,85.03,0.59,80.32,0.01
ResNet_No_BN,37,0.4194,85.46,0.5256,82.34,0.01
ResNet_No_BN,38,0.412,85.61,0.531,81.74,0.01
ResNet_No_BN,39,0.4015,86.12,0.5361,81.77,0.01
ResNet_No_BN,40,0.3957,86.29,0.5297,82.02,0.01
ResNet_No_BN,41,0.3928,86.35,0.5162,82.71,0.01
ResNet_No_BN,42,0.3783,86.74,0.5243,82.55,0.01
ResNet_No_BN,43,0.3682,87.12,0.5311,82.15,0.01
ResNet_No_BN,44,0.3554,87.79,0.5219,82.42,0.01
ResNet_No_BN,45,0.3534,87.72,0.5279,82.24,0.01
ResNet_No_BN,46,0.3411,88.1,0.5149,82.54,0.01
ResNet_No_BN,47,0.3338,88.33,0.4722,84.14,0.01
ResNet_No_BN,48,0.3287,88.52,0.5552,81.61,0.01
ResNet_No_BN,49,0.3271,88.54,0.4889,83.8,0.01
ResNet_No_BN,50,0.3192,88.85,0.5519,81.8,0.01
ResNet_No_BN,51,0.3121,89.14,0.492,83.52,0.01
ResNet_No_BN,52,0.3005,89.51,0.5134,83.32,0.01
ResNet_No_BN,53,0.2963,89.67,0.493,83.64,0.01
ResNet_No_BN,54,0.2606,90.85,0.4576,84.98,0.008
ResNet_No_BN,55,0.2557,90.95,0.4958,84.1,0.008
ResNet_No_BN,56,0.2517,91.07,0.4616,84.91,0.008
ResNet_No_BN,57,0.2481,91.38,0.4488,85.41,0.008
ResNet_No_BN,58,0.239,91.49,0.5211,83.49,0.008
ResNet_No_BN,59,0.2448,91.17,0.4837,84.55,0.008
ResNet_No_BN,60,0.2314,91.68,0.4869,84.77,0.008
ResNet_No_BN,61,0.2354,91.79,0.4922,84.25,0.008
ResNet_No_BN,62,0.229,91.83,0.4995,84.14,0.008
ResNet_No_BN,63,0.2232,92.12,0.4484,85.71,0.008
ResNet_No_BN,64,0.2144,92.37,0.4688,85.1,0.008
ResNet_No_BN,65,0.2153,92.4,0.4817,84.5,0.008
ResNet_No_BN,66,0.207,92.58,0.4597,85.47,0.008
ResNet_No_BN,67,0.2073,92.66,0.461,85.53,0.008
ResNet_No_BN,68,0.1997,92.96,0.5002,85.11,0.008
ResNet_No_BN,69,0.2001,93.01,0.4783,84.91,0.008
ResNet_No_BN,70,0.1709,93.9,0.4664,85.67,0.0064
ResNet_No_BN,71,0.1688,94.17,0.5217,84.62,0.0064
ResNet_No_BN,72,0.1688,94.15,0.4878,84.85,0.0064
ResNet_No_BN,73,0.1622,94.28,0.4642,85.43,0.0064
ResNet_No_BN,74,0.1572,94.51,0.4916,85.07,0.0064
ResNet_No_BN,75,0.1505,94.73,0.4971,85.46,0.0064
ResNet_No_BN,76,0.1335,95.31,0.4734,86.31,0.00512
ResNet_No_BN,77,0.1315,95.49,0.4834,85.73,0.00512
ResNet_No_BN,78,0.1283,95.5,0.4977,85.68,0.00512
ResNet_No_BN,79,0.125,95.69,0.4921,85.76,0.00512
ResNet_No_BN,80,0.1306,95.49,0.4715,86.01,0.00512
