Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
ResNet_No_Res,1,1.486,45.53,1.3215,51.83,0.01
ResNet_No_Res,2,1.0836,61.14,1.2837,56.8,0.01
ResNet_No_Res,3,0.9168,67.29,0.9933,65.14,0.01
ResNet_No_Res,4,0.8048,71.78,0.9873,65.0,0.01
ResNet_No_Res,5,0.7225,74.68,0.835,71.28,0.01
ResNet_No_Res,6,0.6598,77.14,0.7549,74.54,0.01
ResNet_No_Res,7,0.6103,78.98,0.7377,75.23,0.01
ResNet_No_Res,8,0.563,80.55,0.7116,75.37,0.01
ResNet_No_Res,9,0.531,81.8,0.652,77.33,0.01
ResNet_No_Res,10,0.5,82.79,0.7001,76.09,0.01
ResNet_No_Res,11,0.4774,83.58,0.7331,75.44,0.01
ResNet_No_Res,12,0.4542,84.41,0.5873,79.93,0.01
ResNet_No_Res,13,0.4355,85.28,0.5433,81.31,0.01
ResNet_No_Res,14,0.4122,85.88,0.5441,81.36,0.01
ResNet_No_Res,15,0.3986,86.3,0.5083,83.03,0.01
ResNet_No_Res,16,0.3834,86.78,0.5392,81.23,0.01
ResNet_No_Res,17,0.3705,87.42,0.553,80.93,0.01
ResNet_No_Res,18,0.3603,87.73,0.5096,82.69,0.01
ResNet_No_Res,19,0.3451,88.12,0.5812,80.79,0.01
ResNet_No_Res,20,0.3372,88.35,0.4555,84.67,0.01
ResNet_No_Res,21,0.3233,88.95,0.5149,83.2,0.01
ResNet_No_Res,22,0.3137,89.24,0.6318,78.99,0.01
ResNet_No_Res,23,0.3058,89.57,0.4552,84.62,0.01
ResNet_No_Res,24,0.2996,89.79,0.489,83.71,0.01
ResNet_No_Res,25,0.2911,90.04,0.4369,85.34,0.01
ResNet_No_Res,26,0.2849,90.21,0.5045,82.94,0.01
ResNet_No_Res,27,0.2743,90.63,0.4313,85.46,0.01
ResNet_No_Res,28,0.272,90.61,0.449,85.3,0.01
ResNet_No_Res,29,0.2613,90.97,0.4694,84.6,0.01
ResNet_No_Res,30,0.2591,91.17,0.4822,83.97,0.01
ResNet_No_Res,31,0.2497,91.33,0.4591,84.6,0.01
ResNet_No_Res,32,0.2426,91.55,0.4354,85.24,0.01
ResNet_No_Res,33,0.2422,91.69,0.4421,85.57,0.01
ResNet_No_Res,34,0.2393,91.83,0.4202,86.01,0.01
ResNet_No_Res,35,0.2336,91.92,0.4124,86.11,0.01
ResNet_No_Res,36,0.2268,92.21,0.4443,85.24,0.01
ResNet_No_Res,37,0.2274,92.13,0.4378,85.82,0.01
ResNet_No_Res,38,0.2189,92.51,0.4172,86.28,0.01
ResNet_No_Res,39,0.2174,92.44,0.4448,85.51,0.01
ResNet_No_Res,40,0.209,92.89,0.4179,86.39,0.01
ResNet_No_Res,41,0.213,92.68,0.4319,85.7,0.01
ResNet_No_Res,42,0.2077,92.88,0.445,85.32,0.01
ResNet_No_Res,43,0.2009,93.15,0.4382,86.14,0.01
ResNet_No_Res,44,0.2006,93.07,0.4276,86.1,0.01
ResNet_No_Res,45,0.1985,93.22,0.4414,85.84,0.01
ResNet_No_Res,46,0.1926,93.35,0.4368,85.97,0.01
ResNet_No_Res,47,0.1649,94.52,0.4018,86.88,0.008
ResNet_No_Res,48,0.1605,94.55,0.3911,87.03,0.008
ResNet_No_Res,49,0.1604,94.49,0.3839,87.29,0.008
ResNet_No_Res,50,0.1592,94.67,0.4384,85.89,0.008
ResNet_No_Res,51,0.1545,94.82,0.4248,86.63,0.008
ResNet_No_Res,52,0.1566,94.63,0.3895,87.31,0.008
ResNet_No_Res,53,0.1537,94.85,0.3948,87.52,0.008
ResNet_No_Res,54,0.1507,94.86,0.4073,86.51,0.008
ResNet_No_Res,55,0.1506,94.84,0.4032,87.11,0.008
ResNet_No_Res,56,0.1462,95.05,0.4699,84.91,0.008
ResNet_No_Res,57,0.1481,95.02,0.3732,87.87,0.008
ResNet_No_Res,58,0.1455,95.14,0.3955,86.85,0.008
ResNet_No_Res,59,0.1456,95.07,0.4599,85.58,0.008
ResNet_No_Res,60,0.1496,94.94,0.414,87.01,0.008
ResNet_No_Res,61,0.1462,95.08,0.3842,87.71,0.008
ResNet_No_Res,62,0.1459,95.1,0.4386,86.17,0.008
ResNet_No_Res,63,0.1437,95.06,0.3883,87.67,0.008
ResNet_No_Res,64,0.1178,96.24,0.3737,88.12,0.0064
ResNet_No_Res,65,0.1093,96.42,0.3999,87.87,0.0064
ResNet_No_Res,66,0.1116,96.36,0.3789,87.76,0.0064
ResNet_No_Res,67,0.1119,96.37,0.4143,87.08,0.0064
ResNet_No_Res,68,0.1096,96.45,0.4144,87.05,0.0064
ResNet_No_Res,69,0.1083,96.56,0.3848,87.61,0.0064
ResNet_No_Res,70,0.1074,96.5,0.4014,87.27,0.0064
ResNet_No_Res,71,0.0893,97.3,0.3594,88.66,0.00512
ResNet_No_Res,72,0.0866,97.3,0.3766,87.96,0.00512
ResNet_No_Res,73,0.0831,97.47,0.3511,88.68,0.00512
ResNet_No_Res,74,0.0853,97.31,0.4389,86.97,0.00512
ResNet_No_Res,75,0.0835,97.47,0.3649,88.44,0.00512
ResNet_No_Res,76,0.0838,97.4,0.394,87.75,0.00512
ResNet_No_Res,77,0.0827,97.47,0.3681,88.56,0.00512
ResNet_No_Res,78,0.0839,97.32,0.378,88.66,0.00512
ResNet_No_Res,79,0.0831,97.44,0.3774,88.37,0.00512
ResNet_No_Res,80,0.0692,97.94,0.357,89.03,0.004096
