Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
VGG_AvgPool,1,1.6398,38.86,1.5189,45.3,0.01
VGG_AvgPool,2,1.2641,54.29,1.2595,56.71,0.01
VGG_AvgPool,3,1.0728,61.7,0.9632,65.3,0.01
VGG_AvgPool,4,0.952,66.38,0.9211,66.88,0.01
VGG_AvgPool,5,0.8698,69.55,0.8809,68.56,0.01
VGG_AvgPool,6,0.7959,72.11,0.8065,71.54,0.01
VGG_AvgPool,7,0.7494,73.96,0.8422,70.94,0.01
VGG_AvgPool,8,0.7088,75.46,0.7275,75.08,0.01
VGG_AvgPool,9,0.6616,77.04,0.731,74.73,0.01
VGG_AvgPool,10,0.6306,78.25,0.6657,77.05,0.01
VGG_AvgPool,11,0.6018,79.25,0.7514,74.35,0.01
VGG_AvgPool,12,0.5772,80.07,0.6656,76.84,0.01
VGG_AvgPool,13,0.5616,80.71,0.7027,76.04,0.01
VGG_AvgPool,14,0.5398,81.49,0.5749,80.23,0.01
VGG_AvgPool,15,0.5213,82.0,0.6316,78.48,0.01
VGG_AvgPool,16,0.4982,82.79,0.6734,77.45,0.01
VGG_AvgPool,17,0.4815,83.48,0.6446,77.35,0.01
VGG_AvgPool,18,0.4691,83.88,0.6257,78.75,0.01
VGG_AvgPool,19,0.4463,84.66,0.5781,80.03,0.01
VGG_AvgPool,20,0.4371,85.06,0.6017,79.74,0.01
VGG_AvgPool,21,0.3974,86.33,0.5358,82.07,0.008
VGG_AvgPool,22,0.3831,86.83,0.5219,81.99,0.008
VGG_AvgPool,23,0.3792,87.08,0.5138,82.71,0.008
VGG_AvgPool,24,0.3635,87.68,0.4865,83.23,0.008
VGG_AvgPool,25,0.3583,87.81,0.5331,81.6,0.008
VGG_AvgPool,26,0.3486,88.02,0.5062,83.04,0.008
VGG_AvgPool,27,0.3368,88.46,0.4533,84.58,0.008
VGG_AvgPool,28,0.3351,88.57,0.5401,82.34,0.008
VGG_AvgPool,29,0.3251,88.88,0.6112,80.02,0.008
VGG_AvgPool,30,0.3197,88.98,0.4822,83.72,0.008
VGG_AvgPool,31,0.3103,89.33,0.5188,83.06,0.008
VGG_AvgPool,32,0.3002,89.69,0.4773,84.34,0.008
VGG_AvgPool,33,0.2967,89.81,0.4888,84.25,0.008
VGG_AvgPool,34,0.2687,90.82,0.4256,85.63,0.0064
VGG_AvgPool,35,0.2564,91.15,0.4485,84.93,0.0064
VGG_AvgPool,36,0.2509,91.49,0.4328,85.2,0.0064
VGG_AvgPool,37,0.2467,91.63,0.448,85.31,0.0064
VGG_AvgPool,38,0.2433,91.84,0.4896,84.06,0.0064
VGG_AvgPool,39,0.2428,91.82,0.4459,85.45,0.0064
VGG_AvgPool,40,0.2345,91.95,0.4393,85.59,0.0064
VGG_AvgPool,41,0.2107,92.97,0.4244,86.27,0.00512
VGG_AvgPool,42,0.2034,92.99,0.4144,86.8,0.00512
VGG_AvgPool,43,0.1962,93.45,0.4183,86.64,0.00512
VGG_AvgPool,44,0.1953,93.47,0.4055,86.6,0.00512
VGG_AvgPool,45,0.192,93.33,0.4152,86.33,0.00512
VGG_AvgPool,46,0.187,93.74,0.4042,86.89,0.00512
VGG_AvgPool,47,0.1861,93.69,0.421,86.23,0.00512
VGG_AvgPool,48,0.1808,93.89,0.3949,87.21,0.00512
VGG_AvgPool,49,0.1833,93.7,0.4018,86.82,0.00512
