Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
VGG_Baseline,1,1.5085,44.04,1.4325,47.24,0.01
VGG_Baseline,2,1.1281,59.3,1.0853,61.38,0.01
VGG_Baseline,3,0.9709,65.59,1.0881,61.84,0.01
VGG_Baseline,4,0.8837,69.03,0.8704,69.03,0.01
VGG_Baseline,5,0.8043,72.01,0.9158,67.25,0.01
VGG_Baseline,6,0.7538,73.93,0.7613,73.53,0.01
VGG_Baseline,7,0.7078,75.45,0.7651,73.15,0.01
VGG_Baseline,8,0.6734,76.8,0.6539,77.28,0.01
VGG_Baseline,9,0.63,78.5,0.6928,75.48,0.01
VGG_Baseline,10,0.6118,79.07,0.6534,77.06,0.01
VGG_Baseline,11,0.5893,79.88,0.6452,78.37,0.01
VGG_Baseline,12,0.5626,80.75,0.5628,80.56,0.01
VGG_Baseline,13,0.5421,81.33,0.5596,80.77,0.01
VGG_Baseline,14,0.5187,82.29,0.5669,80.57,0.01
VGG_Baseline,15,0.5029,82.75,0.5629,81.01,0.01
VGG_Baseline,16,0.4895,83.27,0.5519,81.03,0.01
VGG_Baseline,17,0.4761,83.89,0.5212,82.61,0.01
VGG_Baseline,18,0.4602,84.31,0.5134,82.08,0.01
VGG_Baseline,19,0.44,84.94,0.5519,81.41,0.01
VGG_Baseline,20,0.429,85.41,0.4938,83.02,0.01
VGG_Baseline,21,0.4223,85.52,0.5521,81.54,0.01
VGG_Baseline,22,0.4071,86.04,0.513,82.84,0.01
VGG_Baseline,23,0.3961,86.45,0.5607,81.28,0.01
VGG_Baseline,24,0.3864,86.89,0.5122,82.7,0.01
VGG_Baseline,25,0.3748,87.11,0.4631,84.38,0.01
VGG_Baseline,26,0.3642,87.47,0.4836,84.17,0.01
VGG_Baseline,27,0.3563,87.88,0.4914,83.58,0.01
VGG_Baseline,28,0.3444,88.26,0.4902,83.23,0.01
VGG_Baseline,29,0.3388,88.47,0.5085,83.41,0.01
VGG_Baseline,30,0.3325,88.78,0.5179,82.97,0.01
VGG_Baseline,31,0.3274,88.84,0.476,84.27,0.01
VGG_Baseline,32,0.2896,90.11,0.426,85.85,0.008
VGG_Baseline,33,0.2807,90.28,0.4345,85.62,0.008
VGG_Baseline,34,0.273,90.65,0.4193,85.79,0.008
VGG_Baseline,35,0.2715,90.82,0.4446,85.32,0.008
VGG_Baseline,36,0.2651,90.93,0.4185,86.21,0.008
VGG_Baseline,37,0.2545,91.39,0.405,86.03,0.008
VGG_Baseline,38,0.2492,91.52,0.4179,86.36,0.008
VGG_Baseline,39,0.2457,91.58,0.4065,86.27,0.008
VGG_Baseline,40,0.2423,91.63,0.4479,85.39,0.008
VGG_Baseline,41,0.2389,91.88,0.4265,86.06,0.008
VGG_Baseline,42,0.2352,91.85,0.4133,86.17,0.008
VGG_Baseline,43,0.2343,92.05,0.4078,86.48,0.008
VGG_Baseline,44,0.2274,92.23,0.4312,85.83,0.008
VGG_Baseline,45,0.2219,92.49,0.4275,86.29,0.008
VGG_Baseline,46,0.2212,92.4,0.4249,86.16,0.008
VGG_Baseline,47,0.2196,92.52,0.4112,86.69,0.008
VGG_Baseline,48,0.2143,92.67,0.4207,86.33,0.008
VGG_Baseline,49,0.2114,92.82,0.4109,86.72,0.008
VGG_Baseline,50,0.2062,93.0,0.4191,86.6,0.008
VGG_Baseline,51,0.2056,92.96,0.4007,86.94,0.008
VGG_Baseline,52,0.2008,92.98,0.4274,86.41,0.008
VGG_Baseline,53,0.1988,93.14,0.3992,87.24,0.008
VGG_Baseline,54,0.1978,93.32,0.4329,85.75,0.008
VGG_Baseline,55,0.194,93.31,0.3855,87.45,0.008
VGG_Baseline,56,0.1895,93.52,0.433,86.01,0.008
VGG_Baseline,57,0.1918,93.58,0.4099,87.02,0.008
VGG_Baseline,58,0.1833,93.73,0.4463,85.54,0.008
VGG_Baseline,59,0.182,93.81,0.4026,86.93,0.008
VGG_Baseline,60,0.1791,93.99,0.417,86.14,0.008
VGG_Baseline,61,0.1833,93.8,0.39,87.3,0.008
VGG_Baseline,62,0.1567,94.77,0.3772,87.95,0.0064
VGG_Baseline,63,0.153,94.93,0.4185,86.83,0.0064
VGG_Baseline,64,0.1502,95.02,0.4011,87.06,0.0064
VGG_Baseline,65,0.1425,95.18,0.3862,87.95,0.0064
VGG_Baseline,66,0.1432,95.15,0.4078,87.47,0.0064
VGG_Baseline,67,0.1443,95.13,0.421,86.79,0.0064
VGG_Baseline,68,0.1384,95.38,0.4013,87.7,0.0064
VGG_Baseline,69,0.1272,95.78,0.3768,88.27,0.00512
VGG_Baseline,70,0.122,95.86,0.3763,88.07,0.00512
VGG_Baseline,71,0.1141,96.17,0.3882,87.85,0.00512
VGG_Baseline,72,0.1165,96.1,0.3969,88.02,0.00512
VGG_Baseline,73,0.1164,96.15,0.3686,88.46,0.00512
VGG_Baseline,74,0.1086,96.37,0.3805,88.46,0.00512
VGG_Baseline,75,0.1113,96.28,0.3705,88.46,0.00512
VGG_Baseline,76,0.1122,96.29,0.405,87.68,0.00512
VGG_Baseline,77,0.1091,96.37,0.3887,88.27,0.00512
VGG_Baseline,78,0.1106,96.37,0.3838,88.1,0.00512
VGG_Baseline,79,0.1133,96.25,0.3917,88.01,0.00512
VGG_Baseline,80,0.0911,97.06,0.3777,88.54,0.004096
