Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
VGG_NoPooling,1,1.7335,33.99,1.5848,40.98,0.01
VGG_NoPooling,2,1.4176,47.85,1.2975,53.0,0.01
VGG_NoPooling,3,1.2736,53.89,1.2962,53.74,0.01
VGG_NoPooling,4,1.1755,57.92,1.399,49.34,0.01
VGG_NoPooling,5,1.1029,60.53,1.1365,59.43,0.01
VGG_NoPooling,6,1.0488,62.83,1.0941,59.7,0.01
VGG_NoPooling,7,0.9963,64.59,1.4541,53.76,0.01
VGG_NoPooling,8,0.9556,66.15,1.092,61.42,0.01
VGG_NoPooling,9,0.921,67.49,1.0651,61.29,0.01
VGG_NoPooling,10,0.8864,68.52,0.904,67.72,0.01
VGG_NoPooling,11,0.8525,70.22,1.0027,64.11,0.01
VGG_NoPooling,12,0.8319,70.95,1.06,62.95,0.01
VGG_NoPooling,13,0.809,71.56,0.8034,71.51,0.01
VGG_NoPooling,14,0.7797,72.55,1.0249,65.28,0.01
VGG_NoPooling,15,0.7562,73.82,0.9537,65.97,0.01
VGG_NoPooling,16,0.7315,74.55,0.9384,67.29,0.01
VGG_NoPooling,17,0.7182,74.98,0.8911,68.44,0.01
VGG_NoPooling,18,0.6927,75.91,0.801,71.92,0.01
VGG_NoPooling,19,0.6754,76.7,1.0943,63.14,0.01
VGG_NoPooling,20,0.6651,77.15,1.149,64.84,0.01
VGG_NoPooling,21,0.6476,77.57,0.7779,73.46,0.01
VGG_NoPooling,22,0.6289,78.33,0.7614,73.37,0.01
VGG_NoPooling,23,0.6185,78.58,0.7536,73.69,0.01
VGG_NoPooling,24,0.598,79.65,0.9954,67.94,0.01
VGG_NoPooling,25,0.5906,79.88,0.7116,75.04,0.01
VGG_NoPooling,26,0.5767,80.11,0.8,72.16,0.01
VGG_NoPooling,27,0.5616,80.61,0.6678,77.4,0.01
VGG_NoPooling,28,0.5518,81.01,0.6353,77.89,0.01
VGG_NoPooling,29,0.5377,81.48,0.6511,76.75,0.01
VGG_NoPooling,30,0.5301,81.73,0.6947,76.42,0.01
VGG_NoPooling,31,0.5228,82.12,0.6627,76.99,0.01
VGG_NoPooling,32,0.515,82.45,0.7636,74.15,0.01
VGG_NoPooling,33,0.5021,82.78,0.7721,73.98,0.01
VGG_NoPooling,34,0.486,83.42,0.5631,80.51,0.01
VGG_NoPooling,35,0.4788,83.64,0.6356,77.57,0.01
VGG_NoPooling,36,0.4722,83.81,0.6572,77.71,0.01
VGG_NoPooling,37,0.4672,84.17,0.7185,76.1,0.01
VGG_NoPooling,38,0.4592,84.28,0.8391,73.09,0.01
VGG_NoPooling,39,0.4527,84.56,0.6331,78.26,0.01
VGG_NoPooling,40,0.4484,84.77,0.8681,72.22,0.01
VGG_NoPooling,41,0.4066,86.24,0.5554,81.05,0.008
VGG_NoPooling,42,0.4,86.52,0.5691,80.37,0.008
VGG_NoPooling,43,0.3898,86.83,0.6762,78.13,0.008
VGG_NoPooling,44,0.3932,86.68,0.5893,80.51,0.008
VGG_NoPooling,45,0.3832,87.05,0.6025,79.72,0.008
VGG_NoPooling,46,0.3807,87.12,0.7177,75.98,0.008
VGG_NoPooling,47,0.3763,87.28,0.5722,80.32,0.008
VGG_NoPooling,48,0.3416,88.36,0.8148,72.78,0.0064
VGG_NoPooling,49,0.3362,88.68,0.5855,80.56,0.0064
VGG_NoPooling,50,0.3323,88.77,0.5983,80.13,0.0064
VGG_NoPooling,51,0.3275,88.72,0.5615,81.35,0.0064
VGG_NoPooling,52,0.3248,89.14,0.5194,82.32,0.0064
VGG_NoPooling,53,0.3259,89.04,0.5733,80.92,0.0064
VGG_NoPooling,54,0.318,89.17,0.6087,79.58,0.0064
VGG_NoPooling,55,0.3098,89.5,0.8674,74.04,0.0064
VGG_NoPooling,56,0.3141,89.43,0.7427,76.83,0.0064
VGG_NoPooling,57,0.3141,89.41,0.8578,74.59,0.0064
VGG_NoPooling,58,0.2999,89.85,0.5124,82.73,0.0064
VGG_NoPooling,59,0.3011,89.83,0.8533,74.56,0.0064
VGG_NoPooling,60,0.2997,89.86,0.5602,81.23,0.0064
VGG_NoPooling,61,0.2963,89.88,0.6532,78.83,0.0064
VGG_NoPooling,62,0.2942,90.01,0.6561,78.91,0.0064
VGG_NoPooling,63,0.2876,90.15,0.9492,72.41,0.0064
VGG_NoPooling,64,0.2909,90.21,0.6053,80.64,0.0064
VGG_NoPooling,65,0.2535,91.55,0.7417,77.72,0.00512
VGG_NoPooling,66,0.2446,91.83,0.5265,82.72,0.00512
VGG_NoPooling,67,0.2463,91.64,0.538,82.35,0.00512
VGG_NoPooling,68,0.2446,91.74,0.766,77.34,0.00512
VGG_NoPooling,69,0.2474,91.7,0.5994,80.37,0.00512
VGG_NoPooling,70,0.2419,91.87,0.6003,80.93,0.00512
VGG_NoPooling,71,0.2103,93.01,0.4817,84.3,0.004096
VGG_NoPooling,72,0.2032,93.3,0.5655,82.0,0.004096
VGG_NoPooling,73,0.201,93.36,0.6269,80.42,0.004096
VGG_NoPooling,74,0.2015,93.39,0.6531,79.98,0.004096
VGG_NoPooling,75,0.1933,93.66,0.653,80.48,0.004096
VGG_NoPooling,76,0.196,93.42,0.7398,77.54,0.004096
VGG_NoPooling,77,0.1993,93.29,0.6552,80.79,0.004096
VGG_NoPooling,78,0.1714,94.34,0.5083,83.9,0.0032768
VGG_NoPooling,79,0.1637,94.67,0.5282,83.28,0.0032768
VGG_NoPooling,80,0.1632,94.73,0.5107,83.88,0.0032768
