Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
VGG_No_BN,1,2.017,23.19,1.7449,34.46,0.01
VGG_No_BN,2,1.648,37.7,1.4714,44.28,0.01
VGG_No_BN,3,1.4375,46.69,1.3047,52.2,0.01
VGG_No_BN,4,1.273,53.74,1.1303,58.97,0.01
VGG_No_BN,5,1.125,59.76,1.0284,63.39,0.01
VGG_No_BN,6,1.0145,63.86,0.9264,66.53,0.01
VGG_No_BN,7,0.9165,67.71,0.8965,68.92,0.01
VGG_No_BN,8,0.846,70.55,0.8091,71.7,0.01
VGG_No_BN,9,0.786,72.85,0.764,72.63,0.01
VGG_No_BN,10,0.7341,74.64,0.726,74.88,0.01
VGG_No_BN,11,0.6931,76.15,0.7041,75.37,0.01
VGG_No_BN,12,0.6569,77.43,0.643,77.54,0.01
VGG_No_BN,13,0.6295,78.43,0.679,76.48,0.01
VGG_No_BN,14,0.6043,79.27,0.6248,78.63,0.01
VGG_No_BN,15,0.5717,80.47,0.6096,79.3,0.01
VGG_No_BN,16,0.5505,81.22,0.5901,79.06,0.01
VGG_No_BN,17,0.5284,82.06,0.5696,81.17,0.01
VGG_No_BN,18,0.5074,82.49,0.565,80.54,0.01
VGG_No_BN,19,0.4886,83.32,0.552,80.71,0.01
VGG_No_BN,20,0.4696,83.84,0.5702,80.65,0.01
VGG_No_BN,21,0.4588,84.46,0.5406,82.17,0.01
VGG_No_BN,22,0.4424,84.83,0.5168,82.38,0.01
VGG_No_BN,23,0.4249,85.51,0.535,81.84,0.01
VGG_No_BN,24,0.4155,85.66,0.5083,82.84,0.01
VGG_No_BN,25,0.399,86.31,0.4835,83.58,0.01
VGG_No_BN,26,0.3884,86.75,0.5176,82.51,0.01
VGG_No_BN,27,0.38,86.97,0.4818,84.04,0.01
VGG_No_BN,28,0.3697,87.27,0.485,83.75,0.01
VGG_No_BN,29,0.3554,87.86,0.4768,84.03,0.01
VGG_No_BN,30,0.3463,88.07,0.5032,83.79,0.01
VGG_No_BN,31,0.344,88.25,0.4664,83.9,0.01
VGG_No_BN,32,0.328,88.59,0.4725,84.17,0.01
VGG_No_BN,33,0.3119,89.26,0.4479,84.52,0.01
VGG_No_BN,34,0.3047,89.59,0.4746,84.37,0.01
VGG_No_BN,35,0.299,89.7,0.4755,84.43,0.01
VGG_No_BN,36,0.2937,89.98,0.4638,84.01,0.01
VGG_No_BN,37,0.2876,90.15,0.4571,84.45,0.01
VGG_No_BN,38,0.2815,90.32,0.4267,85.56,0.01
VGG_No_BN,39,0.2704,90.61,0.445,85.25,0.01
VGG_No_BN,40,0.2703,90.73,0.459,85.12,0.01
VGG_No_BN,41,0.262,90.92,0.4346,85.58,0.01
VGG_No_BN,42,0.2519,91.26,0.4533,85.05,0.01
VGG_No_BN,43,0.2491,91.52,0.4412,85.74,0.01
VGG_No_BN,44,0.2426,91.66,0.4828,84.47,0.01
VGG_No_BN,45,0.2395,91.79,0.4297,85.99,0.01
VGG_No_BN,46,0.2388,91.69,0.4401,85.84,0.01
VGG_No_BN,47,0.2254,92.18,0.4662,85.16,0.01
VGG_No_BN,48,0.2222,92.3,0.4941,84.4,0.01
VGG_No_BN,49,0.2282,92.07,0.4416,85.73,0.01
VGG_No_BN,50,0.2148,92.62,0.4511,85.59,0.01
VGG_No_BN,51,0.2107,92.75,0.4283,85.99,0.01
VGG_No_BN,52,0.1813,93.67,0.4141,86.51,0.008
VGG_No_BN,53,0.1766,94.07,0.4112,86.62,0.008
VGG_No_BN,54,0.1767,93.98,0.4258,86.14,0.008
VGG_No_BN,55,0.1694,94.24,0.428,86.54,0.008
VGG_No_BN,56,0.1628,94.4,0.4442,85.94,0.008
VGG_No_BN,57,0.1671,94.19,0.4252,86.72,0.008
VGG_No_BN,58,0.1627,94.38,0.4387,86.16,0.008
VGG_No_BN,59,0.1574,94.68,0.4531,85.84,0.008
VGG_No_BN,60,0.1573,94.61,0.4239,86.63,0.008
VGG_No_BN,61,0.1459,95.08,0.459,86.17,0.008
VGG_No_BN,62,0.1507,94.82,0.4249,86.75,0.008
VGG_No_BN,63,0.1445,95.06,0.4192,86.96,0.008
VGG_No_BN,64,0.1497,94.9,0.4418,86.8,0.008
VGG_No_BN,65,0.147,94.97,0.4406,86.39,0.008
VGG_No_BN,66,0.141,95.27,0.4512,86.13,0.008
VGG_No_BN,67,0.1366,95.26,0.4369,86.41,0.008
VGG_No_BN,68,0.1392,95.14,0.4402,86.19,0.008
VGG_No_BN,69,0.1372,95.37,0.4262,86.84,0.008
VGG_No_BN,70,0.1208,95.91,0.4269,87.15,0.0064
VGG_No_BN,71,0.1136,96.16,0.4203,87.67,0.0064
VGG_No_BN,72,0.1089,96.29,0.4424,87.01,0.0064
VGG_No_BN,73,0.1042,96.42,0.4318,86.93,0.0064
VGG_No_BN,74,0.1066,96.37,0.4354,87.04,0.0064
VGG_No_BN,75,0.1033,96.65,0.4375,86.81,0.0064
VGG_No_BN,76,0.1068,96.45,0.4243,87.35,0.0064
VGG_No_BN,77,0.1082,96.39,0.4351,87.32,0.0064
VGG_No_BN,78,0.0846,97.19,0.4266,87.7,0.00512
VGG_No_BN,79,0.0848,97.19,0.4321,87.45,0.00512
VGG_No_BN,80,0.0822,97.28,0.4438,87.14,0.00512
