Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
CNN_v2_Leaky_AvgPool_Dropout,1,1.542,42.95,1.3369,51.88,0.01
CNN_v2_Leaky_AvgPool_Dropout,2,1.185,57.23,1.3667,54.53,0.01
CNN_v2_Leaky_AvgPool_Dropout,3,1.0212,63.66,1.0089,63.47,0.01
CNN_v2_Leaky_AvgPool_Dropout,4,0.9202,67.23,0.9786,65.59,0.01
CNN_v2_Leaky_AvgPool_Dropout,5,0.8436,69.98,1.0195,65.86,0.01
CNN_v2_Leaky_AvgPool_Dropout,6,0.7859,72.37,0.9385,66.6,0.01
CNN_v2_Leaky_AvgPool_Dropout,7,0.7332,74.23,0.8593,70.43,0.01
CNN_v2_Leaky_AvgPool_Dropout,8,0.6946,75.64,0.8771,69.07,0.01
CNN_v2_Leaky_AvgPool_Dropout,9,0.6575,76.88,0.8251,71.62,0.01
CNN_v2_Leaky_AvgPool_Dropout,10,0.629,77.89,0.6349,77.04,0.01
CNN_v2_Leaky_AvgPool_Dropout,11,0.6018,78.94,0.6972,75.29,0.01
CNN_v2_Leaky_AvgPool_Dropout,12,0.5782,79.56,0.6975,76.55,0.01
CNN_v2_Leaky_AvgPool_Dropout,13,0.5558,80.65,0.7448,74.79,0.01
CNN_v2_Leaky_AvgPool_Dropout,14,0.5359,81.31,0.6732,76.86,0.01
CNN_v2_Leaky_AvgPool_Dropout,15,0.5166,81.82,0.6119,79.01,0.01
CNN_v2_Leaky_AvgPool_Dropout,16,0.499,82.64,0.5886,79.94,0.01
CNN_v2_Leaky_AvgPool_Dropout,17,0.4843,83.09,0.6187,79.13,0.01
CNN_v2_Leaky_AvgPool_Dropout,18,0.4646,83.84,0.5893,79.98,0.01
CNN_v2_Leaky_AvgPool_Dropout,19,0.4512,84.12,0.5444,81.65,0.01
CNN_v2_Leaky_AvgPool_Dropout,20,0.4359,84.69,0.6081,78.89,0.01
CNN_v2_Leaky_AvgPool_Dropout,21,0.4191,85.4,0.5409,81.47,0.01
CNN_v2_Leaky_AvgPool_Dropout,22,0.4103,85.81,0.5278,82.17,0.01
CNN_v2_Leaky_AvgPool_Dropout,23,0.3984,86.22,0.5629,81.3,0.01
CNN_v2_Leaky_AvgPool_Dropout,24,0.3855,86.45,0.5358,82.21,0.01
CNN_v2_Leaky_AvgPool_Dropout,25,0.3758,86.91,0.5307,82.57,0.01
CNN_v2_Leaky_AvgPool_Dropout,26,0.3619,87.36,0.5859,81.06,0.01
CNN_v2_Leaky_AvgPool_Dropout,27,0.351,87.69,0.4779,84.06,0.01
CNN_v2_Leaky_AvgPool_Dropout,28,0.3474,87.93,0.5757,81.41,0.01
CNN_v2_Leaky_AvgPool_Dropout,29,0.3343,88.33,0.4888,83.15,0.01
CNN_v2_Leaky_AvgPool_Dropout,30,0.3194,88.89,0.5102,83.36,0.01
CNN_v2_Leaky_AvgPool_Dropout,31,0.3166,89.0,0.4662,84.25,0.01
CNN_v2_Leaky_AvgPool_Dropout,32,0.3029,89.63,0.5646,81.74,0.01
CNN_v2_Leaky_AvgPool_Dropout,33,0.2952,89.56,0.4536,85.07,0.01
CNN_v2_Leaky_AvgPool_Dropout,34,0.2866,90.03,0.5766,81.58,0.01
CNN_v2_Leaky_AvgPool_Dropout,35,0.2794,90.15,0.4275,86.05,0.01
CNN_v2_Leaky_AvgPool_Dropout,36,0.27,90.56,0.4912,84.02,0.01
CNN_v2_Leaky_AvgPool_Dropout,37,0.2586,91.01,0.4959,84.48,0.01
CNN_v2_Leaky_AvgPool_Dropout,38,0.2537,91.22,0.4662,85.26,0.01
CNN_v2_Leaky_AvgPool_Dropout,39,0.2456,91.34,0.4647,84.98,0.01
CNN_v2_Leaky_AvgPool_Dropout,40,0.2414,91.56,0.4544,85.56,0.01
CNN_v2_Leaky_AvgPool_Dropout,41,0.2289,92.02,0.4429,85.53,0.01
CNN_v2_Leaky_AvgPool_Dropout,42,0.2262,91.99,0.5249,84.41,0.01
CNN_v2_Leaky_AvgPool_Dropout,43,0.218,92.48,0.4762,85.05,0.01
CNN_v2_Leaky_AvgPool_Dropout,44,0.2111,92.72,0.4985,84.4,0.01
CNN_v2_Leaky_AvgPool_Dropout,45,0.2061,92.82,0.5039,84.69,0.01
CNN_v2_Leaky_AvgPool_Dropout,46,0.2033,92.85,0.4691,85.53,0.01
CNN_v2_Leaky_AvgPool_Dropout,47,0.1357,95.55,0.351,88.85,0.005
CNN_v2_Leaky_AvgPool_Dropout,48,0.1163,96.13,0.3782,88.05,0.005
CNN_v2_Leaky_AvgPool_Dropout,49,0.1102,96.32,0.3618,88.68,0.005
CNN_v2_Leaky_AvgPool_Dropout,50,0.1051,96.44,0.3883,88.27,0.005
CNN_v2_Leaky_AvgPool_Dropout,51,0.1011,96.58,0.3778,88.24,0.005
CNN_v2_Leaky_AvgPool_Dropout,52,0.0952,96.79,0.3963,88.07,0.005
CNN_v2_Leaky_AvgPool_Dropout,53,0.0929,96.92,0.4011,88.25,0.005
CNN_v2_Leaky_AvgPool_Dropout,54,0.0931,96.92,0.4017,88.28,0.005
CNN_v2_Leaky_AvgPool_Dropout,55,0.0886,96.98,0.3904,88.34,0.005
CNN_v2_Leaky_AvgPool_Dropout,56,0.0861,97.14,0.4415,87.51,0.005
CNN_v2_Leaky_AvgPool_Dropout,57,0.0885,96.99,0.4103,88.0,0.005
CNN_v2_Leaky_AvgPool_Dropout,58,0.0866,97.02,0.4423,87.75,0.005
CNN_v2_Leaky_AvgPool_Dropout,59,0.0563,98.27,0.3581,89.51,0.0025
