Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
CNN_v2_NoBN_ELU_Dropout,1,1.7493,35.48,1.4375,48.7,0.01
CNN_v2_NoBN_ELU_Dropout,2,1.3478,50.98,1.226,55.08,0.01
CNN_v2_NoBN_ELU_Dropout,3,1.142,59.3,1.0108,63.55,0.01
CNN_v2_NoBN_ELU_Dropout,4,1.0056,64.53,0.9659,66.09,0.01
CNN_v2_NoBN_ELU_Dropout,5,0.9123,67.72,0.8478,70.64,0.01
CNN_v2_NoBN_ELU_Dropout,6,0.8484,70.0,0.7977,72.45,0.01
CNN_v2_NoBN_ELU_Dropout,7,0.792,72.18,0.7388,74.12,0.01
CNN_v2_NoBN_ELU_Dropout,8,0.7371,74.2,0.7337,74.4,0.01
CNN_v2_NoBN_ELU_Dropout,9,0.6989,75.33,0.6666,76.53,0.01
CNN_v2_NoBN_ELU_Dropout,10,0.6739,76.6,0.6411,78.15,0.01
CNN_v2_NoBN_ELU_Dropout,11,0.6376,77.75,0.6922,75.85,0.01
CNN_v2_NoBN_ELU_Dropout,12,0.6114,78.76,0.6244,78.35,0.01
CNN_v2_NoBN_ELU_Dropout,13,0.5891,79.49,0.5906,79.4,0.01
CNN_v2_NoBN_ELU_Dropout,14,0.56,80.58,0.5795,79.96,0.01
CNN_v2_NoBN_ELU_Dropout,15,0.5432,80.96,0.5474,81.43,0.01
CNN_v2_NoBN_ELU_Dropout,16,0.5269,81.39,0.5349,81.2,0.01
CNN_v2_NoBN_ELU_Dropout,17,0.5069,82.17,0.5259,81.95,0.01
CNN_v2_NoBN_ELU_Dropout,18,0.4945,82.63,0.5184,82.29,0.01
CNN_v2_NoBN_ELU_Dropout,19,0.4748,83.42,0.5494,81.19,0.01
CNN_v2_NoBN_ELU_Dropout,20,0.4678,83.68,0.5212,82.25,0.01
CNN_v2_NoBN_ELU_Dropout,21,0.4497,84.3,0.5103,82.88,0.01
CNN_v2_NoBN_ELU_Dropout,22,0.4388,84.74,0.5133,82.64,0.01
CNN_v2_NoBN_ELU_Dropout,23,0.4241,85.18,0.4867,83.5,0.01
CNN_v2_NoBN_ELU_Dropout,24,0.4173,85.39,0.4728,83.92,0.01
CNN_v2_NoBN_ELU_Dropout,25,0.4059,85.8,0.5241,82.11,0.01
