Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
ResNet_v2_Leaky_AvgPool_Dropout,1,1.9385,31.45,1.6733,42.15,0.01
ResNet_v2_Leaky_AvgPool_Dropout,2,1.6243,42.77,1.4657,49.02,0.01
ResNet_v2_Leaky_AvgPool_Dropout,3,1.4632,48.67,1.3034,52.54,0.01
ResNet_v2_Leaky_AvgPool_Dropout,4,1.3597,52.42,1.2041,57.72,0.01
ResNet_v2_Leaky_AvgPool_Dropout,5,1.2021,58.19,1.065,61.59,0.01
ResNet_v2_Leaky_AvgPool_Dropout,6,1.0804,61.88,0.951,65.87,0.01
ResNet_v2_Leaky_AvgPool_Dropout,7,0.9802,65.69,0.8609,69.39,0.01
ResNet_v2_Leaky_AvgPool_Dropout,8,0.9071,68.28,0.7797,72.64,0.01
ResNet_v2_Leaky_AvgPool_Dropout,9,0.8415,70.62,0.7348,73.87,0.01
ResNet_v2_Leaky_AvgPool_Dropout,10,0.7893,72.38,0.6867,75.93,0.01
ResNet_v2_Leaky_AvgPool_Dropout,11,0.7438,74.16,0.654,77.22,0.01
ResNet_v2_Leaky_AvgPool_Dropout,12,0.7059,75.63,0.6305,78.26,0.01
ResNet_v2_Leaky_AvgPool_Dropout,13,0.6719,76.85,0.5915,79.4,0.01
ResNet_v2_Leaky_AvgPool_Dropout,14,0.6408,78.01,0.589,79.44,0.01
ResNet_v2_Leaky_AvgPool_Dropout,15,0.6099,78.88,0.5801,79.68,0.01
ResNet_v2_Leaky_AvgPool_Dropout,16,0.5925,79.62,0.5329,81.62,0.01
ResNet_v2_Leaky_AvgPool_Dropout,17,0.5641,80.69,0.5168,82.23,0.01
ResNet_v2_Leaky_AvgPool_Dropout,18,0.5451,81.27,0.4961,83.12,0.01
ResNet_v2_Leaky_AvgPool_Dropout,19,0.5206,82.18,0.5015,83.05,0.01
ResNet_v2_Leaky_AvgPool_Dropout,20,0.5062,82.5,0.4818,83.51,0.01
ResNet_v2_Leaky_AvgPool_Dropout,21,0.4945,83.1,0.4786,83.42,0.01
ResNet_v2_Leaky_AvgPool_Dropout,22,0.4829,83.31,0.4604,84.19,0.01
ResNet_v2_Leaky_AvgPool_Dropout,23,0.4648,84.04,0.4531,84.89,0.01
ResNet_v2_Leaky_AvgPool_Dropout,24,0.4523,84.63,0.4696,83.98,0.01
ResNet_v2_Leaky_AvgPool_Dropout,25,0.4404,84.93,0.4365,84.97,0.01
ResNet_v2_Leaky_AvgPool_Dropout,26,0.4316,85.2,0.4158,86.15,0.01
ResNet_v2_Leaky_AvgPool_Dropout,27,0.4157,85.71,0.412,86.08,0.01
ResNet_v2_Leaky_AvgPool_Dropout,28,0.4094,85.94,0.4164,85.85,0.01
ResNet_v2_Leaky_AvgPool_Dropout,29,0.3982,86.39,0.4079,86.11,0.01
ResNet_v2_Leaky_AvgPool_Dropout,30,0.397,86.44,0.4161,85.64,0.01
ResNet_v2_Leaky_AvgPool_Dropout,31,0.384,86.76,0.4012,86.71,0.01
ResNet_v2_Leaky_AvgPool_Dropout,32,0.3752,87.21,0.3903,86.48,0.01
ResNet_v2_Leaky_AvgPool_Dropout,33,0.3703,87.34,0.3753,87.19,0.01
ResNet_v2_Leaky_AvgPool_Dropout,34,0.3547,87.79,0.3911,86.48,0.01
ResNet_v2_Leaky_AvgPool_Dropout,35,0.3546,87.89,0.384,87.01,0.01
ResNet_v2_Leaky_AvgPool_Dropout,36,0.3443,88.28,0.3862,87.25,0.01
ResNet_v2_Leaky_AvgPool_Dropout,37,0.3462,88.2,0.3941,86.64,0.01
ResNet_v2_Leaky_AvgPool_Dropout,38,0.3367,88.44,0.3604,87.9,0.01
ResNet_v2_Leaky_AvgPool_Dropout,39,0.3342,88.64,0.3605,87.59,0.01
ResNet_v2_Leaky_AvgPool_Dropout,40,0.3296,88.77,0.3758,87.63,0.01
ResNet_v2_Leaky_AvgPool_Dropout,41,0.3255,88.88,0.35,88.0,0.01
ResNet_v2_Leaky_AvgPool_Dropout,42,0.3237,88.91,0.358,88.19,0.01
ResNet_v2_Leaky_AvgPool_Dropout,43,0.3102,89.38,0.3652,87.82,0.01
ResNet_v2_Leaky_AvgPool_Dropout,44,0.3129,89.22,0.3665,87.89,0.01
ResNet_v2_Leaky_AvgPool_Dropout,45,0.3134,89.19,0.3579,88.01,0.01
ResNet_v2_Leaky_AvgPool_Dropout,46,0.3022,89.55,0.3463,88.28,0.01
ResNet_v2_Leaky_AvgPool_Dropout,47,0.3016,89.54,0.3419,88.54,0.01
ResNet_v2_Leaky_AvgPool_Dropout,48,0.2975,89.81,0.3522,88.25,0.01
ResNet_v2_Leaky_AvgPool_Dropout,49,0.2925,89.93,0.3451,88.42,0.01
ResNet_v2_Leaky_AvgPool_Dropout,50,0.2902,90.03,0.3446,88.65,0.01
ResNet_v2_Leaky_AvgPool_Dropout,51,0.2878,90.06,0.3566,87.99,0.01
ResNet_v2_Leaky_AvgPool_Dropout,52,0.2865,90.14,0.344,88.39,0.01
ResNet_v2_Leaky_AvgPool_Dropout,53,0.2833,90.43,0.3486,88.51,0.01
ResNet_v2_Leaky_AvgPool_Dropout,54,0.2812,90.47,0.3349,88.78,0.01
ResNet_v2_Leaky_AvgPool_Dropout,55,0.2798,90.48,0.3423,88.71,0.01
ResNet_v2_Leaky_AvgPool_Dropout,56,0.2792,90.61,0.3405,88.9,0.01
ResNet_v2_Leaky_AvgPool_Dropout,57,0.275,90.52,0.3456,88.53,0.01
ResNet_v2_Leaky_AvgPool_Dropout,58,0.2762,90.64,0.3431,88.28,0.01
ResNet_v2_Leaky_AvgPool_Dropout,59,0.2686,90.87,0.3408,88.7,0.01
ResNet_v2_Leaky_AvgPool_Dropout,60,0.2687,90.92,0.3426,88.49,0.01
ResNet_v2_Leaky_AvgPool_Dropout,61,0.2637,91.11,0.3509,88.53,0.01
ResNet_v2_Leaky_AvgPool_Dropout,62,0.2629,91.02,0.3325,88.91,0.01
ResNet_v2_Leaky_AvgPool_Dropout,63,0.2604,91.1,0.3425,89.02,0.01
ResNet_v2_Leaky_AvgPool_Dropout,64,0.2608,91.11,0.3481,88.79,0.01
ResNet_v2_Leaky_AvgPool_Dropout,65,0.2599,90.96,0.3233,89.24,0.01
ResNet_v2_Leaky_AvgPool_Dropout,66,0.2581,91.24,0.3325,89.11,0.01
ResNet_v2_Leaky_AvgPool_Dropout,67,0.2585,91.18,0.3286,89.41,0.01
ResNet_v2_Leaky_AvgPool_Dropout,68,0.2521,91.43,0.343,88.83,0.01
ResNet_v2_Leaky_AvgPool_Dropout,69,0.2525,91.39,0.353,88.62,0.01
ResNet_v2_Leaky_AvgPool_Dropout,70,0.2525,91.35,0.3274,89.21,0.01
ResNet_v2_Leaky_AvgPool_Dropout,71,0.2495,91.4,0.3178,89.27,0.01
ResNet_v2_Leaky_AvgPool_Dropout,72,0.2488,91.54,0.3556,88.53,0.01
ResNet_v2_Leaky_AvgPool_Dropout,73,0.2505,91.35,0.3255,89.24,0.01
ResNet_v2_Leaky_AvgPool_Dropout,74,0.2494,91.49,0.3642,88.42,0.01
ResNet_v2_Leaky_AvgPool_Dropout,75,0.2464,91.64,0.3302,89.02,0.01
ResNet_v2_Leaky_AvgPool_Dropout,76,0.2402,91.64,0.3396,89.08,0.01
ResNet_v2_Leaky_AvgPool_Dropout,77,0.2415,91.79,0.3357,89.16,0.01
ResNet_v2_Leaky_AvgPool_Dropout,78,0.24,91.77,0.3103,89.74,0.01
ResNet_v2_Leaky_AvgPool_Dropout,79,0.2417,91.8,0.3295,89.17,0.01
ResNet_v2_Leaky_AvgPool_Dropout,80,0.244,91.66,0.3197,89.49,0.01
ResNet_v2_Leaky_AvgPool_Dropout,81,0.2385,91.93,0.3221,89.48,0.01
ResNet_v2_Leaky_AvgPool_Dropout,82,0.2429,91.67,0.3254,89.07,0.01
ResNet_v2_Leaky_AvgPool_Dropout,83,0.2381,91.98,0.3349,88.94,0.01
ResNet_v2_Leaky_AvgPool_Dropout,84,0.2369,92.03,0.3252,89.17,0.01
