Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
ResNet_v2_NoBN_ELU_Dropout,1,1.7526,35.06,1.3979,49.25,0.01
ResNet_v2_NoBN_ELU_Dropout,2,1.2954,53.06,1.1097,60.65,0.01
ResNet_v2_NoBN_ELU_Dropout,3,1.0589,62.21,0.9545,66.79,0.01
ResNet_v2_NoBN_ELU_Dropout,4,0.9148,67.6,0.8462,69.86,0.01
ResNet_v2_NoBN_ELU_Dropout,5,0.8173,71.32,0.7674,72.51,0.01
ResNet_v2_NoBN_ELU_Dropout,6,0.7496,73.65,0.7215,74.4,0.01
ResNet_v2_NoBN_ELU_Dropout,7,0.7002,75.5,0.6773,76.28,0.01
ResNet_v2_NoBN_ELU_Dropout,8,0.642,77.67,0.6107,78.85,0.01
ResNet_v2_NoBN_ELU_Dropout,9,0.6178,78.36,0.6069,78.34,0.01
ResNet_v2_NoBN_ELU_Dropout,10,0.5787,79.8,0.5598,80.63,0.01
ResNet_v2_NoBN_ELU_Dropout,11,0.553,80.85,0.5608,80.72,0.01
ResNet_v2_NoBN_ELU_Dropout,12,0.528,81.66,0.5197,82.4,0.01
ResNet_v2_NoBN_ELU_Dropout,13,0.5079,82.46,0.5097,82.64,0.01
ResNet_v2_NoBN_ELU_Dropout,14,0.4834,83.15,0.5078,83.03,0.01
ResNet_v2_NoBN_ELU_Dropout,15,0.4703,83.71,0.4882,83.48,0.01
ResNet_v2_NoBN_ELU_Dropout,16,0.4506,84.44,0.4931,83.27,0.01
ResNet_v2_NoBN_ELU_Dropout,17,0.4337,84.97,0.4661,83.85,0.01
ResNet_v2_NoBN_ELU_Dropout,18,0.4189,85.51,0.4727,84.2,0.01
ResNet_v2_NoBN_ELU_Dropout,19,0.4132,85.53,0.4595,84.74,0.01
ResNet_v2_NoBN_ELU_Dropout,20,0.3975,86.13,0.4637,84.72,0.01
ResNet_v2_NoBN_ELU_Dropout,21,0.3889,86.31,0.4629,84.65,0.01
ResNet_v2_NoBN_ELU_Dropout,22,0.3724,87.22,0.4344,85.34,0.01
ResNet_v2_NoBN_ELU_Dropout,23,0.3643,87.39,0.4412,85.18,0.01
ResNet_v2_NoBN_ELU_Dropout,24,0.3601,87.42,0.4351,85.64,0.01
ResNet_v2_NoBN_ELU_Dropout,25,0.3484,87.85,0.4286,85.72,0.01
ResNet_v2_NoBN_ELU_Dropout,26,0.3488,87.87,0.4276,85.88,0.01
ResNet_v2_NoBN_ELU_Dropout,27,0.3386,88.19,0.4132,86.22,0.01
ResNet_v2_NoBN_ELU_Dropout,28,0.3308,88.43,0.4165,86.35,0.01
ResNet_v2_NoBN_ELU_Dropout,29,0.3265,88.76,0.4154,86.29,0.01
ResNet_v2_NoBN_ELU_Dropout,30,0.3124,89.13,0.4067,86.14,0.01
ResNet_v2_NoBN_ELU_Dropout,31,0.3088,89.32,0.4046,86.89,0.01
ResNet_v2_NoBN_ELU_Dropout,32,0.3007,89.58,0.4242,86.05,0.01
ResNet_v2_NoBN_ELU_Dropout,33,0.2939,89.68,0.4092,86.75,0.01
ResNet_v2_NoBN_ELU_Dropout,34,0.2909,89.92,0.4153,86.37,0.01
ResNet_v2_NoBN_ELU_Dropout,35,0.2899,89.82,0.4083,86.54,0.01
ResNet_v2_NoBN_ELU_Dropout,36,0.2833,89.99,0.3916,86.82,0.01
ResNet_v2_NoBN_ELU_Dropout,37,0.2754,90.39,0.4128,86.92,0.01
ResNet_v2_NoBN_ELU_Dropout,38,0.272,90.36,0.4122,86.8,0.01
ResNet_v2_NoBN_ELU_Dropout,39,0.2676,90.72,0.4196,86.39,0.01
ResNet_v2_NoBN_ELU_Dropout,40,0.2633,90.73,0.4007,87.13,0.01
ResNet_v2_NoBN_ELU_Dropout,41,0.2591,90.94,0.3911,87.33,0.01
ResNet_v2_NoBN_ELU_Dropout,42,0.2613,90.82,0.3857,87.2,0.01
ResNet_v2_NoBN_ELU_Dropout,43,0.2527,91.21,0.3859,87.79,0.01
ResNet_v2_NoBN_ELU_Dropout,44,0.2494,91.15,0.3971,87.27,0.01
ResNet_v2_NoBN_ELU_Dropout,45,0.2476,91.37,0.3844,87.41,0.01
ResNet_v2_NoBN_ELU_Dropout,46,0.2433,91.47,0.4149,86.57,0.01
ResNet_v2_NoBN_ELU_Dropout,47,0.2411,91.56,0.381,87.6,0.01
ResNet_v2_NoBN_ELU_Dropout,48,0.2383,91.71,0.3943,87.35,0.01
ResNet_v2_NoBN_ELU_Dropout,49,0.2349,91.54,0.3937,87.75,0.01
ResNet_v2_NoBN_ELU_Dropout,50,0.2386,91.7,0.3776,87.94,0.01
ResNet_v2_NoBN_ELU_Dropout,51,0.2292,91.98,0.41,87.07,0.01
ResNet_v2_NoBN_ELU_Dropout,52,0.2268,92.05,0.3979,87.3,0.01
ResNet_v2_NoBN_ELU_Dropout,53,0.2235,92.14,0.3864,87.41,0.01
ResNet_v2_NoBN_ELU_Dropout,54,0.2186,92.38,0.4001,87.77,0.01
ResNet_v2_NoBN_ELU_Dropout,55,0.2186,92.22,0.3973,87.63,0.01
ResNet_v2_NoBN_ELU_Dropout,56,0.2165,92.41,0.3901,87.73,0.01
ResNet_v2_NoBN_ELU_Dropout,57,0.2177,92.24,0.3796,87.84,0.01
ResNet_v2_NoBN_ELU_Dropout,58,0.2114,92.53,0.4,87.3,0.01
ResNet_v2_NoBN_ELU_Dropout,59,0.2111,92.67,0.3937,87.48,0.01
ResNet_v2_NoBN_ELU_Dropout,60,0.2071,92.71,0.3839,88.11,0.01
ResNet_v2_NoBN_ELU_Dropout,61,0.2072,92.63,0.3987,87.58,0.01
ResNet_v2_NoBN_ELU_Dropout,62,0.2048,92.84,0.3802,88.23,0.01
ResNet_v2_NoBN_ELU_Dropout,63,0.2087,92.67,0.3745,88.54,0.01
ResNet_v2_NoBN_ELU_Dropout,64,0.1977,93.01,0.3787,88.54,0.01
ResNet_v2_NoBN_ELU_Dropout,65,0.201,92.96,0.3788,88.14,0.01
ResNet_v2_NoBN_ELU_Dropout,66,0.2019,92.83,0.3797,87.94,0.01
ResNet_v2_NoBN_ELU_Dropout,67,0.1942,93.22,0.3867,88.11,0.01
ResNet_v2_NoBN_ELU_Dropout,68,0.1892,93.28,0.3912,88.07,0.01
ResNet_v2_NoBN_ELU_Dropout,69,0.1968,93.11,0.3874,87.79,0.01
ResNet_v2_NoBN_ELU_Dropout,70,0.1913,93.18,0.3645,88.75,0.01
ResNet_v2_NoBN_ELU_Dropout,71,0.1912,93.28,0.3836,87.97,0.01
ResNet_v2_NoBN_ELU_Dropout,72,0.188,93.43,0.3956,87.88,0.01
ResNet_v2_NoBN_ELU_Dropout,73,0.1925,93.26,0.3886,88.01,0.01
ResNet_v2_NoBN_ELU_Dropout,74,0.1898,93.36,0.4003,87.61,0.01
ResNet_v2_NoBN_ELU_Dropout,75,0.1874,93.38,0.3789,88.41,0.01
ResNet_v2_NoBN_ELU_Dropout,76,0.1829,93.55,0.3832,88.14,0.01
ResNet_v2_NoBN_ELU_Dropout,77,0.1891,93.34,0.4049,87.47,0.01
ResNet_v2_NoBN_ELU_Dropout,78,0.1854,93.53,0.3668,88.65,0.01
ResNet_v2_NoBN_ELU_Dropout,79,0.1832,93.57,0.3991,87.88,0.01
ResNet_v2_NoBN_ELU_Dropout,80,0.1778,93.69,0.3747,88.52,0.01
