Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
VGG_v2_ELU_Dropout,1,1.4301,47.83,1.2544,55.64,0.01
VGG_v2_ELU_Dropout,2,0.9693,65.97,0.9283,68.52,0.01
VGG_v2_ELU_Dropout,3,0.8146,71.47,0.7733,73.38,0.01
VGG_v2_ELU_Dropout,4,0.7195,75.08,0.734,74.7,0.01
VGG_v2_ELU_Dropout,5,0.6557,77.37,0.7237,75.57,0.01
VGG_v2_ELU_Dropout,6,0.6144,78.98,0.6996,76.54,0.01
VGG_v2_ELU_Dropout,7,0.571,80.27,0.6137,79.12,0.01
VGG_v2_ELU_Dropout,8,0.5359,81.61,0.6364,78.78,0.01
VGG_v2_ELU_Dropout,9,0.512,82.22,0.5744,80.28,0.01
VGG_v2_ELU_Dropout,10,0.4887,83.26,0.5559,80.98,0.01
VGG_v2_ELU_Dropout,11,0.4684,83.96,0.5858,80.18,0.01
VGG_v2_ELU_Dropout,12,0.4534,84.4,0.5383,81.55,0.01
VGG_v2_ELU_Dropout,13,0.4318,84.98,0.554,81.68,0.01
VGG_v2_ELU_Dropout,14,0.4194,85.66,0.5302,82.32,0.01
VGG_v2_ELU_Dropout,15,0.4059,86.12,0.488,83.16,0.01
VGG_v2_ELU_Dropout,16,0.39,86.73,0.5299,82.9,0.01
VGG_v2_ELU_Dropout,17,0.3827,86.72,0.4843,83.9,0.01
VGG_v2_ELU_Dropout,18,0.3703,87.07,0.4888,83.42,0.01
VGG_v2_ELU_Dropout,19,0.3642,87.56,0.4716,84,0.01
VGG_v2_ELU_Dropout,20,0.3521,87.85,0.4882,83.56,0.01
VGG_v2_ELU_Dropout,21,0.3429,88.02,0.4526,84.8,0.01
VGG_v2_ELU_Dropout,22,0.34,88.37,0.4357,85.3,0.01
VGG_v2_ELU_Dropout,23,0.328,88.67,0.4742,84.41,0.01
VGG_v2_ELU_Dropout,24,0.3172,89.02,0.4727,84.44,0.01
VGG_v2_ELU_Dropout,25,0.3211,88.85,0.4631,84.48,0.01
VGG_v2_ELU_Dropout,26,0.3071,89.32,0.4266,85.87,0.01
