Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
VGG_v2_Leaky_AvgPool_Dropout,1,1.5464,42.77,1.326,53.66,0.01
VGG_v2_Leaky_AvgPool_Dropout,2,1.0261,63.76,0.9493,67.07,0.01
VGG_v2_Leaky_AvgPool_Dropout,3,0.8067,71.93,0.7993,72.44,0.01
VGG_v2_Leaky_AvgPool_Dropout,4,0.6785,76.81,0.6629,77.64,0.01
VGG_v2_Leaky_AvgPool_Dropout,5,0.591,80.08,0.6157,79.26,0.01
VGG_v2_Leaky_AvgPool_Dropout,6,0.5264,82.22,0.5777,81.02,0.01
VGG_v2_Leaky_AvgPool_Dropout,7,0.4825,83.78,0.5738,80.61,0.01
VGG_v2_Leaky_AvgPool_Dropout,8,0.4387,85.3,0.5001,83.37,0.01
VGG_v2_Leaky_AvgPool_Dropout,9,0.4134,85.85,0.4765,84.19,0.01
VGG_v2_Leaky_AvgPool_Dropout,10,0.3813,87.05,0.492,83.32,0.01
VGG_v2_Leaky_AvgPool_Dropout,11,0.358,87.68,0.4918,83.31,0.01
VGG_v2_Leaky_AvgPool_Dropout,12,0.3334,88.77,0.5337,82.38,0.01
VGG_v2_Leaky_AvgPool_Dropout,13,0.3123,89.36,0.5325,82.18,0.01
VGG_v2_Leaky_AvgPool_Dropout,14,0.2958,89.89,0.4197,85.88,0.01
VGG_v2_Leaky_AvgPool_Dropout,15,0.2775,90.63,0.4289,86.05,0.01
VGG_v2_Leaky_AvgPool_Dropout,16,0.2639,91.07,0.5106,83.78,0.01
VGG_v2_Leaky_AvgPool_Dropout,17,0.2582,91.16,0.4107,86.81,0.01
VGG_v2_Leaky_AvgPool_Dropout,18,0.2427,91.84,0.4293,86.42,0.01
VGG_v2_Leaky_AvgPool_Dropout,19,0.2283,92.43,0.396,87.2,0.01
VGG_v2_Leaky_AvgPool_Dropout,20,0.2201,92.43,0.4281,86.13,0.01
VGG_v2_Leaky_AvgPool_Dropout,21,0.2103,92.89,0.4317,86.51,0.01
VGG_v2_Leaky_AvgPool_Dropout,22,0.2028,93.0,0.3979,87.34,0.01
VGG_v2_Leaky_AvgPool_Dropout,23,0.1967,93.29,0.3777,88.04,0.01
VGG_v2_Leaky_AvgPool_Dropout,24,0.1874,93.68,0.4656,85.37,0.01
VGG_v2_Leaky_AvgPool_Dropout,25,0.1769,93.93,0.3722,88.18,0.01
VGG_v2_Leaky_AvgPool_Dropout,26,0.1739,94.09,0.3852,87.49,0.01
VGG_v2_Leaky_AvgPool_Dropout,27,0.159,94.6,0.3783,88.13,0.01
VGG_v2_Leaky_AvgPool_Dropout,28,0.1628,94.35,0.4228,86.98,0.01
VGG_v2_Leaky_AvgPool_Dropout,29,0.1539,94.64,0.4155,87.58,0.01
VGG_v2_Leaky_AvgPool_Dropout,30,0.1525,94.87,0.3896,88.17,0.01
VGG_v2_Leaky_AvgPool_Dropout,31,0.1442,95.06,0.3894,88.17,0.01
VGG_v2_Leaky_AvgPool_Dropout,32,0.1372,95.33,0.3524,89.32,0.01
VGG_v2_Leaky_AvgPool_Dropout,33,0.1365,95.35,0.364,88.88,0.01
VGG_v2_Leaky_AvgPool_Dropout,34,0.1291,95.58,0.3995,88.33,0.01
VGG_v2_Leaky_AvgPool_Dropout,35,0.1258,95.77,0.386,88.5,0.01
VGG_v2_Leaky_AvgPool_Dropout,36,0.1245,95.73,0.4,88.4,0.01
VGG_v2_Leaky_AvgPool_Dropout,37,0.1219,95.83,0.3792,88.78,0.01
VGG_v2_Leaky_AvgPool_Dropout,38,0.1162,96.05,0.3787,88.75,0.01
VGG_v2_Leaky_AvgPool_Dropout,39,0.1161,96.1,0.402,88.38,0.01
VGG_v2_Leaky_AvgPool_Dropout,40,0.1124,96.23,0.4424,87.78,0.01
VGG_v2_Leaky_AvgPool_Dropout,41,0.1088,96.28,0.4364,87.94,0.01
VGG_v2_Leaky_AvgPool_Dropout,42,0.1092,96.28,0.3794,89.36,0.01
VGG_v2_Leaky_AvgPool_Dropout,43,0.1034,96.46,0.4171,87.93,0.01
VGG_v2_Leaky_AvgPool_Dropout,44,0.1037,96.49,0.3539,89.3,0.01
VGG_v2_Leaky_AvgPool_Dropout,45,0.1012,96.64,0.4149,88.32,0.01
VGG_v2_Leaky_AvgPool_Dropout,46,0.1001,96.61,0.3727,89.26,0.01
VGG_v2_Leaky_AvgPool_Dropout,47,0.0957,96.69,0.3641,89.61,0.01
VGG_v2_Leaky_AvgPool_Dropout,48,0.0957,96.77,0.4302,88.01,0.01
VGG_v2_Leaky_AvgPool_Dropout,49,0.0969,96.76,0.4584,87.25,0.01
VGG_v2_Leaky_AvgPool_Dropout,50,0.0932,96.76,0.4597,87.48,0.01
VGG_v2_Leaky_AvgPool_Dropout,51,0.094,96.83,0.3617,89.65,0.01
VGG_v2_Leaky_AvgPool_Dropout,52,0.091,96.9,0.4023,89.05,0.01
VGG_v2_Leaky_AvgPool_Dropout,53,0.0926,96.85,0.3815,89.61,0.01
VGG_v2_Leaky_AvgPool_Dropout,54,0.0952,96.79,0.3714,89.34,0.01
VGG_v2_Leaky_AvgPool_Dropout,55,0.0842,97.19,0.3882,89.34,0.01
VGG_v2_Leaky_AvgPool_Dropout,56,0.0841,97.26,0.3995,88.88,0.01
VGG_v2_Leaky_AvgPool_Dropout,57,0.085,97.14,0.3618,89.71,0.01
VGG_v2_Leaky_AvgPool_Dropout,58,0.0871,97.1,0.4194,88.44,0.01
VGG_v2_Leaky_AvgPool_Dropout,59,0.0871,97.04,0.4187,88.57,0.01
VGG_v2_Leaky_AvgPool_Dropout,60,0.0837,97.15,0.4311,88.25,0.01
VGG_v2_Leaky_AvgPool_Dropout,61,0.0851,97.25,0.3572,90.05,0.01
VGG_v2_Leaky_AvgPool_Dropout,62,0.0842,97.22,0.3792,89.44,0.01
VGG_v2_Leaky_AvgPool_Dropout,63,0.0865,97.1,0.3555,89.77,0.01
VGG_v2_Leaky_AvgPool_Dropout,64,0.0756,97.48,0.4189,88.71,0.01
VGG_v2_Leaky_AvgPool_Dropout,65,0.0825,97.22,0.3788,89.51,0.01
VGG_v2_Leaky_AvgPool_Dropout,66,0.0811,97.31,0.3893,89.14,0.01
VGG_v2_Leaky_AvgPool_Dropout,67,0.0845,97.12,0.3799,89.4,0.01
VGG_v2_Leaky_AvgPool_Dropout,68,0.0804,97.39,0.4044,88.83,0.01
VGG_v2_Leaky_AvgPool_Dropout,69,0.0829,97.19,0.3825,89.64,0.01
VGG_v2_Leaky_AvgPool_Dropout,70,0.0813,97.26,0.4466,87.81,0.01
VGG_v2_Leaky_AvgPool_Dropout,71,0.0765,97.52,0.4407,88.71,0.01
VGG_v2_Leaky_AvgPool_Dropout,72,0.0786,97.32,0.39,89.63,0.01
