Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
CNN_v2_AvgPool,1,1.497,44.65,1.2498,54.3,0.01
CNN_v2_AvgPool,2,1.0937,60.6,1.1333,59.88,0.01
CNN_v2_AvgPool,3,0.9225,66.99,1.123,61.57,0.01
CNN_v2_AvgPool,4,0.8106,71.26,0.797,72.13,0.01
CNN_v2_AvgPool,5,0.7351,73.95,0.781,72.56,0.01
CNN_v2_AvgPool,6,0.6755,76.22,0.8305,71.52,0.01
CNN_v2_AvgPool,7,0.63,77.85,0.7783,72.25,0.01
CNN_v2_AvgPool,8,0.5876,79.42,0.6484,77.32,0.01
CNN_v2_AvgPool,9,0.5588,80.43,0.6922,76.0,0.01
CNN_v2_AvgPool,10,0.5282,81.49,0.7062,75.79,0.01
CNN_v2_AvgPool,11,0.504,82.42,0.6798,76.62,0.01
CNN_v2_AvgPool,12,0.4795,83.25,0.7441,75.92,0.01
CNN_v2_AvgPool,13,0.4594,83.91,0.6299,79.03,0.01
CNN_v2_AvgPool,14,0.4395,84.64,0.5793,80.12,0.01
CNN_v2_AvgPool,15,0.4237,85.16,0.5629,80.56,0.01
CNN_v2_AvgPool,16,0.4038,85.79,0.5856,80.35,0.01
CNN_v2_AvgPool,17,0.3855,86.42,0.5488,80.54,0.01
CNN_v2_AvgPool,18,0.3753,86.92,0.5344,81.9,0.01
CNN_v2_AvgPool,19,0.3627,87.22,0.5828,80.9,0.01
CNN_v2_AvgPool,20,0.3462,87.82,0.6408,78.46,0.01
CNN_v2_AvgPool,21,0.3338,88.27,0.589,80.37,0.01
CNN_v2_AvgPool,22,0.3231,88.62,0.5495,81.66,0.01
CNN_v2_AvgPool,23,0.3092,89.1,0.5309,82.11,0.01
CNN_v2_AvgPool,24,0.2963,89.63,0.4686,83.95,0.01
CNN_v2_AvgPool,25,0.2857,90.01,0.5177,83.11,0.01
CNN_v2_AvgPool,26,0.2727,90.52,0.4793,84.24,0.01
CNN_v2_AvgPool,27,0.268,90.62,0.5583,80.79,0.01
CNN_v2_AvgPool,28,0.2604,90.88,0.4764,84.14,0.01
CNN_v2_AvgPool,29,0.2408,91.53,0.5104,83.86,0.01
CNN_v2_AvgPool,30,0.2347,91.78,0.5202,83.25,0.01
CNN_v2_AvgPool,31,0.2291,91.94,0.4835,84.09,0.01
CNN_v2_AvgPool,32,0.2161,92.55,0.4641,84.72,0.01
CNN_v2_AvgPool,33,0.2108,92.61,0.4252,85.86,0.01
CNN_v2_AvgPool,34,0.2019,93.02,0.512,83.91,0.01
CNN_v2_AvgPool,35,0.2018,93.09,0.4283,86.27,0.01
CNN_v2_AvgPool,36,0.1888,93.56,0.4123,86.5,0.01
CNN_v2_AvgPool,37,0.1813,93.74,0.451,85.57,0.01
CNN_v2_AvgPool,38,0.1778,93.85,0.4839,85.24,0.01
CNN_v2_AvgPool,39,0.1692,94.2,0.4153,86.31,0.01
CNN_v2_AvgPool,40,0.1585,94.58,0.4545,85.74,0.01
CNN_v2_AvgPool,41,0.1639,94.18,0.4572,85.4,0.01
CNN_v2_AvgPool,42,0.1527,94.6,0.4655,85.67,0.01
CNN_v2_AvgPool,43,0.146,94.99,0.4345,86.18,0.01
CNN_v2_AvgPool,44,0.1369,95.38,0.4655,86.02,0.01
CNN_v2_AvgPool,45,0.1339,95.28,0.4882,85.53,0.01
CNN_v2_AvgPool,46,0.1373,95.27,0.4641,85.93,0.01
CNN_v2_AvgPool,47,0.1281,95.66,0.5099,84.26,0.01
CNN_v2_AvgPool,48,0.0709,97.98,0.3422,88.91,0.005
CNN_v2_AvgPool,49,0.0538,98.52,0.3466,89.17,0.005
CNN_v2_AvgPool,50,0.0496,98.69,0.3519,88.84,0.005
CNN_v2_AvgPool,51,0.0424,98.93,0.3548,89.1,0.005
CNN_v2_AvgPool,52,0.0406,99.0,0.3544,88.91,0.005
CNN_v2_AvgPool,53,0.0384,99.03,0.3476,89.57,0.005
CNN_v2_AvgPool,54,0.0358,99.17,0.3767,88.6,0.005
CNN_v2_AvgPool,55,0.0357,99.11,0.3678,89.27,0.005
CNN_v2_AvgPool,56,0.0371,99.05,0.3798,88.77,0.005
CNN_v2_AvgPool,57,0.0336,99.17,0.3803,88.86,0.005
CNN_v2_AvgPool,58,0.0331,99.15,0.3669,89.37,0.005
CNN_v2_AvgPool,59,0.031,99.29,0.3781,88.81,0.005
CNN_v2_AvgPool,60,0.0323,99.22,0.4055,88.2,0.005
CNN_v2_AvgPool,61,0.0334,99.18,0.3774,88.71,0.005
CNN_v2_AvgPool,62,0.0306,99.31,0.3688,89.35,0.005
CNN_v2_AvgPool,63,0.03,99.3,0.38,89.12,0.005
CNN_v2_AvgPool,64,0.0301,99.26,0.391,88.46,0.005
CNN_v2_AvgPool,65,0.0196,99.69,0.3371,90.0,0.0025
CNN_v2_AvgPool,66,0.0156,99.78,0.3436,89.87,0.0025
CNN_v2_AvgPool,67,0.0149,99.79,0.3392,90.26,0.0025
CNN_v2_AvgPool,68,0.0142,99.83,0.3355,90.3,0.0025
CNN_v2_AvgPool,69,0.0125,99.88,0.3441,89.97,0.0025
CNN_v2_AvgPool,70,0.0127,99.88,0.3413,90.02,0.0025
CNN_v2_AvgPool,71,0.0125,99.87,0.3431,89.88,0.0025
CNN_v2_AvgPool,72,0.0117,99.88,0.3554,90.01,0.0025
CNN_v2_AvgPool,73,0.0117,99.86,0.3344,90.13,0.0025
CNN_v2_AvgPool,74,0.0111,99.9,0.3439,90.28,0.0025
CNN_v2_AvgPool,75,0.0112,99.9,0.3473,90.21,0.0025
CNN_v2_AvgPool,76,0.0105,99.92,0.3499,89.64,0.0025
CNN_v2_AvgPool,77,0.0103,99.9,0.3419,90.09,0.0025
CNN_v2_AvgPool,78,0.0104,99.92,0.3473,90.21,0.0025
CNN_v2_AvgPool,79,0.0101,99.92,0.344,90.02,0.0025
CNN_v2_AvgPool,80,0.0091,99.95,0.3317,90.47,0.00125
CNN_v2_AvgPool,81,0.0089,99.94,0.3402,90.31,0.00125
CNN_v2_AvgPool,82,0.0084,99.95,0.3386,90.45,0.00125
CNN_v2_AvgPool,83,0.0081,99.97,0.3373,90.43,0.00125
CNN_v2_AvgPool,84,0.0081,99.95,0.329,90.61,0.00125
CNN_v2_AvgPool,85,0.008,99.95,0.3414,90.37,0.00125
CNN_v2_AvgPool,86,0.008,99.95,0.3429,90.23,0.00125
CNN_v2_AvgPool,87,0.0078,99.97,0.3383,90.35,0.00125
CNN_v2_AvgPool,88,0.0078,99.97,0.343,90.15,0.00125
CNN_v2_AvgPool,89,0.0074,99.97,0.3396,90.44,0.00125
CNN_v2_AvgPool,90,0.0074,99.97,0.3406,90.53,0.00125
CNN_v2_AvgPool,91,0.0076,99.97,0.3409,90.17,0.00125
CNN_v2_AvgPool,92,0.0074,99.98,0.3405,89.93,0.00125
CNN_v2_AvgPool,93,0.0075,99.96,0.3421,90.35,0.00125
CNN_v2_AvgPool,94,0.0078,99.97,0.3363,90.25,0.00125
CNN_v2_AvgPool,95,0.0072,99.98,0.3432,90.37,0.00125
CNN_v2_AvgPool,96,0.0069,99.98,0.3341,90.3,0.000625
CNN_v2_AvgPool,97,0.007,99.97,0.3321,90.35,0.000625
CNN_v2_AvgPool,98,0.0068,99.98,0.3332,90.38,0.000625
CNN_v2_AvgPool,99,0.007,99.98,0.3317,90.41,0.000625
CNN_v2_AvgPool,100,0.0067,99.97,0.3431,90.41,0.000625
CNN_v2_AvgPool,101,0.0067,99.98,0.3362,90.36,0.000625
CNN_v2_AvgPool,102,0.0066,99.98,0.3332,90.58,0.000625
CNN_v2_AvgPool,103,0.0068,99.98,0.3374,90.42,0.000625
CNN_v2_AvgPool,104,0.0068,99.98,0.3349,90.61,0.000625
CNN_v2_AvgPool,105,0.0067,99.99,0.3393,90.23,0.000625
CNN_v2_AvgPool,106,0.0066,99.98,0.3411,90.27,0.000625
CNN_v2_AvgPool,107,0.0065,99.97,0.3391,90.27,0.0003125
CNN_v2_AvgPool,108,0.0066,99.97,0.3337,90.37,0.0003125
CNN_v2_AvgPool,109,0.0063,99.98,0.3449,90.21,0.0003125
CNN_v2_AvgPool,110,0.0063,99.99,0.3322,90.38,0.0003125
CNN_v2_AvgPool,111,0.0064,99.98,0.3374,90.34,0.0003125
CNN_v2_AvgPool,112,0.0066,99.98,0.3405,90.38,0.0003125
CNN_v2_AvgPool,113,0.0062,99.99,0.346,90.31,0.0003125
CNN_v2_AvgPool,114,0.0064,99.98,0.3384,90.4,0.0003125
CNN_v2_AvgPool,115,0.0062,99.98,0.339,90.37,0.0003125
CNN_v2_AvgPool,116,0.0062,99.99,0.334,90.21,0.0003125
CNN_v2_AvgPool,117,0.006,99.99,0.3316,90.49,0.0003125
CNN_v2_AvgPool,118,0.0063,99.98,0.329,90.46,0.00015625
CNN_v2_AvgPool,119,0.0062,99.99,0.3377,90.52,0.00015625
CNN_v2_AvgPool,120,0.0062,99.98,0.3398,90.58,0.00015625
