Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
CNN_v2_Baseline,1,1.3382,50.91,1.1104,60.62,0.01
CNN_v2_Baseline,2,0.9509,66.08,0.9007,68.51,0.01
CNN_v2_Baseline,3,0.8089,71.59,0.8992,68.51,0.01
CNN_v2_Baseline,4,0.713,74.96,0.8111,72.35,0.01
CNN_v2_Baseline,5,0.6553,76.87,0.7204,74.96,0.01
CNN_v2_Baseline,6,0.6005,78.99,0.7051,76.29,0.01
CNN_v2_Baseline,7,0.567,80.11,0.7838,73.59,0.01
CNN_v2_Baseline,8,0.5365,81.29,0.6702,77.37,0.01
CNN_v2_Baseline,9,0.5062,82.24,0.6768,76.67,0.01
CNN_v2_Baseline,10,0.4844,83.0,0.6826,76.64,0.01
CNN_v2_Baseline,11,0.4565,83.96,0.565,80.61,0.01
CNN_v2_Baseline,12,0.4352,84.63,0.7048,76.56,0.01
CNN_v2_Baseline,13,0.4185,85.34,0.6273,78.85,0.01
CNN_v2_Baseline,14,0.3991,86.18,0.5935,80.0,0.01
CNN_v2_Baseline,15,0.3906,86.28,0.5092,82.43,0.01
CNN_v2_Baseline,16,0.3659,87.18,0.5766,80.15,0.01
CNN_v2_Baseline,17,0.3522,87.67,0.4919,82.94,0.01
CNN_v2_Baseline,18,0.3418,88.05,0.5496,80.76,0.01
CNN_v2_Baseline,19,0.3297,88.55,0.4448,84.54,0.01
CNN_v2_Baseline,20,0.318,88.79,0.5981,80.77,0.01
CNN_v2_Baseline,21,0.3093,89.25,0.4784,84.02,0.01
CNN_v2_Baseline,22,0.3002,89.55,0.5665,82.21,0.01
CNN_v2_Baseline,23,0.2823,90.22,0.4845,84.32,0.01
CNN_v2_Baseline,24,0.2767,90.34,0.4289,85.78,0.01
CNN_v2_Baseline,25,0.2715,90.48,0.5749,81.92,0.01
CNN_v2_Baseline,26,0.2534,91.22,0.4867,84.54,0.01
CNN_v2_Baseline,27,0.252,91.16,0.4648,84.96,0.01
CNN_v2_Baseline,28,0.2426,91.49,0.4809,84.43,0.01
CNN_v2_Baseline,29,0.2343,91.78,0.4563,85.32,0.01
CNN_v2_Baseline,30,0.2237,92.32,0.522,83.27,0.01
CNN_v2_Baseline,31,0.2153,92.46,0.413,86.51,0.01
CNN_v2_Baseline,32,0.2081,92.68,0.4566,85.17,0.01
CNN_v2_Baseline,33,0.2044,92.85,0.4926,84.79,0.01
CNN_v2_Baseline,34,0.1955,93.19,0.4369,85.63,0.01
CNN_v2_Baseline,35,0.1859,93.58,0.4985,84.3,0.01
CNN_v2_Baseline,36,0.1813,93.68,0.4588,85.54,0.01
CNN_v2_Baseline,37,0.1749,93.98,0.4752,85.44,0.01
CNN_v2_Baseline,38,0.1752,93.86,0.4468,86.1,0.01
CNN_v2_Baseline,39,0.1663,94.04,0.4738,84.71,0.01
CNN_v2_Baseline,40,0.1601,94.32,0.4631,85.48,0.01
CNN_v2_Baseline,41,0.1579,94.42,0.4645,85.5,0.01
CNN_v2_Baseline,42,0.1514,94.73,0.4179,86.93,0.01
CNN_v2_Baseline,43,0.148,94.85,0.4702,85.03,0.01
CNN_v2_Baseline,44,0.143,95.02,0.4463,86.22,0.01
CNN_v2_Baseline,45,0.1382,95.15,0.4503,86.04,0.01
CNN_v2_Baseline,46,0.133,95.45,0.4086,87.48,0.01
CNN_v2_Baseline,47,0.1283,95.51,0.5463,83.35,0.01
CNN_v2_Baseline,48,0.1221,95.79,0.4204,87.12,0.01
CNN_v2_Baseline,49,0.1271,95.6,0.4013,87.39,0.01
CNN_v2_Baseline,50,0.1205,95.77,0.4032,87.8,0.01
CNN_v2_Baseline,51,0.115,96.03,0.4469,86.55,0.01
CNN_v2_Baseline,52,0.1175,96.02,0.4014,87.9,0.01
CNN_v2_Baseline,53,0.1118,96.16,0.3848,88.2,0.01
CNN_v2_Baseline,54,0.1088,96.24,0.4349,86.78,0.01
CNN_v2_Baseline,55,0.1066,96.33,0.4634,86.21,0.01
CNN_v2_Baseline,56,0.1064,96.42,0.3998,87.98,0.01
CNN_v2_Baseline,57,0.1059,96.3,0.4016,87.88,0.01
CNN_v2_Baseline,58,0.1052,96.4,0.4451,86.73,0.01
CNN_v2_Baseline,59,0.0972,96.67,0.4367,87.26,0.01
CNN_v2_Baseline,60,0.0996,96.64,0.4219,87.42,0.01
CNN_v2_Baseline,61,0.0964,96.8,0.4342,87.2,0.01
CNN_v2_Baseline,62,0.1015,96.59,0.4544,86.84,0.01
CNN_v2_Baseline,63,0.088,96.98,0.4183,87.47,0.01
CNN_v2_Baseline,64,0.0985,96.61,0.4061,88.15,0.01
CNN_v2_Baseline,65,0.0519,98.49,0.3371,89.87,0.005
CNN_v2_Baseline,66,0.0387,98.94,0.3277,90.24,0.005
CNN_v2_Baseline,67,0.0348,99.1,0.3355,90.22,0.005
CNN_v2_Baseline,68,0.0311,99.23,0.3362,90.29,0.005
CNN_v2_Baseline,69,0.0295,99.24,0.3312,90.27,0.005
CNN_v2_Baseline,70,0.0285,99.24,0.3452,90.18,0.005
CNN_v2_Baseline,71,0.0267,99.33,0.3298,90.12,0.005
CNN_v2_Baseline,72,0.0232,99.46,0.3474,90.24,0.005
CNN_v2_Baseline,73,0.0247,99.35,0.3495,89.83,0.005
CNN_v2_Baseline,74,0.0241,99.4,0.3477,90.28,0.005
CNN_v2_Baseline,75,0.0234,99.45,0.3434,90.07,0.005
CNN_v2_Baseline,76,0.0214,99.57,0.3462,90.18,0.005
CNN_v2_Baseline,77,0.022,99.53,0.343,90.52,0.005
CNN_v2_Baseline,78,0.0248,99.39,0.3566,90.05,0.005
CNN_v2_Baseline,79,0.0234,99.4,0.3442,89.88,0.005
CNN_v2_Baseline,80,0.0221,99.5,0.3345,90.3,0.005
CNN_v2_Baseline,81,0.0217,99.49,0.3536,89.91,0.005
CNN_v2_Baseline,82,0.0232,99.41,0.3554,89.61,0.005
CNN_v2_Baseline,83,0.0235,99.43,0.379,89.76,0.005
CNN_v2_Baseline,84,0.0226,99.47,0.3578,89.62,0.005
CNN_v2_Baseline,85,0.0244,99.39,0.3506,89.87,0.005
CNN_v2_Baseline,86,0.0212,99.55,0.3396,90.19,0.005
CNN_v2_Baseline,87,0.0238,99.46,0.3697,89.57,0.005
CNN_v2_Baseline,88,0.0225,99.5,0.3579,90.0,0.005
CNN_v2_Baseline,89,0.0146,99.76,0.3158,91.23,0.0025
CNN_v2_Baseline,90,0.0124,99.82,0.3097,90.9,0.0025
CNN_v2_Baseline,91,0.0115,99.84,0.3135,90.91,0.0025
CNN_v2_Baseline,92,0.0103,99.88,0.3215,90.89,0.0025
CNN_v2_Baseline,93,0.0106,99.85,0.3288,90.49,0.0025
CNN_v2_Baseline,94,0.0103,99.86,0.3307,90.82,0.0025
CNN_v2_Baseline,95,0.0096,99.88,0.324,90.86,0.0025
CNN_v2_Baseline,96,0.0096,99.87,0.3174,91.08,0.0025
CNN_v2_Baseline,97,0.0089,99.9,0.3211,91.13,0.0025
CNN_v2_Baseline,98,0.0088,99.89,0.329,90.63,0.0025
CNN_v2_Baseline,99,0.0092,99.89,0.3268,90.6,0.0025
CNN_v2_Baseline,100,0.0082,99.93,0.3176,90.83,0.0025
CNN_v2_Baseline,101,0.0074,99.95,0.3266,91.15,0.00125
CNN_v2_Baseline,102,0.0074,99.92,0.3112,91.25,0.00125
CNN_v2_Baseline,103,0.0068,99.95,0.3155,91.18,0.00125
CNN_v2_Baseline,104,0.0068,99.94,0.3273,90.75,0.00125
CNN_v2_Baseline,105,0.0067,99.97,0.3203,90.76,0.00125
CNN_v2_Baseline,106,0.0062,99.97,0.3119,91.12,0.00125
CNN_v2_Baseline,107,0.0067,99.94,0.3194,90.86,0.00125
CNN_v2_Baseline,108,0.0065,99.95,0.3156,91.13,0.00125
CNN_v2_Baseline,109,0.0066,99.95,0.3232,90.89,0.00125
CNN_v2_Baseline,110,0.0065,99.96,0.3142,91.1,0.00125
CNN_v2_Baseline,111,0.0065,99.94,0.3197,90.98,0.00125
CNN_v2_Baseline,112,0.0061,99.97,0.3175,91.02,0.00125
CNN_v2_Baseline,113,0.0064,99.95,0.3184,90.98,0.00125
CNN_v2_Baseline,114,0.0062,99.95,0.3064,91.11,0.000625
CNN_v2_Baseline,115,0.0059,99.97,0.319,90.97,0.000625
CNN_v2_Baseline,116,0.0058,99.95,0.3156,91.19,0.000625
CNN_v2_Baseline,117,0.0059,99.96,0.3177,91.13,0.000625
CNN_v2_Baseline,118,0.0059,99.96,0.3231,90.97,0.000625
CNN_v2_Baseline,119,0.0056,99.96,0.3179,91.02,0.000625
CNN_v2_Baseline,120,0.0056,99.97,0.3109,91.27,0.000625
