Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
CNN_v2_Dropout,1,1.5253,44.36,1.2576,59.14,0.01
CNN_v2_Dropout,2,1.1412,58.65,1.0907,62.73,0.01
CNN_v2_Dropout,3,0.9928,64.41,0.9489,67.81,0.01
CNN_v2_Dropout,4,0.8962,68.43,0.9309,68.02,0.01
CNN_v2_Dropout,5,0.8257,70.9,0.8155,72.84,0.01
CNN_v2_Dropout,6,0.7768,72.63,0.8371,71.27,0.01
CNN_v2_Dropout,7,0.7354,74.1,0.7876,72.65,0.01
CNN_v2_Dropout,8,0.699,75.68,0.764,73.52,0.01
CNN_v2_Dropout,9,0.6682,76.53,0.704,75.46,0.01
CNN_v2_Dropout,10,0.6474,77.31,0.6748,76.72,0.01
CNN_v2_Dropout,11,0.6127,78.51,0.6339,78.6,0.01
CNN_v2_Dropout,12,0.5959,79.29,0.611,79.11,0.01
CNN_v2_Dropout,13,0.5687,80.17,0.7187,74.46,0.01
CNN_v2_Dropout,14,0.5522,80.84,0.6172,78.74,0.01
CNN_v2_Dropout,15,0.5308,81.48,0.5787,79.72,0.01
CNN_v2_Dropout,16,0.5172,82.1,0.5267,81.55,0.01
CNN_v2_Dropout,17,0.4999,82.71,0.581,80.17,0.01
CNN_v2_Dropout,18,0.4795,83.34,0.5481,81.24,0.01
CNN_v2_Dropout,19,0.4684,83.66,0.5953,78.53,0.01
CNN_v2_Dropout,20,0.453,84.24,0.6921,76.77,0.01
CNN_v2_Dropout,21,0.4423,84.64,0.4987,82.62,0.01
CNN_v2_Dropout,22,0.4305,84.95,0.4889,83.31,0.01
CNN_v2_Dropout,23,0.422,85.32,0.6185,79.39,0.01
CNN_v2_Dropout,24,0.4021,86.05,0.5241,82.58,0.01
CNN_v2_Dropout,25,0.3919,86.4,0.5668,80.65,0.01
CNN_v2_Dropout,26,0.3813,86.75,0.5187,82.45,0.01
CNN_v2_Dropout,27,0.3764,87.06,0.4826,83.25,0.01
CNN_v2_Dropout,28,0.3606,87.45,0.4636,84.39,0.01
CNN_v2_Dropout,29,0.35,87.92,0.4734,84.25,0.01
CNN_v2_Dropout,30,0.3477,87.93,0.5162,82.56,0.01
CNN_v2_Dropout,31,0.3315,88.59,0.4727,84.04,0.01
CNN_v2_Dropout,32,0.3231,88.62,0.4683,84.27,0.01
CNN_v2_Dropout,33,0.313,89.09,0.4746,83.94,0.01
CNN_v2_Dropout,34,0.3088,89.37,0.4786,83.75,0.01
CNN_v2_Dropout,35,0.2965,89.66,0.4246,85.71,0.01
CNN_v2_Dropout,36,0.287,89.97,0.4504,85.33,0.01
CNN_v2_Dropout,37,0.2865,89.99,0.4434,85.1,0.01
CNN_v2_Dropout,38,0.2724,90.43,0.4402,85.28,0.01
CNN_v2_Dropout,39,0.2691,90.6,0.4347,85.78,0.01
CNN_v2_Dropout,40,0.2599,90.97,0.4026,86.98,0.01
CNN_v2_Dropout,41,0.2562,91.13,0.4747,84.49,0.01
CNN_v2_Dropout,42,0.243,91.51,0.3897,87.04,0.01
CNN_v2_Dropout,43,0.2394,91.7,0.4241,86.37,0.01
CNN_v2_Dropout,44,0.2286,91.96,0.4414,85.82,0.01
CNN_v2_Dropout,45,0.2254,92.17,0.4486,85.68,0.01
CNN_v2_Dropout,46,0.2152,92.52,0.422,86.65,0.01
CNN_v2_Dropout,47,0.2139,92.54,0.3875,87.34,0.01
CNN_v2_Dropout,48,0.211,92.67,0.3848,87.4,0.01
CNN_v2_Dropout,49,0.2022,92.94,0.4398,86.3,0.01
CNN_v2_Dropout,50,0.2012,93.08,0.4225,87.0,0.01
CNN_v2_Dropout,51,0.1984,93.05,0.4096,87.03,0.01
CNN_v2_Dropout,52,0.1977,93.14,0.4669,85.57,0.01
CNN_v2_Dropout,53,0.1936,93.21,0.4554,85.88,0.01
CNN_v2_Dropout,54,0.1815,93.61,0.4313,86.91,0.01
CNN_v2_Dropout,55,0.1797,93.84,0.4413,86.82,0.01
CNN_v2_Dropout,56,0.1787,93.82,0.4328,86.64,0.01
CNN_v2_Dropout,57,0.1801,93.73,0.41,87.14,0.01
CNN_v2_Dropout,58,0.1743,93.89,0.461,85.97,0.01
CNN_v2_Dropout,59,0.1706,94.02,0.5419,84.06,0.01
CNN_v2_Dropout,60,0.1178,96.06,0.3605,88.71,0.005
CNN_v2_Dropout,61,0.1005,96.64,0.3574,89.11,0.005
CNN_v2_Dropout,62,0.0958,96.75,0.362,89.07,0.005
CNN_v2_Dropout,63,0.0892,96.96,0.4336,87.74,0.005
CNN_v2_Dropout,64,0.0844,97.18,0.3912,88.76,0.005
CNN_v2_Dropout,65,0.0783,97.4,0.3948,88.81,0.005
CNN_v2_Dropout,66,0.0769,97.46,0.3987,88.99,0.005
CNN_v2_Dropout,67,0.081,97.23,0.433,88.06,0.005
CNN_v2_Dropout,68,0.0763,97.41,0.3923,89.02,0.005
CNN_v2_Dropout,69,0.0768,97.34,0.3945,88.91,0.005
CNN_v2_Dropout,70,0.0762,97.48,0.3985,88.99,0.005
CNN_v2_Dropout,71,0.0727,97.61,0.4005,88.7,0.005
CNN_v2_Dropout,72,0.0752,97.51,0.4274,88.14,0.005
CNN_v2_Dropout,73,0.0519,98.34,0.3699,89.68,0.0025
CNN_v2_Dropout,74,0.0463,98.59,0.3538,89.91,0.0025
CNN_v2_Dropout,75,0.0409,98.79,0.3813,89.65,0.0025
CNN_v2_Dropout,76,0.0384,98.78,0.3824,89.72,0.0025
CNN_v2_Dropout,77,0.0351,98.97,0.3733,90.0,0.0025
CNN_v2_Dropout,78,0.0356,98.96,0.3787,90.11,0.0025
CNN_v2_Dropout,79,0.0352,98.91,0.3741,89.79,0.0025
CNN_v2_Dropout,80,0.0325,98.99,0.3861,89.98,0.0025
CNN_v2_Dropout,81,0.0322,99.05,0.3862,89.85,0.0025
CNN_v2_Dropout,82,0.0305,99.09,0.3861,89.88,0.0025
CNN_v2_Dropout,83,0.0317,98.99,0.376,90.12,0.0025
CNN_v2_Dropout,84,0.03,99.08,0.3888,90.16,0.0025
CNN_v2_Dropout,85,0.0308,99.07,0.3884,89.8,0.0025
CNN_v2_Dropout,86,0.0283,99.14,0.376,89.85,0.0025
CNN_v2_Dropout,87,0.0278,99.16,0.3918,90.0,0.0025
CNN_v2_Dropout,88,0.0269,99.19,0.394,90.07,0.0025
CNN_v2_Dropout,89,0.0274,99.2,0.3998,89.96,0.0025
CNN_v2_Dropout,90,0.0263,99.25,0.4086,89.47,0.0025
CNN_v2_Dropout,91,0.0259,99.28,0.3899,90.13,0.0025
CNN_v2_Dropout,92,0.0269,99.18,0.4159,89.69,0.0025
CNN_v2_Dropout,93,0.0255,99.25,0.4031,89.54,0.0025
CNN_v2_Dropout,94,0.0255,99.28,0.4122,89.41,0.0025
CNN_v2_Dropout,95,0.0259,99.23,0.4009,89.58,0.0025
CNN_v2_Dropout,96,0.0208,99.42,0.3844,90.13,0.00125
CNN_v2_Dropout,97,0.0184,99.51,0.3701,90.35,0.00125
CNN_v2_Dropout,98,0.0169,99.58,0.3893,89.98,0.00125
CNN_v2_Dropout,99,0.0168,99.57,0.3962,90.19,0.00125
