Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
CNN_v2_ELU,1,1.3976,49.77,1.2557,56.16,0.01
CNN_v2_ELU,2,1.0303,63.76,0.9732,66.26,0.01
CNN_v2_ELU,3,0.8965,68.66,1.0091,65.2,0.01
CNN_v2_ELU,4,0.8109,71.82,0.8916,69.25,0.01
CNN_v2_ELU,5,0.7507,73.91,0.7504,73.81,0.01
CNN_v2_ELU,6,0.71,75.26,0.7775,73.2,0.01
CNN_v2_ELU,7,0.6746,76.5,0.7435,74.77,0.01
CNN_v2_ELU,8,0.6309,78.22,0.7446,74.7,0.01
CNN_v2_ELU,9,0.6097,79.06,0.7118,75.01,0.01
CNN_v2_ELU,10,0.5786,79.98,0.7096,75.63,0.01
CNN_v2_ELU,11,0.5597,80.61,0.6373,78.21,0.01
CNN_v2_ELU,12,0.5393,81.26,0.6997,76.74,0.01
CNN_v2_ELU,13,0.525,81.86,0.5977,79.59,0.01
CNN_v2_ELU,14,0.5109,82.24,0.5882,79.68,0.01
CNN_v2_ELU,15,0.4949,83.08,0.6479,77.92,0.01
CNN_v2_ELU,16,0.4749,83.74,0.6286,78.53,0.01
CNN_v2_ELU,17,0.4638,84.01,0.669,77.84,0.01
CNN_v2_ELU,18,0.453,84.39,0.7279,75.97,0.01
CNN_v2_ELU,19,0.4415,84.78,0.59,80.95,0.01
CNN_v2_ELU,20,0.4251,85.23,0.6082,80.0,0.01
CNN_v2_ELU,21,0.4224,85.16,0.5849,80.65,0.01
CNN_v2_ELU,22,0.4161,85.73,0.5519,81.39,0.01
CNN_v2_ELU,23,0.4066,85.92,0.5348,82.33,0.01
CNN_v2_ELU,24,0.3936,86.42,0.5733,80.5,0.01
CNN_v2_ELU,25,0.3785,86.94,0.6361,79.06,0.01
CNN_v2_ELU,26,0.3724,87.19,0.7045,77.62,0.01
CNN_v2_ELU,27,0.3706,87.11,0.5136,83.03,0.01
CNN_v2_ELU,28,0.363,87.38,0.5103,82.76,0.01
CNN_v2_ELU,29,0.3563,87.67,0.6394,78.97,0.01
