Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
CNN_v2_LeakyReLU,1,1.3408,51.1,1.3046,53.74,0.01
CNN_v2_LeakyReLU,2,0.9416,66.55,1.114,61.25,0.01
CNN_v2_LeakyReLU,3,0.7945,71.94,0.8273,70.84,0.01
CNN_v2_LeakyReLU,4,0.7165,74.86,0.8388,71.45,0.01
CNN_v2_LeakyReLU,5,0.6493,77.3,0.6697,77.03,0.01
CNN_v2_LeakyReLU,6,0.5969,79.06,0.8215,71.93,0.01
CNN_v2_LeakyReLU,7,0.5636,80.21,0.6282,78.1,0.01
CNN_v2_LeakyReLU,8,0.5334,81.44,0.62,78.34,0.01
CNN_v2_LeakyReLU,9,0.503,82.44,0.6339,78.37,0.01
CNN_v2_LeakyReLU,10,0.4785,83.26,0.5845,80.18,0.01
CNN_v2_LeakyReLU,11,0.4519,84.25,0.5533,81.21,0.01
CNN_v2_LeakyReLU,12,0.436,84.71,0.6009,79.45,0.01
CNN_v2_LeakyReLU,13,0.4157,85.37,0.5387,82.2,0.01
CNN_v2_LeakyReLU,14,0.4021,85.95,0.5511,81.07,0.01
CNN_v2_LeakyReLU,15,0.3815,86.68,0.54,82.19,0.01
CNN_v2_LeakyReLU,16,0.3722,87.04,0.5832,80.85,0.01
CNN_v2_LeakyReLU,17,0.3576,87.75,0.6716,78.06,0.01
CNN_v2_LeakyReLU,18,0.3433,87.82,0.5649,81.63,0.01
CNN_v2_LeakyReLU,19,0.3318,88.35,0.4529,84.86,0.01
CNN_v2_LeakyReLU,20,0.3161,89.01,0.545,81.89,0.01
CNN_v2_LeakyReLU,21,0.3078,89.17,0.4929,83.66,0.01
CNN_v2_LeakyReLU,22,0.3014,89.37,0.4881,83.39,0.01
CNN_v2_LeakyReLU,23,0.2843,90.11,0.4405,85.27,0.01
CNN_v2_LeakyReLU,24,0.2815,90.14,0.4945,84.08,0.01
CNN_v2_LeakyReLU,25,0.2695,90.69,0.4472,85.29,0.01
CNN_v2_LeakyReLU,26,0.257,90.96,0.4539,84.74,0.01
CNN_v2_LeakyReLU,27,0.2481,91.14,0.4847,83.8,0.01
CNN_v2_LeakyReLU,28,0.2397,91.67,0.4689,84.83,0.01
CNN_v2_LeakyReLU,29,0.2327,91.84,0.511,83.95,0.01
CNN_v2_LeakyReLU,30,0.2246,92.2,0.4566,85.55,0.01
CNN_v2_LeakyReLU,31,0.2197,92.32,0.5332,83.23,0.01
CNN_v2_LeakyReLU,32,0.2095,92.62,0.4159,86.1,0.01
CNN_v2_LeakyReLU,33,0.2043,92.86,0.4563,85.47,0.01
CNN_v2_LeakyReLU,34,0.1991,92.91,0.4444,85.82,0.01
CNN_v2_LeakyReLU,35,0.1906,93.37,0.4059,86.74,0.01
CNN_v2_LeakyReLU,36,0.1859,93.39,0.49,84.54,0.01
CNN_v2_LeakyReLU,37,0.1804,93.76,0.4463,85.83,0.01
CNN_v2_LeakyReLU,38,0.1678,94.09,0.6284,81.74,0.01
CNN_v2_LeakyReLU,39,0.1673,94.28,0.4737,85.11,0.01
CNN_v2_LeakyReLU,40,0.1612,94.38,0.4169,87.07,0.01
CNN_v2_LeakyReLU,41,0.1589,94.44,0.4732,85.72,0.01
CNN_v2_LeakyReLU,42,0.1554,94.52,0.417,86.79,0.01
CNN_v2_LeakyReLU,43,0.146,94.88,0.4071,87.41,0.01
CNN_v2_LeakyReLU,44,0.1439,94.91,0.4294,86.61,0.01
CNN_v2_LeakyReLU,45,0.139,95.16,0.4041,87.34,0.01
CNN_v2_LeakyReLU,46,0.1375,95.16,0.4628,85.88,0.01
CNN_v2_LeakyReLU,47,0.133,95.38,0.4483,86.46,0.01
CNN_v2_LeakyReLU,48,0.1218,95.84,0.4088,87.46,0.01
CNN_v2_LeakyReLU,49,0.1217,95.76,0.4163,87.13,0.01
CNN_v2_LeakyReLU,50,0.1238,95.84,0.4182,87.27,0.01
CNN_v2_LeakyReLU,51,0.1189,95.74,0.4123,87.46,0.01
CNN_v2_LeakyReLU,52,0.1155,96.01,0.4187,87.07,0.01
CNN_v2_LeakyReLU,53,0.1128,96.08,0.4321,86.63,0.01
CNN_v2_LeakyReLU,54,0.1142,96.0,0.4754,85.68,0.01
CNN_v2_LeakyReLU,55,0.1051,96.4,0.465,86.28,0.01
CNN_v2_LeakyReLU,56,0.1082,96.29,0.4037,87.56,0.01
CNN_v2_LeakyReLU,57,0.1025,96.44,0.4585,86.31,0.01
CNN_v2_LeakyReLU,58,0.1071,96.29,0.4196,87.28,0.01
CNN_v2_LeakyReLU,59,0.1018,96.52,0.4179,87.4,0.01
CNN_v2_LeakyReLU,60,0.1037,96.37,0.5323,84.72,0.01
CNN_v2_LeakyReLU,61,0.0968,96.71,0.391,88.26,0.01
CNN_v2_LeakyReLU,62,0.0957,96.69,0.448,86.35,0.01
CNN_v2_LeakyReLU,63,0.0983,96.68,0.3778,89.02,0.01
CNN_v2_LeakyReLU,64,0.0928,96.91,0.4199,87.33,0.01
CNN_v2_LeakyReLU,65,0.0919,96.92,0.3987,87.61,0.01
CNN_v2_LeakyReLU,66,0.0894,97.04,0.4505,86.89,0.01
CNN_v2_LeakyReLU,67,0.0916,96.86,0.4335,87.0,0.01
CNN_v2_LeakyReLU,68,0.0891,97.04,0.4669,86.42,0.01
CNN_v2_LeakyReLU,69,0.0911,96.83,0.4566,86.59,0.01
CNN_v2_LeakyReLU,70,0.0845,97.14,0.4374,87.22,0.01
CNN_v2_LeakyReLU,71,0.0879,97.06,0.4391,87.32,0.01
CNN_v2_LeakyReLU,72,0.0856,97.22,0.4459,87.16,0.01
CNN_v2_LeakyReLU,73,0.0822,97.31,0.3877,88.53,0.01
