Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
CNN_v2_NoPooling,1,1.594,40.6,1.3654,49.46,0.01
CNN_v2_NoPooling,2,1.2556,54.46,1.1738,57.54,0.01
CNN_v2_NoPooling,3,1.1184,59.75,1.403,51.52,0.01
CNN_v2_NoPooling,4,1.0355,63.02,1.164,58.81,0.01
CNN_v2_NoPooling,5,0.9644,65.64,1.4474,53.0,0.01
CNN_v2_NoPooling,6,0.9058,67.84,1.1729,59.47,0.01
CNN_v2_NoPooling,7,0.8548,69.61,1.063,60.92,0.01
CNN_v2_NoPooling,8,0.8168,71.12,1.1559,59.92,0.01
CNN_v2_NoPooling,9,0.7756,72.62,1.0367,63.25,0.01
CNN_v2_NoPooling,10,0.7429,73.75,1.0824,62.22,0.01
CNN_v2_NoPooling,11,0.7129,74.89,1.0065,66.11,0.01
CNN_v2_NoPooling,12,0.6924,75.59,0.8774,69.61,0.01
CNN_v2_NoPooling,13,0.6529,77.12,0.8887,69.55,0.01
CNN_v2_NoPooling,14,0.6411,77.49,1.2526,59.94,0.01
CNN_v2_NoPooling,15,0.6175,78.38,0.7304,74.8,0.01
CNN_v2_NoPooling,16,0.5969,79.22,1.0586,66.18,0.01
CNN_v2_NoPooling,17,0.571,80.05,1.0024,66.42,0.01
CNN_v2_NoPooling,18,0.5533,80.75,1.0834,67.35,0.01
CNN_v2_NoPooling,19,0.5404,81.01,0.7961,73.31,0.01
CNN_v2_NoPooling,20,0.5211,81.7,0.7814,72.68,0.01
CNN_v2_NoPooling,21,0.5095,82.2,0.7559,74.31,0.01
CNN_v2_NoPooling,22,0.498,82.7,0.7873,73.54,0.01
CNN_v2_NoPooling,23,0.4833,83.09,0.7631,74.1,0.01
CNN_v2_NoPooling,24,0.4653,83.79,0.8666,71.09,0.01
CNN_v2_NoPooling,25,0.4559,84.17,0.6073,79.33,0.01
CNN_v2_NoPooling,26,0.4437,84.65,0.6158,79.48,0.01
CNN_v2_NoPooling,27,0.4309,85.1,0.6217,78.7,0.01
CNN_v2_NoPooling,28,0.4252,85.34,0.6466,77.88,0.01
CNN_v2_NoPooling,29,0.4132,85.75,0.9081,71.2,0.01
CNN_v2_NoPooling,30,0.4006,86.13,0.7758,74.3,0.01
CNN_v2_NoPooling,31,0.3913,86.51,0.7197,76.87,0.01
CNN_v2_NoPooling,32,0.3762,87.06,0.69,77.22,0.01
CNN_v2_NoPooling,33,0.3711,87.02,0.6386,78.71,0.01
CNN_v2_NoPooling,34,0.3601,87.52,0.8217,74.5,0.01
CNN_v2_NoPooling,35,0.3596,87.53,0.8342,72.91,0.01
CNN_v2_NoPooling,36,0.3462,88.04,0.8427,73.67,0.01
CNN_v2_NoPooling,37,0.3383,88.27,0.7879,74.11,0.01
CNN_v2_NoPooling,38,0.2594,91.4,0.4297,85.52,0.005
CNN_v2_NoPooling,39,0.2465,91.67,0.4961,83.04,0.005
CNN_v2_NoPooling,40,0.2363,92.14,0.4776,84.24,0.005
CNN_v2_NoPooling,41,0.2299,92.25,0.5163,82.72,0.005
CNN_v2_NoPooling,42,0.2265,92.4,0.5903,80.61,0.005
CNN_v2_NoPooling,43,0.2199,92.65,0.6196,80.96,0.005
CNN_v2_NoPooling,44,0.2147,92.78,0.4859,84.05,0.005
CNN_v2_NoPooling,45,0.2121,92.78,0.5588,82.34,0.005
CNN_v2_NoPooling,46,0.2046,93.16,0.5509,82.01,0.005
CNN_v2_NoPooling,47,0.2023,93.13,0.4786,84.81,0.005
CNN_v2_NoPooling,48,0.1975,93.4,0.4743,84.69,0.005
CNN_v2_NoPooling,49,0.1922,93.51,0.7329,77.66,0.005
CNN_v2_NoPooling,50,0.1419,95.74,0.4386,85.42,0.0025
CNN_v2_NoPooling,51,0.1272,96.17,0.3965,86.68,0.0025
CNN_v2_NoPooling,52,0.1216,96.37,0.4684,85.47,0.0025
CNN_v2_NoPooling,53,0.1209,96.31,0.474,84.91,0.0025
CNN_v2_NoPooling,54,0.1122,96.62,0.4312,86.31,0.0025
CNN_v2_NoPooling,55,0.1118,96.71,0.5309,83.6,0.0025
CNN_v2_NoPooling,56,0.1074,96.76,0.4221,86.4,0.0025
CNN_v2_NoPooling,57,0.1071,96.85,0.4171,86.53,0.0025
CNN_v2_NoPooling,58,0.1021,97.02,0.4148,86.64,0.0025
CNN_v2_NoPooling,59,0.0993,97.07,0.4263,86.65,0.0025
CNN_v2_NoPooling,60,0.0978,97.12,0.4901,85.01,0.0025
CNN_v2_NoPooling,61,0.094,97.27,0.5159,84.77,0.0025
CNN_v2_NoPooling,62,0.0901,97.49,0.4317,87.04,0.0025
CNN_v2_NoPooling,63,0.0906,97.31,0.5329,84.24,0.0025
CNN_v2_NoPooling,64,0.0917,97.3,0.5426,83.73,0.0025
CNN_v2_NoPooling,65,0.0841,97.61,0.5409,84.61,0.0025
CNN_v2_NoPooling,66,0.0808,97.74,0.5077,84.81,0.0025
CNN_v2_NoPooling,67,0.0806,97.7,0.4407,86.57,0.0025
CNN_v2_NoPooling,68,0.0771,97.81,0.5486,83.83,0.0025
CNN_v2_NoPooling,69,0.0763,97.89,0.4822,86.08,0.0025
CNN_v2_NoPooling,70,0.0787,97.78,0.5324,84.37,0.0025
CNN_v2_NoPooling,71,0.077,97.74,0.5041,85.52,0.0025
CNN_v2_NoPooling,72,0.0733,97.9,0.6183,82.0,0.0025
CNN_v2_NoPooling,73,0.0678,98.18,0.4388,86.56,0.0025
CNN_v2_NoPooling,74,0.0435,99.18,0.4463,86.57,0.00125
CNN_v2_NoPooling,75,0.04,99.25,0.4285,87.26,0.00125
CNN_v2_NoPooling,76,0.0345,99.46,0.4134,87.54,0.00125
CNN_v2_NoPooling,77,0.0344,99.51,0.4285,87.4,0.00125
CNN_v2_NoPooling,78,0.0333,99.5,0.4187,87.8,0.00125
CNN_v2_NoPooling,79,0.0327,99.49,0.4155,87.29,0.00125
CNN_v2_NoPooling,80,0.0308,99.53,0.4173,87.77,0.00125
