Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
CNN_v2_No_BN_Avg,1,2.0971,20.18,1.8717,30.25,0.01
CNN_v2_No_BN_Avg,2,1.8027,32.07,1.6626,37.98,0.01
CNN_v2_No_BN_Avg,3,1.6567,37.85,1.6253,39.71,0.01
CNN_v2_No_BN_Avg,4,1.5486,42.24,1.4991,44.51,0.01
CNN_v2_No_BN_Avg,5,1.4475,46.49,1.4032,49.09,0.01
CNN_v2_No_BN_Avg,6,1.3615,49.96,1.3041,52.51,0.01
CNN_v2_No_BN_Avg,7,1.285,52.85,1.2361,55.35,0.01
CNN_v2_No_BN_Avg,8,1.1954,56.74,1.124,59.36,0.01
CNN_v2_No_BN_Avg,9,1.1393,59.0,1.0749,60.58,0.01
CNN_v2_No_BN_Avg,10,1.0696,61.55,1.0497,62.35,0.01
CNN_v2_No_BN_Avg,11,1.0159,63.68,1.0215,63.46,0.01
CNN_v2_No_BN_Avg,12,0.982,64.58,0.9537,66.19,0.01
CNN_v2_No_BN_Avg,13,0.9479,66.09,1.0428,62.76,0.01
CNN_v2_No_BN_Avg,14,0.9122,67.44,0.9033,67.38,0.01
CNN_v2_No_BN_Avg,15,0.8811,68.71,0.8842,67.88,0.01
CNN_v2_No_BN_Avg,16,0.857,69.3,0.863,69.22,0.01
CNN_v2_No_BN_Avg,17,0.8271,70.87,0.8557,69.98,0.01
CNN_v2_No_BN_Avg,18,0.8013,71.56,0.8137,70.78,0.01
CNN_v2_No_BN_Avg,19,0.7917,71.79,0.8143,70.76,0.01
CNN_v2_No_BN_Avg,20,0.7636,72.87,0.757,73.2,0.01
CNN_v2_No_BN_Avg,21,0.7403,73.76,0.7656,72.69,0.01
CNN_v2_No_BN_Avg,22,0.7091,75.1,0.7782,72.66,0.01
CNN_v2_No_BN_Avg,23,0.6916,75.69,0.7105,74.9,0.01
CNN_v2_No_BN_Avg,24,0.6682,76.51,0.6868,75.61,0.01
CNN_v2_No_BN_Avg,25,0.6542,77.0,0.6881,75.77,0.01
CNN_v2_No_BN_Avg,26,0.6271,77.99,0.6779,76.33,0.01
CNN_v2_No_BN_Avg,27,0.6125,78.56,0.6604,76.89,0.01
CNN_v2_No_BN_Avg,28,0.6011,78.94,0.6937,75.52,0.01
CNN_v2_No_BN_Avg,29,0.5751,79.94,0.6832,75.7,0.01
CNN_v2_No_BN_Avg,30,0.5612,80.33,0.623,78.11,0.01
CNN_v2_No_BN_Avg,31,0.5496,80.78,0.6889,76.66,0.01
CNN_v2_No_BN_Avg,32,0.5359,81.22,0.6042,79.03,0.01
CNN_v2_No_BN_Avg,33,0.5194,81.85,0.5944,79.05,0.01
CNN_v2_No_BN_Avg,34,0.506,82.11,0.5808,79.53,0.01
CNN_v2_No_BN_Avg,35,0.4957,82.51,0.6528,77.86,0.01
CNN_v2_No_BN_Avg,36,0.4885,82.99,0.5544,80.46,0.01
CNN_v2_No_BN_Avg,37,0.4686,83.6,0.6557,77.51,0.01
CNN_v2_No_BN_Avg,38,0.4618,83.65,0.5556,80.84,0.01
CNN_v2_No_BN_Avg,39,0.4461,84.4,0.581,79.8,0.01
CNN_v2_No_BN_Avg,40,0.4358,84.73,0.5784,80.1,0.01
CNN_v2_No_BN_Avg,41,0.4262,85.05,0.5726,79.49,0.01
CNN_v2_No_BN_Avg,42,0.4226,85.28,0.5356,81.46,0.01
CNN_v2_No_BN_Avg,43,0.4072,85.84,0.5272,81.78,0.01
CNN_v2_No_BN_Avg,44,0.4051,85.94,0.5193,82.05,0.01
CNN_v2_No_BN_Avg,45,0.3912,86.47,0.5447,81.3,0.01
CNN_v2_No_BN_Avg,46,0.3886,86.51,0.5155,82.12,0.01
CNN_v2_No_BN_Avg,47,0.3729,87.05,0.5116,82.19,0.01
CNN_v2_No_BN_Avg,48,0.3658,87.34,0.4851,82.84,0.01
CNN_v2_No_BN_Avg,49,0.356,87.62,0.5958,79.4,0.01
CNN_v2_No_BN_Avg,50,0.3527,87.7,0.518,82.01,0.01
CNN_v2_No_BN_Avg,51,0.3438,88.02,0.4954,82.59,0.01
CNN_v2_No_BN_Avg,52,0.334,88.38,0.5007,83.0,0.01
CNN_v2_No_BN_Avg,53,0.334,88.34,0.496,83.16,0.01
CNN_v2_No_BN_Avg,54,0.3239,88.69,0.5081,82.52,0.01
CNN_v2_No_BN_Avg,55,0.3183,88.83,0.5235,81.87,0.01
CNN_v2_No_BN_Avg,56,0.3055,89.44,0.5294,82.26,0.01
CNN_v2_No_BN_Avg,57,0.2996,89.47,0.5148,82.41,0.01
CNN_v2_No_BN_Avg,58,0.3018,89.44,0.4778,83.61,0.01
CNN_v2_No_BN_Avg,59,0.2907,89.99,0.4989,83.36,0.01
CNN_v2_No_BN_Avg,60,0.2916,89.73,0.4699,83.78,0.01
CNN_v2_No_BN_Avg,61,0.2769,90.41,0.4791,84.26,0.01
CNN_v2_No_BN_Avg,62,0.2791,90.22,0.5119,82.38,0.01
CNN_v2_No_BN_Avg,63,0.2681,90.67,0.5384,81.52,0.01
CNN_v2_No_BN_Avg,64,0.2674,90.73,0.4606,84.24,0.01
CNN_v2_No_BN_Avg,65,0.256,91.11,0.4928,83.53,0.01
CNN_v2_No_BN_Avg,66,0.2603,91.03,0.4852,83.84,0.01
CNN_v2_No_BN_Avg,67,0.2486,91.38,0.4697,84.03,0.01
CNN_v2_No_BN_Avg,68,0.2447,91.55,0.4825,84.03,0.01
CNN_v2_No_BN_Avg,69,0.2415,91.6,0.5225,83.05,0.01
CNN_v2_No_BN_Avg,70,0.2369,91.76,0.517,82.67,0.01
CNN_v2_No_BN_Avg,71,0.2283,92.18,0.5315,82.19,0.01
CNN_v2_No_BN_Avg,72,0.2271,92.16,0.4805,83.52,0.01
CNN_v2_No_BN_Avg,73,0.1652,94.54,0.4658,84.98,0.005
CNN_v2_No_BN_Avg,74,0.1583,94.71,0.4511,85.3,0.005
CNN_v2_No_BN_Avg,75,0.1564,94.75,0.4343,85.48,0.005
CNN_v2_No_BN_Avg,76,0.1513,94.98,0.4588,85.19,0.005
CNN_v2_No_BN_Avg,77,0.1499,95.03,0.4611,85.46,0.005
CNN_v2_No_BN_Avg,78,0.1447,95.18,0.5062,83.91,0.005
CNN_v2_No_BN_Avg,79,0.1436,95.22,0.4575,84.99,0.005
CNN_v2_No_BN_Avg,80,0.1371,95.53,0.4841,84.85,0.005
CNN_v2_No_BN_Avg,81,0.1392,95.5,0.4677,85.03,0.005
CNN_v2_No_BN_Avg,82,0.1395,95.37,0.4956,84.32,0.005
CNN_v2_No_BN_Avg,83,0.1342,95.65,0.4942,84.37,0.005
CNN_v2_No_BN_Avg,84,0.1303,95.77,0.4845,84.75,0.005
CNN_v2_No_BN_Avg,85,0.1287,95.72,0.4981,83.96,0.005
CNN_v2_No_BN_Avg,86,0.1292,95.85,0.486,84.89,0.005
CNN_v2_No_BN_Avg,87,0.0946,97.2,0.471,85.21,0.0025
CNN_v2_No_BN_Avg,88,0.0898,97.44,0.4631,85.69,0.0025
CNN_v2_No_BN_Avg,89,0.0889,97.42,0.4675,85.58,0.0025
CNN_v2_No_BN_Avg,90,0.0892,97.37,0.4768,85.45,0.0025
CNN_v2_No_BN_Avg,91,0.0854,97.53,0.4761,85.65,0.0025
CNN_v2_No_BN_Avg,92,0.0848,97.55,0.5049,84.61,0.0025
CNN_v2_No_BN_Avg,93,0.0851,97.51,0.4925,85.18,0.0025
CNN_v2_No_BN_Avg,94,0.0844,97.53,0.4809,85.68,0.0025
CNN_v2_No_BN_Avg,95,0.0825,97.59,0.4831,85.34,0.0025
CNN_v2_No_BN_Avg,96,0.0819,97.63,0.4833,85.27,0.0025
CNN_v2_No_BN_Avg,97,0.0787,97.75,0.4893,85.14,0.0025
