Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
CNN_v2_No_BN,1,1.8891,28.5,1.5686,42.24,0.01
CNN_v2_No_BN,2,1.4723,45.22,1.2816,53.8,0.01
CNN_v2_No_BN,3,1.231,55.35,1.106,61.18,0.01
CNN_v2_No_BN,4,1.0366,63.03,0.977,64.8,0.01
CNN_v2_No_BN,5,0.9053,68.21,0.8557,70.16,0.01
CNN_v2_No_BN,6,0.8031,71.75,0.82,71.89,0.01
CNN_v2_No_BN,7,0.7226,74.68,0.7718,72.93,0.01
CNN_v2_No_BN,8,0.6715,76.56,0.6637,77.11,0.01
CNN_v2_No_BN,9,0.6209,78.36,0.6289,78.18,0.01
CNN_v2_No_BN,10,0.583,79.79,0.606,79.3,0.01
CNN_v2_No_BN,11,0.5409,81.31,0.6013,78.84,0.01
CNN_v2_No_BN,12,0.5111,82.06,0.5656,81.0,0.01
CNN_v2_No_BN,13,0.4842,83.33,0.5825,80.12,0.01
CNN_v2_No_BN,14,0.4581,84.08,0.5465,81.52,0.01
CNN_v2_No_BN,15,0.4343,84.85,0.5222,81.91,0.01
CNN_v2_No_BN,16,0.4146,85.69,0.5027,82.91,0.01
CNN_v2_No_BN,17,0.3895,86.37,0.5244,82.2,0.01
CNN_v2_No_BN,18,0.3727,86.96,0.4801,83.66,0.01
CNN_v2_No_BN,19,0.3604,87.41,0.4958,83.53,0.01
CNN_v2_No_BN,20,0.3395,88.27,0.5112,82.98,0.01
CNN_v2_No_BN,21,0.3178,88.94,0.486,84.03,0.01
CNN_v2_No_BN,22,0.3059,89.38,0.4939,83.92,0.01
CNN_v2_No_BN,23,0.2947,89.71,0.4827,84.31,0.01
CNN_v2_No_BN,24,0.2832,90.2,0.4578,84.73,0.01
CNN_v2_No_BN,25,0.2707,90.56,0.4569,84.8,0.01
CNN_v2_No_BN,26,0.2537,91.23,0.4144,86.01,0.01
CNN_v2_No_BN,27,0.244,91.51,0.4514,85.26,0.01
CNN_v2_No_BN,28,0.2364,91.77,0.4767,84.46,0.01
CNN_v2_No_BN,29,0.2232,92.22,0.4578,84.99,0.01
CNN_v2_No_BN,30,0.2147,92.42,0.4243,86.04,0.01
CNN_v2_No_BN,31,0.207,92.92,0.4429,85.17,0.01
