Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
ResNet_v2_AvgPool,1,1.5943,42.16,1.4609,48.35,0.01
ResNet_v2_AvgPool,2,1.1592,58.43,1.0189,63.77,0.01
ResNet_v2_AvgPool,3,0.929,67.01,0.8648,69.68,0.01
ResNet_v2_AvgPool,4,0.7704,72.98,0.822,72.32,0.01
ResNet_v2_AvgPool,5,0.6823,76.15,0.6656,76.4,0.01
ResNet_v2_AvgPool,6,0.6003,79.09,0.6219,78.33,0.01
ResNet_v2_AvgPool,7,0.5447,81.11,0.5754,80.12,0.01
ResNet_v2_AvgPool,8,0.4919,83.0,0.5458,81.13,0.01
ResNet_v2_AvgPool,9,0.4587,84.23,0.5271,82.17,0.01
ResNet_v2_AvgPool,10,0.4253,85.35,0.5468,81.67,0.01
ResNet_v2_AvgPool,11,0.3975,86.35,0.4847,83.42,0.01
ResNet_v2_AvgPool,12,0.3834,86.65,0.5021,83.41,0.01
ResNet_v2_AvgPool,13,0.3625,87.44,0.4783,83.5,0.01
ResNet_v2_AvgPool,14,0.3368,88.32,0.4907,83.83,0.01
ResNet_v2_AvgPool,15,0.3221,88.8,0.4228,85.65,0.01
ResNet_v2_AvgPool,16,0.3062,89.5,0.4243,85.61,0.01
ResNet_v2_AvgPool,17,0.2972,89.67,0.403,86.28,0.01
ResNet_v2_AvgPool,18,0.2827,90.28,0.4108,86.46,0.01
ResNet_v2_AvgPool,19,0.2666,90.78,0.4237,85.85,0.01
ResNet_v2_AvgPool,20,0.2593,90.88,0.3809,86.85,0.01
ResNet_v2_AvgPool,21,0.2501,91.27,0.4213,86.49,0.01
ResNet_v2_AvgPool,22,0.241,91.6,0.4163,86.15,0.01
ResNet_v2_AvgPool,23,0.2346,91.72,0.3973,87.0,0.01
ResNet_v2_AvgPool,24,0.2232,92.12,0.4448,85.86,0.01
ResNet_v2_AvgPool,25,0.2185,92.45,0.4175,86.7,0.01
