Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
ResNet_v2_Baseline,1,1.4555,47.02,1.3607,52.5,0.01
ResNet_v2_Baseline,2,1.0163,64.01,0.876,68.75,0.01
ResNet_v2_Baseline,3,0.8193,71.02,0.7932,71.6,0.01
ResNet_v2_Baseline,4,0.7149,74.93,0.742,73.88,0.01
ResNet_v2_Baseline,5,0.6307,77.99,0.7452,74.44,0.01
ResNet_v2_Baseline,6,0.5785,79.92,0.7219,75.91,0.01
ResNet_v2_Baseline,7,0.5263,81.75,0.6495,78.42,0.01
ResNet_v2_Baseline,8,0.4913,82.86,0.5516,81.24,0.01
ResNet_v2_Baseline,9,0.4584,84.1,0.5954,79.8,0.01
ResNet_v2_Baseline,10,0.4337,85.0,0.5713,81.02,0.01
ResNet_v2_Baseline,11,0.4043,85.91,0.5249,82.33,0.01
ResNet_v2_Baseline,12,0.3817,86.69,0.5394,81.99,0.01
ResNet_v2_Baseline,13,0.3628,87.37,0.5083,83.16,0.01
ResNet_v2_Baseline,14,0.3469,88.04,0.4694,83.75,0.01
ResNet_v2_Baseline,15,0.3374,88.16,0.4529,84.36,0.01
ResNet_v2_Baseline,16,0.3164,88.97,0.4604,84.26,0.01
ResNet_v2_Baseline,17,0.3038,89.56,0.4673,84.72,0.01
ResNet_v2_Baseline,18,0.2924,89.71,0.4528,84.93,0.01
ResNet_v2_Baseline,19,0.2782,90.26,0.4269,85.58,0.01
ResNet_v2_Baseline,20,0.2657,90.69,0.448,84.96,0.01
ResNet_v2_Baseline,21,0.2629,90.82,0.4854,84.02,0.01
ResNet_v2_Baseline,22,0.2488,91.32,0.4438,85.46,0.01
ResNet_v2_Baseline,23,0.238,91.76,0.4445,85.86,0.01
ResNet_v2_Baseline,24,0.2328,91.87,0.4298,85.66,0.01
ResNet_v2_Baseline,25,0.2244,92.24,0.3966,86.83,0.01
ResNet_v2_Baseline,26,0.218,92.37,0.4131,86.41,0.01
ResNet_v2_Baseline,27,0.2172,92.37,0.3817,87.55,0.01
ResNet_v2_Baseline,28,0.204,92.8,0.3942,87.15,0.01
ResNet_v2_Baseline,29,0.2018,92.87,0.4599,85.56,0.01
ResNet_v2_Baseline,30,0.1966,93.13,0.443,85.97,0.01
ResNet_v2_Baseline,31,0.1851,93.59,0.4121,86.95,0.01
ResNet_v2_Baseline,32,0.1831,93.52,0.4036,87.09,0.01
ResNet_v2_Baseline,33,0.1812,93.56,0.4124,87.22,0.01
ResNet_v2_Baseline,34,0.1784,93.72,0.3966,87.43,0.01
ResNet_v2_Baseline,35,0.1763,93.83,0.3799,87.91,0.01
ResNet_v2_Baseline,36,0.1639,94.19,0.4115,87.27,0.01
ResNet_v2_Baseline,37,0.1609,94.32,0.4433,86.71,0.01
ResNet_v2_Baseline,38,0.1618,94.19,0.3942,87.86,0.01
ResNet_v2_Baseline,39,0.1546,94.41,0.489,85.41,0.01
ResNet_v2_Baseline,40,0.1528,94.63,0.3933,87.63,0.01
ResNet_v2_Baseline,41,0.1499,94.66,0.4128,87.51,0.01
ResNet_v2_Baseline,42,0.1469,94.82,0.3946,88.1,0.01
ResNet_v2_Baseline,43,0.1446,94.82,0.3717,88.59,0.01
ResNet_v2_Baseline,44,0.1418,95.1,0.3888,87.98,0.01
ResNet_v2_Baseline,45,0.1386,95.16,0.3763,88.64,0.01
ResNet_v2_Baseline,46,0.1309,95.35,0.3935,87.86,0.01
ResNet_v2_Baseline,47,0.1334,95.28,0.3841,88.34,0.01
ResNet_v2_Baseline,48,0.1358,95.15,0.3941,88.17,0.01
ResNet_v2_Baseline,49,0.1314,95.36,0.3973,87.53,0.01
ResNet_v2_Baseline,50,0.1278,95.57,0.3798,88.18,0.01
