Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
ResNet_v2_Dropout,1,1.8162,34.96,1.8881,42.99,0.01
ResNet_v2_Dropout,2,1.4121,49.67,1.193,57.27,0.01
ResNet_v2_Dropout,3,1.149,59.42,1.0551,61.91,0.01
ResNet_v2_Dropout,4,0.9928,65.24,0.9115,67.66,0.01
ResNet_v2_Dropout,5,0.8842,69.21,0.8005,72.22,0.01
ResNet_v2_Dropout,6,0.8204,71.52,0.7363,74.42,0.01
ResNet_v2_Dropout,7,0.76,73.77,0.7775,72.83,0.01
ResNet_v2_Dropout,8,0.7161,75.32,0.6571,77.42,0.01
ResNet_v2_Dropout,9,0.6791,76.63,0.675,76.63,0.01
ResNet_v2_Dropout,10,0.6469,77.61,0.6025,79.32,0.01
ResNet_v2_Dropout,11,0.6179,78.83,0.5804,79.99,0.01
ResNet_v2_Dropout,12,0.5872,79.69,0.5554,80.89,0.01
ResNet_v2_Dropout,13,0.564,80.63,0.5165,82.32,0.01
ResNet_v2_Dropout,14,0.5458,81.24,0.5394,81.4,0.01
ResNet_v2_Dropout,15,0.5274,81.9,0.4998,82.49,0.01
ResNet_v2_Dropout,16,0.5061,82.64,0.4854,83.54,0.01
ResNet_v2_Dropout,17,0.493,82.98,0.4778,83.73,0.01
ResNet_v2_Dropout,18,0.4819,83.45,0.4782,83.67,0.01
ResNet_v2_Dropout,19,0.4674,83.84,0.4506,84.68,0.01
ResNet_v2_Dropout,20,0.4538,84.4,0.4604,84.51,0.01
ResNet_v2_Dropout,21,0.4413,85.02,0.4344,84.87,0.01
ResNet_v2_Dropout,22,0.4276,85.3,0.4298,85.3,0.01
ResNet_v2_Dropout,23,0.4207,85.62,0.4315,85.17,0.01
ResNet_v2_Dropout,24,0.4123,85.91,0.4397,85.61,0.01
ResNet_v2_Dropout,25,0.4051,86.27,0.4083,85.92,0.01
ResNet_v2_Dropout,26,0.3959,86.5,0.4219,85.44,0.01
ResNet_v2_Dropout,27,0.3793,87.11,0.4121,85.89,0.01
ResNet_v2_Dropout,28,0.3799,86.97,0.404,86.33,0.01
ResNet_v2_Dropout,29,0.3728,87.32,0.3918,86.46,0.01
ResNet_v2_Dropout,30,0.3647,87.36,0.416,86.46,0.01
ResNet_v2_Dropout,31,0.3605,87.71,0.3895,86.96,0.01
ResNet_v2_Dropout,32,0.3548,87.68,0.3809,87.06,0.01
ResNet_v2_Dropout,33,0.344,88.18,0.3878,86.97,0.01
ResNet_v2_Dropout,34,0.3401,88.32,0.3877,87.17,0.01
ResNet_v2_Dropout,35,0.3319,88.62,0.3894,86.91,0.01
ResNet_v2_Dropout,36,0.3271,88.95,0.3832,87.08,0.01
ResNet_v2_Dropout,37,0.3244,88.96,0.3788,87.27,0.01
ResNet_v2_Dropout,38,0.3203,88.99,0.3631,87.7,0.01
ResNet_v2_Dropout,39,0.3181,89.17,0.3711,87.5,0.01
ResNet_v2_Dropout,40,0.3067,89.39,0.3652,87.96,0.01
ResNet_v2_Dropout,41,0.3092,89.49,0.3657,87.63,0.01
ResNet_v2_Dropout,42,0.3058,89.46,0.3746,87.51,0.01
ResNet_v2_Dropout,43,0.2993,89.8,0.3764,87.67,0.01
ResNet_v2_Dropout,44,0.2993,89.65,0.3649,87.77,0.01
ResNet_v2_Dropout,45,0.2904,90.03,0.3679,87.79,0.01
ResNet_v2_Dropout,46,0.2948,89.9,0.3556,88.24,0.01
ResNet_v2_Dropout,47,0.2888,90.16,0.3528,88.46,0.01
ResNet_v2_Dropout,48,0.286,90.31,0.3503,88.33,0.01
ResNet_v2_Dropout,49,0.2822,90.38,0.3489,88.21,0.01
ResNet_v2_Dropout,50,0.2789,90.66,0.3696,87.84,0.01
ResNet_v2_Dropout,51,0.284,90.36,0.3664,87.96,0.01
ResNet_v2_Dropout,52,0.275,90.6,0.3554,88.22,0.01
ResNet_v2_Dropout,53,0.2681,90.92,0.3749,87.54,0.01
ResNet_v2_Dropout,54,0.2658,90.93,0.3521,88.09,0.01
ResNet_v2_Dropout,55,0.268,90.81,0.3527,88.14,0.01
ResNet_v2_Dropout,56,0.2659,91.0,0.332,88.79,0.01
ResNet_v2_Dropout,57,0.2616,91.0,0.3725,87.42,0.01
ResNet_v2_Dropout,58,0.2577,91.14,0.3488,88.72,0.01
ResNet_v2_Dropout,59,0.2564,91.17,0.3616,87.85,0.01
ResNet_v2_Dropout,60,0.2551,91.24,0.3621,87.94,0.01
ResNet_v2_Dropout,61,0.2541,91.31,0.3407,88.81,0.01
ResNet_v2_Dropout,62,0.2567,91.18,0.361,88.14,0.01
ResNet_v2_Dropout,63,0.2489,91.56,0.3686,87.92,0.01
ResNet_v2_Dropout,64,0.25,91.43,0.3472,88.82,0.01
ResNet_v2_Dropout,65,0.2511,91.36,0.3307,88.75,0.01
ResNet_v2_Dropout,66,0.2504,91.55,0.3356,88.8,0.01
ResNet_v2_Dropout,67,0.2493,91.41,0.3528,88.6,0.01
ResNet_v2_Dropout,68,0.2466,91.55,0.3217,89.2,0.01
ResNet_v2_Dropout,69,0.2443,91.69,0.3483,88.55,0.01
ResNet_v2_Dropout,70,0.2402,91.67,0.3448,88.52,0.01
ResNet_v2_Dropout,71,0.2375,92.0,0.3459,88.28,0.01
ResNet_v2_Dropout,72,0.2415,91.72,0.3346,89.36,0.01
ResNet_v2_Dropout,73,0.2393,91.61,0.3457,88.91,0.01
ResNet_v2_Dropout,74,0.2366,91.85,0.3198,89.53,0.01
ResNet_v2_Dropout,75,0.2373,91.83,0.3471,88.63,0.01
ResNet_v2_Dropout,76,0.233,92.14,0.3383,89.11,0.01
ResNet_v2_Dropout,77,0.2359,91.86,0.3447,88.99,0.01
ResNet_v2_Dropout,78,0.2343,92.07,0.3358,89.43,0.01
ResNet_v2_Dropout,79,0.2304,92.07,0.359,88.36,0.01
ResNet_v2_Dropout,80,0.2336,92.04,0.3383,89.19,0.01
ResNet_v2_Dropout,81,0.2252,92.25,0.351,88.76,0.01
ResNet_v2_Dropout,82,0.227,92.17,0.3467,88.56,0.01
ResNet_v2_Dropout,83,0.2307,92.03,0.3357,89.08,0.01
ResNet_v2_Dropout,84,0.2242,92.28,0.3397,88.65,0.01
ResNet_v2_Dropout,85,0.2264,92.3,0.3343,89.36,0.01
ResNet_v2_Dropout,86,0.1803,93.81,0.304,90.44,0.005
ResNet_v2_Dropout,87,0.1684,94.18,0.2939,90.65,0.005
ResNet_v2_Dropout,88,0.1606,94.51,0.2939,90.68,0.005
ResNet_v2_Dropout,89,0.1548,94.71,0.2965,90.77,0.005
ResNet_v2_Dropout,90,0.1527,94.67,0.3094,90.28,0.005
ResNet_v2_Dropout,91,0.1532,94.79,0.3034,90.41,0.005
ResNet_v2_Dropout,92,0.1455,95.01,0.3085,90.36,0.005
ResNet_v2_Dropout,93,0.1417,95.16,0.3099,90.57,0.005
ResNet_v2_Dropout,94,0.1477,94.99,0.3101,90.35,0.005
ResNet_v2_Dropout,95,0.1443,94.98,0.3106,90.27,0.005
ResNet_v2_Dropout,96,0.1403,95.28,0.3192,90.3,0.005
ResNet_v2_Dropout,97,0.1415,95.09,0.3159,90.7,0.005
ResNet_v2_Dropout,98,0.1499,94.73,0.3133,90.13,0.005
ResNet_v2_Dropout,99,0.1423,95.13,0.3194,90.17,0.005
ResNet_v2_Dropout,100,0.1399,95.2,0.3153,90.38,0.005
ResNet_v2_Dropout,101,0.1198,95.86,0.302,90.73,0.0025
ResNet_v2_Dropout,102,0.107,96.39,0.2986,91.26,0.0025
ResNet_v2_Dropout,103,0.1037,96.4,0.2919,91.28,0.0025
ResNet_v2_Dropout,104,0.1059,96.39,0.3007,91.19,0.0025
ResNet_v2_Dropout,105,0.0976,96.73,0.2935,91.48,0.0025
ResNet_v2_Dropout,106,0.0979,96.59,0.3073,91.2,0.0025
ResNet_v2_Dropout,107,0.0989,96.61,0.3,91.19,0.0025
ResNet_v2_Dropout,108,0.0961,96.65,0.2968,91.41,0.0025
ResNet_v2_Dropout,109,0.0912,96.9,0.3002,91.4,0.0025
ResNet_v2_Dropout,110,0.0919,96.92,0.3078,91.14,0.0025
ResNet_v2_Dropout,111,0.0934,96.85,0.3131,91.08,0.0025
ResNet_v2_Dropout,112,0.0929,96.86,0.3028,91.21,0.0025
ResNet_v2_Dropout,113,0.0877,96.99,0.3104,91.11,0.0025
ResNet_v2_Dropout,114,0.0922,96.85,0.3065,91.35,0.0025
ResNet_v2_Dropout,115,0.0874,97.03,0.3234,90.84,0.0025
ResNet_v2_Dropout,116,0.0877,97.06,0.3038,91.45,0.0025
ResNet_v2_Dropout,117,0.0802,97.26,0.2934,91.71,0.00125
ResNet_v2_Dropout,118,0.0713,97.6,0.3094,91.42,0.00125
ResNet_v2_Dropout,119,0.0717,97.59,0.3051,91.73,0.00125
ResNet_v2_Dropout,120,0.0669,97.71,0.3057,91.63,0.00125
