Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
ResNet_v2_ELU,1,1.4364,47.71,1.1858,57.77,0.01
ResNet_v2_ELU,2,1.0007,64.15,0.9101,68.1,0.01
ResNet_v2_ELU,3,0.8215,71.15,0.8299,70.68,0.01
ResNet_v2_ELU,4,0.7266,74.35,0.7198,74.59,0.01
ResNet_v2_ELU,5,0.6572,76.89,0.6647,77.1,0.01
ResNet_v2_ELU,6,0.6055,78.59,0.6704,76.66,0.01
ResNet_v2_ELU,7,0.5603,80.25,0.6458,77.47,0.01
ResNet_v2_ELU,8,0.5232,81.83,0.5712,80.1,0.01
ResNet_v2_ELU,9,0.4951,82.55,0.5704,79.72,0.01
ResNet_v2_ELU,10,0.4701,83.34,0.5671,80.44,0.01
ResNet_v2_ELU,11,0.4494,84.17,0.5009,83.11,0.01
ResNet_v2_ELU,12,0.4219,85.25,0.5383,81.98,0.01
ResNet_v2_ELU,13,0.4089,85.69,0.4913,83.13,0.01
ResNet_v2_ELU,14,0.3911,86.4,0.5254,82.36,0.01
ResNet_v2_ELU,15,0.3799,86.61,0.4934,83.33,0.01
ResNet_v2_ELU,16,0.3687,86.91,0.4968,83.32,0.01
ResNet_v2_ELU,17,0.3541,87.58,0.4721,84.27,0.01
ResNet_v2_ELU,18,0.3415,88.0,0.4625,84.31,0.01
ResNet_v2_ELU,19,0.335,88.2,0.4317,85.41,0.01
ResNet_v2_ELU,20,0.3233,88.67,0.47,84.24,0.01
ResNet_v2_ELU,21,0.3185,88.81,0.4618,84.25,0.01
ResNet_v2_ELU,22,0.3111,89.08,0.4354,85.41,0.01
ResNet_v2_ELU,23,0.299,89.58,0.4491,84.97,0.01
ResNet_v2_ELU,24,0.2916,89.62,0.4466,85.34,0.01
ResNet_v2_ELU,25,0.2899,89.77,0.4402,85.61,0.01
ResNet_v2_ELU,26,0.2832,89.99,0.4357,85.63,0.01
ResNet_v2_ELU,27,0.2777,90.16,0.4634,84.76,0.01
ResNet_v2_ELU,28,0.2693,90.42,0.4581,84.9,0.01
ResNet_v2_ELU,29,0.2664,90.45,0.4438,85.32,0.01
ResNet_v2_ELU,30,0.2661,90.7,0.4478,85.09,0.01
ResNet_v2_ELU,31,0.2551,91.11,0.4368,85.68,0.01
ResNet_v2_ELU,32,0.2504,91.18,0.4457,85.63,0.01
ResNet_v2_ELU,33,0.244,91.42,0.4486,85.21,0.01
ResNet_v2_ELU,34,0.2395,91.48,0.4296,85.9,0.01
ResNet_v2_ELU,35,0.2419,91.38,0.4221,86.3,0.01
ResNet_v2_ELU,36,0.239,91.57,0.478,84.69,0.01
ResNet_v2_ELU,37,0.2326,91.8,0.443,86.41,0.01
ResNet_v2_ELU,38,0.2333,91.69,0.4514,85.54,0.01
ResNet_v2_ELU,39,0.2286,91.85,0.4205,85.86,0.01
ResNet_v2_ELU,40,0.2253,92.07,0.4625,85.18,0.01
ResNet_v2_ELU,41,0.2206,92.3,0.4346,85.7,0.01
