Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
ResNet_v2_LeakyReLU,1,1.5022,45.74,1.3878,52.64,0.01
ResNet_v2_LeakyReLU,2,1.0553,62.46,0.9258,67.57,0.01
ResNet_v2_LeakyReLU,3,0.8511,70.36,0.8026,71.97,0.01
ResNet_v2_LeakyReLU,4,0.7298,74.4,0.7434,74.08,0.01
ResNet_v2_LeakyReLU,5,0.6516,77.57,0.6892,76.01,0.01
ResNet_v2_LeakyReLU,6,0.5844,79.67,0.7073,76.28,0.01
ResNet_v2_LeakyReLU,7,0.5399,81.2,0.596,79.73,0.01
ResNet_v2_LeakyReLU,8,0.4915,83.13,0.6233,78.96,0.01
ResNet_v2_LeakyReLU,9,0.4659,83.88,0.5592,81.48,0.01
ResNet_v2_LeakyReLU,10,0.4322,85.1,0.5497,81.6,0.01
ResNet_v2_LeakyReLU,11,0.4081,85.88,0.5182,82.39,0.01
ResNet_v2_LeakyReLU,12,0.3905,86.46,0.5315,82.0,0.01
ResNet_v2_LeakyReLU,13,0.364,87.26,0.4902,83.76,0.01
ResNet_v2_LeakyReLU,14,0.349,87.86,0.4907,83.24,0.01
ResNet_v2_LeakyReLU,15,0.3336,88.39,0.5103,83.27,0.01
ResNet_v2_LeakyReLU,16,0.3211,88.76,0.4461,84.96,0.01
ResNet_v2_LeakyReLU,17,0.3038,89.31,0.4377,85.61,0.01
ResNet_v2_LeakyReLU,18,0.2924,89.77,0.4342,85.22,0.01
ResNet_v2_LeakyReLU,19,0.2815,90.17,0.4652,84.73,0.01
ResNet_v2_LeakyReLU,20,0.2681,90.67,0.4239,85.91,0.01
ResNet_v2_LeakyReLU,21,0.2578,90.95,0.4044,85.93,0.01
ResNet_v2_LeakyReLU,22,0.2453,91.47,0.4272,86.07,0.01
ResNet_v2_LeakyReLU,23,0.2387,91.66,0.4131,86.66,0.01
ResNet_v2_LeakyReLU,24,0.232,91.86,0.387,87.62,0.01
ResNet_v2_LeakyReLU,25,0.2271,91.96,0.4246,85.99,0.01
ResNet_v2_LeakyReLU,26,0.2169,92.35,0.3991,87.17,0.01
ResNet_v2_LeakyReLU,27,0.2067,92.76,0.4025,87.11,0.01
ResNet_v2_LeakyReLU,28,0.2036,92.87,0.4417,86.29,0.01
ResNet_v2_LeakyReLU,29,0.2014,92.87,0.3905,87.32,0.01
ResNet_v2_LeakyReLU,30,0.1938,93.18,0.3988,87.23,0.01
ResNet_v2_LeakyReLU,31,0.1889,93.28,0.4446,86.16,0.01
ResNet_v2_LeakyReLU,32,0.1823,93.56,0.4063,86.95,0.01
ResNet_v2_LeakyReLU,33,0.1792,93.57,0.3985,87.76,0.01
ResNet_v2_LeakyReLU,34,0.1754,93.85,0.3703,88.09,0.01
ResNet_v2_LeakyReLU,35,0.1679,94.08,0.3868,87.85,0.01
ResNet_v2_LeakyReLU,36,0.1622,94.24,0.4091,87.32,0.01
ResNet_v2_LeakyReLU,37,0.1619,94.36,0.4573,86.23,0.01
ResNet_v2_LeakyReLU,38,0.1585,94.31,0.4177,87.03,0.01
ResNet_v2_LeakyReLU,39,0.1565,94.42,0.3881,87.93,0.01
ResNet_v2_LeakyReLU,40,0.1499,94.76,0.3949,87.95,0.01
ResNet_v2_LeakyReLU,41,0.1483,94.78,0.4235,87.3,0.01
ResNet_v2_LeakyReLU,42,0.1429,95.0,0.4135,87.7,0.01
ResNet_v2_LeakyReLU,43,0.1414,95.04,0.4234,87.68,0.01
ResNet_v2_LeakyReLU,44,0.145,94.96,0.403,87.96,0.01
ResNet_v2_LeakyReLU,45,0.1402,95.0,0.3979,87.49,0.01
