Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
ResNet_v2_No_BN_AvgPool,1,2.0829,21.35,1.8826,30.05,0.01
ResNet_v2_No_BN_AvgPool,2,1.7219,34.94,1.5998,40.75,0.01
ResNet_v2_No_BN_AvgPool,3,1.5384,42.72,1.4525,45.58,0.01
ResNet_v2_No_BN_AvgPool,4,1.4144,47.72,1.3215,51.57,0.01
ResNet_v2_No_BN_AvgPool,5,1.2898,52.82,1.2523,53.32,0.01
ResNet_v2_No_BN_AvgPool,6,1.1785,57.13,1.1383,59.39,0.01
ResNet_v2_No_BN_AvgPool,7,1.0772,61.03,1.0311,62.68,0.01
ResNet_v2_No_BN_AvgPool,8,0.9985,64.11,0.9618,65.88,0.01
ResNet_v2_No_BN_AvgPool,9,0.9469,66.28,0.9355,66.4,0.01
ResNet_v2_No_BN_AvgPool,10,0.895,68.01,0.8831,68.85,0.01
ResNet_v2_No_BN_AvgPool,11,0.844,69.73,0.8743,68.64,0.01
ResNet_v2_No_BN_AvgPool,12,0.7949,71.64,0.7994,71.29,0.01
ResNet_v2_No_BN_AvgPool,13,0.7507,73.33,0.8163,71.29,0.01
ResNet_v2_No_BN_AvgPool,14,0.7207,74.71,0.7442,74.05,0.01
ResNet_v2_No_BN_AvgPool,15,0.6868,75.68,0.692,75.58,0.01
ResNet_v2_No_BN_AvgPool,16,0.6449,77.28,0.6604,76.65,0.01
ResNet_v2_No_BN_AvgPool,17,0.6085,78.6,0.6503,77.68,0.01
ResNet_v2_No_BN_AvgPool,18,0.5813,79.59,0.6128,78.69,0.01
ResNet_v2_No_BN_AvgPool,19,0.5544,80.58,0.5863,79.74,0.01
ResNet_v2_No_BN_AvgPool,20,0.537,81.19,0.5683,80.65,0.01
ResNet_v2_No_BN_AvgPool,21,0.5083,82.4,0.5685,80.39,0.01
ResNet_v2_No_BN_AvgPool,22,0.4923,82.8,0.5599,80.4,0.01
ResNet_v2_No_BN_AvgPool,23,0.4707,83.57,0.5677,80.59,0.01
ResNet_v2_No_BN_AvgPool,24,0.459,83.97,0.518,82.0,0.01
ResNet_v2_No_BN_AvgPool,25,0.4422,84.63,0.5453,81.05,0.01
ResNet_v2_No_BN_AvgPool,26,0.4263,85.06,0.5424,81.73,0.01
ResNet_v2_No_BN_AvgPool,27,0.4166,85.55,0.476,84.11,0.01
ResNet_v2_No_BN_AvgPool,28,0.3999,86.0,0.4873,82.84,0.01
ResNet_v2_No_BN_AvgPool,29,0.3905,86.39,0.488,83.4,0.01
ResNet_v2_No_BN_AvgPool,30,0.3833,86.64,0.4489,84.66,0.01
ResNet_v2_No_BN_AvgPool,31,0.361,87.38,0.4769,83.9,0.01
ResNet_v2_No_BN_AvgPool,32,0.3578,87.47,0.5101,83.05,0.01
ResNet_v2_No_BN_AvgPool,33,0.3472,87.8,0.4519,84.62,0.01
ResNet_v2_No_BN_AvgPool,34,0.3361,88.25,0.4856,83.56,0.01
ResNet_v2_No_BN_AvgPool,35,0.3304,88.44,0.4414,85.16,0.01
ResNet_v2_No_BN_AvgPool,36,0.323,88.65,0.4301,85.27,0.01
ResNet_v2_No_BN_AvgPool,37,0.3153,88.97,0.436,85.54,0.01
ResNet_v2_No_BN_AvgPool,38,0.3137,88.94,0.4325,85.81,0.01
ResNet_v2_No_BN_AvgPool,39,0.302,89.48,0.4436,85.16,0.01
ResNet_v2_No_BN_AvgPool,40,0.284,90.03,0.4141,86.37,0.01
ResNet_v2_No_BN_AvgPool,41,0.2851,90.07,0.4136,86.11,0.01
ResNet_v2_No_BN_AvgPool,42,0.2714,90.58,0.4438,85.53,0.01
ResNet_v2_No_BN_AvgPool,43,0.279,90.28,0.438,85.55,0.01
