Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
ResNet_v2_No_BN,1,1.8934,29.25,1.5572,42.57,0.01
ResNet_v2_No_BN,2,1.4618,46.16,1.3232,52.09,0.01
ResNet_v2_No_BN,3,1.2302,55.21,1.1335,59.19,0.01
ResNet_v2_No_BN,4,1.0512,62.05,1.0679,61.83,0.01
ResNet_v2_No_BN,5,0.9363,66.54,0.8874,68.26,0.01
ResNet_v2_No_BN,6,0.8434,70.15,0.8184,71.17,0.01
ResNet_v2_No_BN,7,0.7629,72.63,0.724,74.57,0.01
ResNet_v2_No_BN,8,0.702,75.14,0.6825,75.89,0.01
ResNet_v2_No_BN,9,0.651,76.91,0.6759,75.83,0.01
ResNet_v2_No_BN,10,0.6135,78.43,0.6627,77.46,0.01
ResNet_v2_No_BN,11,0.5798,79.7,0.628,78.42,0.01
ResNet_v2_No_BN,12,0.5392,81.14,0.5878,79.78,0.01
ResNet_v2_No_BN,13,0.5205,81.74,0.5607,80.29,0.01
ResNet_v2_No_BN,14,0.4893,82.93,0.5593,80.59,0.01
ResNet_v2_No_BN,15,0.4695,83.54,0.5758,80.45,0.01
ResNet_v2_No_BN,16,0.4461,84.44,0.5294,82.06,0.01
ResNet_v2_No_BN,17,0.43,84.99,0.5257,82.11,0.01
ResNet_v2_No_BN,18,0.4186,85.32,0.5011,82.77,0.01
ResNet_v2_No_BN,19,0.3924,86.19,0.5209,82.93,0.01
ResNet_v2_No_BN,20,0.3788,86.84,0.4645,83.89,0.01
ResNet_v2_No_BN,21,0.3669,87.1,0.4695,84.04,0.01
ResNet_v2_No_BN,22,0.3507,87.77,0.4751,83.82,0.01
ResNet_v2_No_BN,23,0.3418,88.09,0.4636,84.3,0.01
ResNet_v2_No_BN,24,0.3308,88.52,0.4375,84.78,0.01
ResNet_v2_No_BN,25,0.3203,88.88,0.482,84.3,0.01
ResNet_v2_No_BN,26,0.3128,89.03,0.4181,85.9,0.01
