Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
ResNet_v2_No_Pool,1,1.4514,46.81,1.1751,58.19,0.01
ResNet_v2_No_Pool,2,0.9245,67.08,0.8989,69.99,0.01
ResNet_v2_No_Pool,3,0.6945,75.68,0.6904,75.47,0.01
ResNet_v2_No_Pool,4,0.5785,80.06,0.6103,79.78,0.01
ResNet_v2_No_Pool,5,0.4978,82.7,0.5534,81.08,0.01
ResNet_v2_No_Pool,6,0.4391,84.83,0.5333,81.98,0.01
ResNet_v2_No_Pool,7,0.3981,86.23,0.4453,84.59,0.01
ResNet_v2_No_Pool,8,0.3609,87.64,0.4364,85.24,0.01
ResNet_v2_No_Pool,9,0.3315,88.61,0.4329,85.26,0.01
ResNet_v2_No_Pool,10,0.3036,89.45,0.4452,85.3,0.01
ResNet_v2_No_Pool,11,0.2861,90.01,0.4496,85.23,0.01
ResNet_v2_No_Pool,12,0.2619,90.95,0.3908,87.07,0.01
ResNet_v2_No_Pool,13,0.2463,91.41,0.4226,86.01,0.01
ResNet_v2_No_Pool,14,0.2245,92.29,0.3769,87.31,0.01
ResNet_v2_No_Pool,15,0.2122,92.62,0.3673,87.88,0.01
ResNet_v2_No_Pool,16,0.2013,92.96,0.4027,86.98,0.01
ResNet_v2_No_Pool,17,0.1926,93.27,0.376,87.89,0.01
ResNet_v2_No_Pool,18,0.1823,93.6,0.409,87.01,0.01
ResNet_v2_No_Pool,19,0.172,93.96,0.3452,88.64,0.01
ResNet_v2_No_Pool,20,0.1598,94.41,0.3829,87.96,0.01
ResNet_v2_No_Pool,21,0.15,94.72,0.3848,88.13,0.01
ResNet_v2_No_Pool,22,0.1481,94.81,0.3729,88.42,0.01
ResNet_v2_No_Pool,23,0.1404,95.05,0.3787,88.33,0.01
ResNet_v2_No_Pool,24,0.1329,95.35,0.3687,88.95,0.01
ResNet_v2_No_Pool,25,0.1246,95.7,0.3719,88.35,0.01
ResNet_v2_No_Pool,26,0.1227,95.72,0.3351,89.55,0.01
ResNet_v2_No_Pool,27,0.1162,96.01,0.3248,89.78,0.01
ResNet_v2_No_Pool,28,0.1115,96.1,0.3272,89.91,0.01
ResNet_v2_No_Pool,29,0.1123,96.05,0.341,89.44,0.01
ResNet_v2_No_Pool,30,0.1057,96.27,0.3301,89.85,0.01
ResNet_v2_No_Pool,31,0.0986,96.54,0.3847,88.31,0.01
ResNet_v2_No_Pool,32,0.0976,96.57,0.328,89.77,0.01
ResNet_v2_No_Pool,33,0.095,96.66,0.3492,89.81,0.01
ResNet_v2_No_Pool,34,0.0921,96.84,0.3196,90.19,0.01
ResNet_v2_No_Pool,35,0.081,97.23,0.3615,89.5,0.01
ResNet_v2_No_Pool,36,0.0859,97.02,0.3516,89.7,0.01
ResNet_v2_No_Pool,37,0.0856,97.01,0.3308,90.19,0.01
ResNet_v2_No_Pool,38,0.0792,97.29,0.3584,89.27,0.01
ResNet_v2_No_Pool,39,0.0807,97.21,0.3156,90.54,0.01
ResNet_v2_No_Pool,40,0.0766,97.43,0.3358,90.16,0.01
ResNet_v2_No_Pool,41,0.0727,97.51,0.3459,89.78,0.01
ResNet_v2_No_Pool,42,0.0774,97.3,0.3347,90.05,0.01
ResNet_v2_No_Pool,43,0.0676,97.66,0.3217,90.47,0.01
ResNet_v2_No_Pool,44,0.07,97.61,0.3428,90.16,0.01
ResNet_v2_No_Pool,45,0.0704,97.58,0.3322,90.24,0.01
ResNet_v2_No_Pool,46,0.068,97.7,0.3677,89.42,0.01
ResNet_v2_No_Pool,47,0.0635,97.82,0.3645,90.12,0.01
ResNet_v2_No_Pool,48,0.0669,97.62,0.3586,90.06,0.01
ResNet_v2_No_Pool,49,0.0663,97.66,0.3374,89.84,0.01
ResNet_v2_No_Pool,50,0.0611,97.94,0.3558,89.89,0.01
ResNet_v2_No_Pool,51,0.0289,99.1,0.2693,92.35,0.005
ResNet_v2_No_Pool,52,0.0198,99.44,0.254,92.92,0.005
ResNet_v2_No_Pool,53,0.0144,99.6,0.2542,92.71,0.005
ResNet_v2_No_Pool,54,0.0138,99.64,0.2623,92.4,0.005
ResNet_v2_No_Pool,55,0.0113,99.72,0.2558,92.68,0.005
ResNet_v2_No_Pool,56,0.0108,99.72,0.262,93.03,0.005
ResNet_v2_No_Pool,57,0.0106,99.71,0.2744,92.76,0.005
ResNet_v2_No_Pool,58,0.0091,99.77,0.2691,92.79,0.005
ResNet_v2_No_Pool,59,0.0092,99.79,0.2613,92.92,0.005
ResNet_v2_No_Pool,60,0.0083,99.82,0.2626,93.03,0.005
ResNet_v2_No_Pool,61,0.0075,99.83,0.2598,93.02,0.005
ResNet_v2_No_Pool,62,0.009,99.76,0.2861,92.44,0.005
ResNet_v2_No_Pool,63,0.0088,99.78,0.2751,92.69,0.005
ResNet_v2_No_Pool,64,0.0076,99.83,0.2938,92.58,0.005
ResNet_v2_No_Pool,65,0.0088,99.77,0.277,92.92,0.005
ResNet_v2_No_Pool,66,0.0076,99.84,0.286,92.42,0.005
ResNet_v2_No_Pool,67,0.0089,99.79,0.2717,92.83,0.005
ResNet_v2_No_Pool,68,0.0057,99.87,0.2604,93.3,0.0025
