Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
ResNet_v2_No_Res,1,1.6561,37.73,1.5117,44.75,0.01
ResNet_v2_No_Res,2,1.2061,56.26,1.1962,57.22,0.01
ResNet_v2_No_Res,3,0.9409,66.19,1.084,63.46,0.01
ResNet_v2_No_Res,4,0.8037,71.82,0.8057,71.6,0.01
ResNet_v2_No_Res,5,0.7029,75.47,0.7417,73.94,0.01
ResNet_v2_No_Res,6,0.6319,78.12,0.697,75.41,0.01
ResNet_v2_No_Res,7,0.5837,79.9,0.6194,78.83,0.01
ResNet_v2_No_Res,8,0.5434,81.25,0.6135,79.1,0.01
ResNet_v2_No_Res,9,0.5068,82.75,0.5636,80.53,0.01
ResNet_v2_No_Res,10,0.4676,83.95,0.522,82.18,0.01
ResNet_v2_No_Res,11,0.4425,84.75,0.4987,83.6,0.01
ResNet_v2_No_Res,12,0.4187,85.65,0.5067,82.61,0.01
ResNet_v2_No_Res,13,0.3999,86.42,0.4898,83.38,0.01
ResNet_v2_No_Res,14,0.38,86.9,0.4664,84.27,0.01
ResNet_v2_No_Res,15,0.3621,87.66,0.5142,82.11,0.01
ResNet_v2_No_Res,16,0.3476,88.19,0.47,83.86,0.01
ResNet_v2_No_Res,17,0.3313,88.76,0.4603,84.49,0.01
ResNet_v2_No_Res,18,0.3219,89.07,0.484,84.0,0.01
ResNet_v2_No_Res,19,0.305,89.61,0.4292,85.75,0.01
ResNet_v2_No_Res,20,0.2962,89.8,0.4429,85.34,0.01
ResNet_v2_No_Res,21,0.2852,90.37,0.4686,84.68,0.01
ResNet_v2_No_Res,22,0.2783,90.33,0.4154,86.23,0.01
ResNet_v2_No_Res,23,0.2702,90.81,0.4403,85.73,0.01
ResNet_v2_No_Res,24,0.2592,91.18,0.3977,86.9,0.01
ResNet_v2_No_Res,25,0.2601,91.09,0.4529,85.27,0.01
ResNet_v2_No_Res,26,0.2432,91.77,0.4472,85.38,0.01
ResNet_v2_No_Res,27,0.2399,91.85,0.3885,87.25,0.01
ResNet_v2_No_Res,28,0.2327,92.01,0.4005,86.98,0.01
ResNet_v2_No_Res,29,0.2284,92.27,0.4115,86.55,0.01
ResNet_v2_No_Res,30,0.2202,92.49,0.3938,87.05,0.01
ResNet_v2_No_Res,31,0.2155,92.68,0.3924,87.11,0.01
ResNet_v2_No_Res,32,0.2082,92.81,0.3994,87.24,0.01
ResNet_v2_No_Res,33,0.2031,93.08,0.4054,86.98,0.01
ResNet_v2_No_Res,34,0.1998,93.19,0.4141,86.67,0.01
ResNet_v2_No_Res,35,0.1945,93.35,0.421,86.77,0.01
ResNet_v2_No_Res,36,0.1902,93.6,0.4397,85.76,0.01
ResNet_v2_No_Res,37,0.1878,93.56,0.4118,86.93,0.01
ResNet_v2_No_Res,38,0.1854,93.65,0.4018,87.07,0.01
ResNet_v2_No_Res,39,0.1267,95.7,0.3348,89.87,0.005
ResNet_v2_No_Res,40,0.1152,96.08,0.332,89.7,0.005
ResNet_v2_No_Res,41,0.1088,96.3,0.3615,89.18,0.005
ResNet_v2_No_Res,42,0.1011,96.5,0.3837,88.97,0.005
ResNet_v2_No_Res,43,0.1001,96.59,0.3741,89.19,0.005
ResNet_v2_No_Res,44,0.0994,96.6,0.3561,89.24,0.005
ResNet_v2_No_Res,45,0.0952,96.77,0.3661,89.03,0.005
ResNet_v2_No_Res,46,0.0949,96.79,0.3753,88.97,0.005
ResNet_v2_No_Res,47,0.0925,96.84,0.358,89.56,0.005
ResNet_v2_No_Res,48,0.0887,97.03,0.3924,88.85,0.005
ResNet_v2_No_Res,49,0.0895,96.99,0.3597,89.6,0.005
ResNet_v2_No_Res,50,0.0919,96.89,0.3774,89.11,0.005
ResNet_v2_No_Res,51,0.0632,97.79,0.345,90.63,0.0025
ResNet_v2_No_Res,52,0.0512,98.32,0.3361,91.11,0.0025
ResNet_v2_No_Res,53,0.0515,98.24,0.3527,90.41,0.0025
ResNet_v2_No_Res,54,0.0466,98.46,0.3617,90.48,0.0025
ResNet_v2_No_Res,55,0.0451,98.54,0.3551,90.33,0.0025
ResNet_v2_No_Res,56,0.0445,98.49,0.3678,90.6,0.0025
ResNet_v2_No_Res,57,0.0432,98.53,0.3753,90.58,0.0025
ResNet_v2_No_Res,58,0.0434,98.51,0.3706,90.71,0.0025
ResNet_v2_No_Res,59,0.0403,98.62,0.3706,90.32,0.0025
ResNet_v2_No_Res,60,0.0414,98.58,0.3861,90.13,0.0025
ResNet_v2_No_Res,61,0.0421,98.55,0.3843,90.16,0.0025
ResNet_v2_No_Res,62,0.0398,98.73,0.3833,90.03,0.0025
ResNet_v2_No_Res,63,0.0405,98.64,0.3866,89.95,0.0025
ResNet_v2_No_Res,64,0.0292,99.04,0.3542,90.75,0.00125
ResNet_v2_No_Res,65,0.0253,99.18,0.387,90.64,0.00125
ResNet_v2_No_Res,66,0.0238,99.25,0.3711,91.05,0.00125
ResNet_v2_No_Res,67,0.0219,99.32,0.3797,90.69,0.00125
ResNet_v2_No_Res,68,0.0216,99.32,0.3832,90.59,0.00125
ResNet_v2_No_Res,69,0.0207,99.34,0.3727,90.97,0.00125
ResNet_v2_No_Res,70,0.0212,99.29,0.3893,90.86,0.00125
ResNet_v2_No_Res,71,0.0187,99.41,0.3709,91.0,0.00125
ResNet_v2_No_Res,72,0.0206,99.34,0.394,90.68,0.00125
ResNet_v2_No_Res,73,0.0191,99.41,0.3989,90.85,0.00125
ResNet_v2_No_Res,74,0.0197,99.36,0.4069,90.57,0.00125
ResNet_v2_No_Res,75,0.0167,99.47,0.3759,91.08,0.000625
