Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
VGG_v2_AvgPool,1,1.4798,45.39,1.1823,58.09,0.01
VGG_v2_AvgPool,2,0.9629,66.01,0.9731,66.68,0.01
VGG_v2_AvgPool,3,0.7616,73.77,0.9252,68.52,0.01
VGG_v2_AvgPool,4,0.6486,77.68,0.6869,76.46,0.01
VGG_v2_AvgPool,5,0.5679,80.58,0.6715,77.15,0.01
VGG_v2_AvgPool,6,0.5078,82.85,0.5869,80.08,0.01
VGG_v2_AvgPool,7,0.4625,84.17,0.6292,79.27,0.01
VGG_v2_AvgPool,8,0.4276,85.42,0.6081,79.83,0.01
VGG_v2_AvgPool,9,0.3932,86.59,0.5911,80.53,0.01
VGG_v2_AvgPool,10,0.3675,87.37,0.5154,82.77,0.01
VGG_v2_AvgPool,11,0.3419,88.3,0.481,84.35,0.01
VGG_v2_AvgPool,12,0.3207,89.0,0.4627,84.52,0.01
VGG_v2_AvgPool,13,0.2998,89.88,0.4576,84.68,0.01
VGG_v2_AvgPool,14,0.2831,90.26,0.4417,85.47,0.01
VGG_v2_AvgPool,15,0.2708,90.8,0.4914,84.42,0.01
VGG_v2_AvgPool,16,0.254,91.19,0.4055,86.7,0.01
VGG_v2_AvgPool,17,0.2431,91.64,0.4505,85.33,0.01
VGG_v2_AvgPool,18,0.2319,91.97,0.4578,85.3,0.01
VGG_v2_AvgPool,19,0.2191,92.44,0.4239,86.64,0.01
VGG_v2_AvgPool,20,0.214,92.67,0.4458,85.57,0.01
VGG_v2_AvgPool,21,0.2029,93.02,0.3665,88.02,0.01
VGG_v2_AvgPool,22,0.1869,93.64,0.3868,87.68,0.01
VGG_v2_AvgPool,23,0.1814,93.71,0.3687,88.01,0.01
VGG_v2_AvgPool,24,0.1745,93.87,0.4306,86.52,0.01
VGG_v2_AvgPool,25,0.1752,93.92,0.4064,87.06,0.01
VGG_v2_AvgPool,26,0.1651,94.28,0.3932,87.84,0.01
VGG_v2_AvgPool,27,0.1565,94.58,0.3643,88.69,0.01
VGG_v2_AvgPool,28,0.1497,94.87,0.3831,88.4,0.01
VGG_v2_AvgPool,29,0.1463,94.99,0.404,87.75,0.01
VGG_v2_AvgPool,30,0.14,95.18,0.3562,88.95,0.01
VGG_v2_AvgPool,31,0.1346,95.33,0.3654,88.92,0.01
VGG_v2_AvgPool,32,0.1306,95.48,0.3816,88.42,0.01
VGG_v2_AvgPool,33,0.1261,95.65,0.3735,88.7,0.01
VGG_v2_AvgPool,34,0.1263,95.66,0.3833,88.52,0.01
VGG_v2_AvgPool,35,0.1189,95.94,0.3883,88.44,0.01
VGG_v2_AvgPool,36,0.1115,96.16,0.3898,88.82,0.01
VGG_v2_AvgPool,37,0.1102,96.2,0.391,88.12,0.01
VGG_v2_AvgPool,38,0.1152,96.07,0.4216,87.73,0.01
VGG_v2_AvgPool,39,0.1069,96.29,0.3837,88.75,0.01
VGG_v2_AvgPool,40,0.108,96.28,0.3947,88.56,0.01
VGG_v2_AvgPool,41,0.1042,96.47,0.4231,87.83,0.01
VGG_v2_AvgPool,42,0.0535,98.21,0.3348,90.43,0.005
VGG_v2_AvgPool,43,0.0364,98.81,0.3105,91.66,0.005
VGG_v2_AvgPool,44,0.0321,98.92,0.3502,90.65,0.005
VGG_v2_AvgPool,45,0.0327,98.93,0.3676,90.63,0.005
VGG_v2_AvgPool,46,0.0307,98.97,0.3588,91.1,0.005
VGG_v2_AvgPool,47,0.0293,99.05,0.3701,90.93,0.005
VGG_v2_AvgPool,48,0.0293,99.06,0.396,90.29,0.005
VGG_v2_AvgPool,49,0.0319,98.91,0.3837,90.69,0.005
