Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
VGG_v2_Baseline,1,1.3846,48.88,1.3809,52.72,0.01
VGG_v2_Baseline,2,0.9031,68.16,0.8117,72.06,0.01
VGG_v2_Baseline,3,0.7116,75.45,0.8878,70.95,0.01
VGG_v2_Baseline,4,0.607,79.28,0.671,76.76,0.01
VGG_v2_Baseline,5,0.5405,81.41,0.5797,79.99,0.01
VGG_v2_Baseline,6,0.4854,83.51,0.5666,80.4,0.01
VGG_v2_Baseline,7,0.4407,85.07,0.5567,81.15,0.01
VGG_v2_Baseline,8,0.4091,86.15,0.5109,83.0,0.01
VGG_v2_Baseline,9,0.3839,86.92,0.508,82.97,0.01
VGG_v2_Baseline,10,0.3546,87.83,0.5375,82.49,0.01
VGG_v2_Baseline,11,0.331,88.7,0.4511,85.1,0.01
VGG_v2_Baseline,12,0.313,89.41,0.4891,84.18,0.01
VGG_v2_Baseline,13,0.2933,89.93,0.4678,84.24,0.01
VGG_v2_Baseline,14,0.2798,90.41,0.4333,85.66,0.01
VGG_v2_Baseline,15,0.266,90.92,0.4244,86.34,0.01
VGG_v2_Baseline,16,0.2522,91.37,0.4827,84.58,0.01
VGG_v2_Baseline,17,0.2437,91.48,0.4368,85.99,0.01
VGG_v2_Baseline,18,0.2276,92.16,0.4001,86.82,0.01
VGG_v2_Baseline,19,0.2192,92.32,0.3831,87.16,0.01
VGG_v2_Baseline,20,0.2096,92.88,0.4045,86.93,0.01
VGG_v2_Baseline,21,0.1992,93.2,0.4245,87.02,0.01
VGG_v2_Baseline,22,0.1937,93.33,0.4104,87.02,0.01
VGG_v2_Baseline,23,0.1836,93.76,0.3857,87.5,0.01
VGG_v2_Baseline,24,0.178,93.8,0.3616,88.65,0.01
VGG_v2_Baseline,25,0.1744,94.01,0.3799,88.06,0.01
VGG_v2_Baseline,26,0.1655,94.2,0.4097,87.35,0.01
VGG_v2_Baseline,27,0.1576,94.66,0.4222,87.31,0.01
VGG_v2_Baseline,28,0.1527,94.72,0.3693,88.43,0.01
VGG_v2_Baseline,29,0.1479,94.95,0.4023,87.96,0.01
VGG_v2_Baseline,30,0.1447,94.98,0.4205,87.55,0.01
VGG_v2_Baseline,31,0.1376,95.23,0.3644,88.15,0.01
VGG_v2_Baseline,32,0.1324,95.41,0.3961,87.9,0.01
VGG_v2_Baseline,33,0.1378,95.24,0.3959,88.2,0.01
VGG_v2_Baseline,34,0.1278,95.6,0.3857,88.38,0.01
VGG_v2_Baseline,35,0.1201,95.88,0.3936,88.37,0.01
VGG_v2_Baseline,36,0.0696,97.56,0.3566,90.35,0.005
VGG_v2_Baseline,37,0.0564,98.08,0.3528,90.57,0.005
VGG_v2_Baseline,38,0.0529,98.2,0.3281,90.93,0.005
VGG_v2_Baseline,39,0.0527,98.22,0.3598,90.44,0.005
VGG_v2_Baseline,40,0.0455,98.51,0.3713,90.29,0.005
VGG_v2_Baseline,41,0.0455,98.53,0.3924,90.18,0.005
VGG_v2_Baseline,42,0.0492,98.33,0.3623,90.44,0.005
VGG_v2_Baseline,43,0.047,98.39,0.3439,90.6,0.005
VGG_v2_Baseline,44,0.0457,98.43,0.3769,90.09,0.005
