Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
VGG_v2_ELU,1,1.3461,51.01,1.1144,61.76,0.01
VGG_v2_ELU,2,0.9151,67.81,0.957,67.02,0.01
VGG_v2_ELU,3,0.765,73.29,0.7995,72.58,0.01
VGG_v2_ELU,4,0.6806,76.45,0.718,75.44,0.01
VGG_v2_ELU,5,0.6251,78.19,0.8389,70.12,0.01
VGG_v2_ELU,6,0.5823,79.78,0.6474,77.78,0.01
VGG_v2_ELU,7,0.5385,81.35,0.6038,79.43,0.01
VGG_v2_ELU,8,0.5115,82.34,0.5659,80.2,0.01
VGG_v2_ELU,9,0.4854,83.15,0.5655,80.75,0.01
VGG_v2_ELU,10,0.4566,84.04,0.5605,81.13,0.01
VGG_v2_ELU,11,0.4419,84.79,0.5546,81.12,0.01
VGG_v2_ELU,12,0.4231,85.46,0.5569,81.37,0.01
VGG_v2_ELU,13,0.4097,85.79,0.484,83.61,0.01
VGG_v2_ELU,14,0.3929,86.41,0.5249,82.26,0.01
VGG_v2_ELU,15,0.3827,86.59,0.489,83.65,0.01
VGG_v2_ELU,16,0.3726,87.13,0.5347,81.99,0.01
VGG_v2_ELU,17,0.36,87.48,0.4545,84.67,0.01
VGG_v2_ELU,18,0.3527,87.72,0.4728,83.83,0.01
VGG_v2_ELU,19,0.3386,88.16,0.4891,83.64,0.01
VGG_v2_ELU,20,0.331,88.68,0.5609,81.93,0.01
VGG_v2_ELU,21,0.3249,88.56,0.4819,84.19,0.01
VGG_v2_ELU,22,0.3164,89.0,0.4652,84.41,0.01
VGG_v2_ELU,23,0.3113,89.34,0.4853,83.22,0.01
VGG_v2_ELU,24,0.3001,89.45,0.4306,85.44,0.01
VGG_v2_ELU,25,0.2926,89.71,0.4771,84.49,0.01
VGG_v2_ELU,26,0.2901,89.85,0.4701,84.02,0.01
VGG_v2_ELU,27,0.2893,89.7,0.432,85.83,0.01
VGG_v2_ELU,28,0.2772,90.37,0.432,86.18,0.01
VGG_v2_ELU,29,0.273,90.36,0.4509,85.1,0.01
VGG_v2_ELU,30,0.2728,90.51,0.4594,84.84,0.01
VGG_v2_ELU,31,0.2685,90.45,0.5093,83.59,0.01
VGG_v2_ELU,32,0.2614,90.75,0.3991,86.63,0.01
VGG_v2_ELU,33,0.2581,90.85,0.4505,85.56,0.01
VGG_v2_ELU,34,0.2587,91.0,0.4529,84.97,0.01
VGG_v2_ELU,35,0.2485,91.31,0.4356,85.87,0.01
VGG_v2_ELU,36,0.2446,91.36,0.4174,86.46,0.01
VGG_v2_ELU,37,0.2449,91.36,0.4168,86.6,0.01
VGG_v2_ELU,38,0.2344,91.8,0.4451,85.76,0.01
VGG_v2_ELU,39,0.2411,91.59,0.396,86.86,0.01
VGG_v2_ELU,40,0.2417,91.45,0.4217,86.09,0.01
VGG_v2_ELU,41,0.2369,91.64,0.4175,86.14,0.01
VGG_v2_ELU,42,0.2332,91.76,0.4829,84.51,0.01
VGG_v2_ELU,43,0.2272,91.93,0.4671,84.98,0.01
VGG_v2_ELU,44,0.2235,92.12,0.4093,86.52,0.01
VGG_v2_ELU,45,0.2217,92.22,0.4217,86.26,0.01
VGG_v2_ELU,46,0.2235,91.97,0.4253,85.99,0.01
VGG_v2_ELU,47,0.2188,92.41,0.387,87.28,0.01
VGG_v2_ELU,48,0.2166,92.36,0.4252,86.22,0.01
VGG_v2_ELU,49,0.2165,92.26,0.4215,86.55,0.01
VGG_v2_ELU,50,0.2105,92.56,0.4277,86.38,0.01
VGG_v2_ELU,51,0.2069,92.78,0.4453,86.04,0.01
VGG_v2_ELU,52,0.2052,92.68,0.4132,86.64,0.01
VGG_v2_ELU,53,0.2041,92.86,0.4021,87.36,0.01
VGG_v2_ELU,54,0.2037,92.85,0.4253,86.23,0.01
VGG_v2_ELU,55,0.2035,92.84,0.3894,87.36,0.01
VGG_v2_ELU,56,0.1989,93.01,0.4289,86.44,0.01
VGG_v2_ELU,57,0.2003,92.94,0.402,87.22,0.01
VGG_v2_ELU,58,0.198,92.95,0.4445,85.95,0.01
VGG_v2_ELU,59,0.1932,93.15,0.4517,86.13,0.01
VGG_v2_ELU,60,0.2016,92.83,0.3925,87.04,0.01
VGG_v2_ELU,61,0.1935,93.15,0.4228,86.66,0.01
VGG_v2_ELU,62,0.1991,92.88,0.4059,87.06,0.01
VGG_v2_ELU,63,0.1871,93.34,0.409,87.15,0.01
VGG_v2_ELU,64,0.1909,93.25,0.4445,86.28,0.01
VGG_v2_ELU,65,0.1239,95.79,0.3423,88.87,0.005
VGG_v2_ELU,66,0.1064,96.27,0.3674,88.98,0.005
VGG_v2_ELU,67,0.0999,96.45,0.3592,89.18,0.005
VGG_v2_ELU,68,0.094,96.74,0.3698,89.04,0.005
VGG_v2_ELU,69,0.0922,96.7,0.3747,89.28,0.005
VGG_v2_ELU,70,0.0935,96.75,0.3844,88.75,0.005
VGG_v2_ELU,71,0.093,96.74,0.3775,89.06,0.005
VGG_v2_ELU,72,0.0915,96.79,0.4061,88.4,0.005
VGG_v2_ELU,73,0.0939,96.63,0.3914,88.73,0.005
VGG_v2_ELU,74,0.094,96.74,0.3849,88.78,0.005
VGG_v2_ELU,75,0.093,96.64,0.3975,88.71,0.005
VGG_v2_ELU,76,0.0936,96.62,0.4,88.73,0.005
VGG_v2_ELU,77,0.0943,96.67,0.3818,88.73,0.005
VGG_v2_ELU,78,0.0906,96.77,0.4038,88.48,0.005
VGG_v2_ELU,79,0.0942,96.66,0.4164,88.48,0.005
VGG_v2_ELU,80,0.0952,96.62,0.4005,88.7,0.005
VGG_v2_ELU,81,0.0576,98.06,0.3612,89.64,0.0025
VGG_v2_ELU,82,0.0476,98.47,0.3656,89.84,0.0025
VGG_v2_ELU,83,0.0426,98.57,0.3549,90.15,0.0025
VGG_v2_ELU,84,0.04,98.71,0.3713,89.85,0.0025
VGG_v2_ELU,85,0.0399,98.74,0.3704,89.88,0.0025
VGG_v2_ELU,86,0.0378,98.74,0.3694,90.08,0.0025
VGG_v2_ELU,87,0.0398,98.73,0.3672,90.13,0.0025
VGG_v2_ELU,88,0.0365,98.83,0.3785,90.24,0.0025
VGG_v2_ELU,89,0.0363,98.81,0.3932,89.62,0.0025
