Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
VGG_v2_LeakyReLU,1,1.382,49.12,1.2128,58.26,0.01
VGG_v2_LeakyReLU,2,0.8887,68.88,0.7945,73.04,0.01
VGG_v2_LeakyReLU,3,0.6975,75.96,0.7893,72.92,0.01
VGG_v2_LeakyReLU,4,0.6071,79.28,0.6912,76.5,0.01
VGG_v2_LeakyReLU,5,0.5337,81.73,0.663,77.97,0.01
VGG_v2_LeakyReLU,6,0.4807,83.66,0.5788,80.04,0.01
VGG_v2_LeakyReLU,7,0.441,84.91,0.5913,80.65,0.01
VGG_v2_LeakyReLU,8,0.4037,86.22,0.4989,82.95,0.01
VGG_v2_LeakyReLU,9,0.3748,87.18,0.5091,83.52,0.01
VGG_v2_LeakyReLU,10,0.3506,87.96,0.5733,81.58,0.01
VGG_v2_LeakyReLU,11,0.3317,88.61,0.5439,82.12,0.01
VGG_v2_LeakyReLU,12,0.3144,89.28,0.4235,86.03,0.01
VGG_v2_LeakyReLU,13,0.2922,89.95,0.4458,85.12,0.01
VGG_v2_LeakyReLU,14,0.2758,90.39,0.44,85.4,0.01
VGG_v2_LeakyReLU,15,0.2689,90.73,0.4167,86.69,0.01
VGG_v2_LeakyReLU,16,0.2488,91.36,0.4581,84.89,0.01
VGG_v2_LeakyReLU,17,0.2395,91.67,0.4333,85.71,0.01
VGG_v2_LeakyReLU,18,0.2284,92.05,0.3906,87.04,0.01
VGG_v2_LeakyReLU,19,0.2182,92.42,0.4426,86.23,0.01
VGG_v2_LeakyReLU,20,0.2103,92.81,0.412,86.8,0.01
VGG_v2_LeakyReLU,21,0.1993,93.11,0.4002,87.1,0.01
VGG_v2_LeakyReLU,22,0.1919,93.31,0.4094,86.98,0.01
VGG_v2_LeakyReLU,23,0.1866,93.5,0.3831,88.02,0.01
VGG_v2_LeakyReLU,24,0.1793,93.77,0.4232,86.74,0.01
VGG_v2_LeakyReLU,25,0.1702,94.08,0.3936,87.6,0.01
VGG_v2_LeakyReLU,26,0.1667,94.25,0.3774,88.41,0.01
VGG_v2_LeakyReLU,27,0.1605,94.58,0.4228,87.12,0.01
VGG_v2_LeakyReLU,28,0.1567,94.73,0.3894,87.93,0.01
VGG_v2_LeakyReLU,29,0.1479,94.89,0.381,88.16,0.01
VGG_v2_LeakyReLU,30,0.147,94.91,0.3814,88.15,0.01
VGG_v2_LeakyReLU,31,0.1394,95.2,0.3781,88.48,0.01
VGG_v2_LeakyReLU,32,0.1387,95.19,0.37,88.7,0.01
VGG_v2_LeakyReLU,33,0.1319,95.41,0.3596,88.72,0.01
VGG_v2_LeakyReLU,34,0.1291,95.61,0.3732,89.08,0.01
VGG_v2_LeakyReLU,35,0.1241,95.71,0.391,88.34,0.01
VGG_v2_LeakyReLU,36,0.1191,95.97,0.4484,86.88,0.01
VGG_v2_LeakyReLU,37,0.1168,95.88,0.3902,88.15,0.01
VGG_v2_LeakyReLU,38,0.1189,95.87,0.393,88.2,0.01
VGG_v2_LeakyReLU,39,0.1158,96.0,0.3976,88.19,0.01
VGG_v2_LeakyReLU,40,0.1128,96.14,0.3761,88.85,0.01
VGG_v2_LeakyReLU,41,0.1096,96.27,0.3878,88.16,0.01
VGG_v2_LeakyReLU,42,0.1062,96.4,0.3626,89.15,0.01
VGG_v2_LeakyReLU,43,0.1041,96.45,0.3876,88.93,0.01
VGG_v2_LeakyReLU,44,0.0996,96.59,0.3972,88.69,0.01
