Model,Params,FLOPs
CNN_v2_Baseline,10.442M,235.255M
CNN_v2_Dropout,10.442M,235.255M
CNN_v2_No_BN,10.438M,234.272M
CNN_v2_AvgPool,10.442M,235.316M
CNN_v2_No_BN_Avg,10.438M,234.333M
CNN_v2_NoPooling,10.442M,6.358G
CNN_v2_LeakyReLU,10.442M,235.255M
CNN_v2_ELU,10.442M,235.255M
ResNet_v2_Dropout,11.172M,204.569M
ResNet_v2_No_Res,11.000M,203.782M
ResNet_v2_No_BN,11.169M,203.102M
ResNet_v2_AvgPool,11.172M,204.587M
ResNet_v2_No_BN_AvgPool,11.169M,203.121M
ResNet_v2_No_Pool,11.172M,557.660M
ResNet_v2_LeakyReLU,11.172M,204.569M
ResNet_v2_ELU,11.172M,204.569M
VGG_v2_Baseline,33.647M,333.219M
VGG_v2_Dropout,33.647M,333.219M
VGG_v2_Dropout,33.647M,333.219M
VGG_v2_LeakyReLU,33.647M,333.219M
VGG_v2_ELU,33.647M,333.219M
VGG_v2_AvgPool,33.647M,333.250M
ResNet_v2_Baseline,11.172M,204.569M
